# NOTE: rows overlap heavily (episodes share buckets) -> correlation magnitudes read SMALL (a ~10pp win-rate gap is roughly r = 8-10%). The RANKING is the meaningful part, not the absolute size. level/tempo artifact flags still apply. Discovery slice only; HOLDOUT SEALED.
feature_code,plain_name,type,corr_pct,n,coverage_pct,effect_pp,flag
E32.07,Percentile vs history,num,16.52,6645,96.7,18.4,
K.03,KC lower band (mid - 2.0 x ATR-20),num,-15.88,6865,99.9,-14.6,level
K.01,KC middle line value at entry (EMA-20 of close),num,-15.5,6865,99.9,-14.9,level
E09.01,POC round-number proximity,num,-15.33,6869,100.0,-15.6,level
E04.01,"Gap vs prior close: size, sign, gap-in-ticks",num,-15.3,6869,100.0,-15.6,level
E04.08,True range (gap-adjusted) vs raw range,num,-15.3,6869,100.0,-15.6,level
E04.09,Log return open->close,num,-15.29,6869,100.0,-15.6,level
K.02,KC upper band (mid + 2.0 x ATR-20),num,-15.09,6865,99.9,-15.1,level
K.10,Rolling-POC baseline value (240-bucket window POC),num,-13.31,6646,96.8,-17.4,level
E11.09,Day-rank of the bucket's volume,num,13.09,6866,100.0,15.4,tempo
B-S.02,Selection wall-clock duration,num,-12.73,6869,100.0,-19.6,tempo
E47.05,Liq-short streak,num,11.27,6855,99.8,13.6,
E11.02,Volume percentile / z vs trailing window,num,10.87,6855,99.8,15.3,tempo
E48.06,Day-rank,num,-10.73,6866,100.0,-13.4,
E48.05,Liq-long streak,num,-10.59,6855,99.8,-11.0,
E49.05,Percentile of total fraction,num,-9.39,6645,96.7,-10.6,
K.09,Squeeze flag: bandwidth in bottom percentile,num,9.29,6645,96.7,12.7,
C.08,Dominant 12-state verdict over the 15,cat,8.89,6869,100.0,19.4,
K.04,Bandwidth: (upper - lower) / mid,num,8.63,6865,99.9,13.5,
E29.01,Raw units/s / log pace,num,7.51,6797,99.0,14.0,tempo
E20.07,Day-rank of churn,num,7.46,6866,100.0,10.8,
E03.01,Raw seconds / log-duration,num,-7.44,6869,100.0,-10.7,
G01.1,Duration (the canonical example: elapsed seconds),num,-7.44,6869,100.0,-10.7,
E11.05,Above/below-mean volume streak,num,7.35,6855,99.8,17.1,tempo
C.06,Realized volatility of the 15,num,7.26,6869,100.0,11.4,
B-P1.03,Spread: bull% - bear%,num,-7.19,6869,100.0,-6.6,
B-P1.06,Absolute bear V*s over the selection,num,7.17,6869,100.0,11.8,
B-P4.10,Crossover-diamond count in the selection,cat,6.9,6869,100.0,12.1,
E09.09,POC percentile within the day's range,num,-6.76,6645,96.7,-5.9,level
E42.01,Traded-level count,num,6.72,6869,100.0,9.4,
E45.01,Level count / dispersion in ticks,num,6.72,6869,100.0,9.4,
E05.01,Absolute range / range in ticks,num,6.68,6869,100.0,9.3,
C.05,Max drawup and drawdown within the 15,num,6.58,6869,100.0,9.3,
B-S.13,Average VEL + Speed multiple,num,6.19,6869,100.0,14.1,tempo
E52.01,large-order net side (APPROX fixed-273c),cat,5.87,2300,33.5,5.2,
B-P2.02,Bear eff-agg percentage (badge),num,-5.58,6869,100.0,-7.7,
B-P2.01,Bull eff-agg percentage (badge),num,5.58,6869,100.0,7.7,
E12.01,Buy share: buy_vol / curr_vol,num,5.55,6869,100.0,4.4,
E32.01,Current size,num,5.48,6869,100.0,2.2,
E11.01,Overshoot ratio: curr_vol / target_vol (last-print spillover),num,5.48,6869,100.0,2.1,tempo
B-S.03,Total volume,num,5.45,6869,100.0,3.2,
B-S.07,Sum OpL,num,5.39,6869,100.0,-0.1,
E05.02,Range percentile vs trailing 30/240,num,5.34,6645,96.7,6.4,
E08.01,Upper wick size / lower wick size (ticks),num,5.28,6834,99.5,8.3,
B-P2.05,Absolute bull V*(1-s) over the selection,num,5.21,6869,100.0,4.8,
E25.01,Raw dispersion (ticks),num,5.21,6869,100.0,7.3,
E20.01,churn / vol fraction,num,5.14,6869,100.0,3.9,
K.11,Close vs POC baseline: side + distance,num,-5.14,6646,96.8,1.6,
E31.04,Percentile vs the day,num,5.12,6573,95.7,6.6,tempo
E12.06,Day-rank of buy volume,num,5.02,6866,100.0,6.9,
E45.02,Dispersion percentile vs window,num,4.89,6645,96.7,5.6,
E03.03,Duration z-score vs trailing window,num,4.85,6855,99.8,5.1,
B-P2.07,Sum: eff-agg share of selection volume,num,-4.73,6869,100.0,-5.8,
B-P3.08,Both-hot bucket count,cat,4.62,6869,100.0,24.4,
E08.08,Wick percentile vs trailing window,num,4.61,6610,96.2,5.1,
E50.08,Large-count percentile vs window,num,4.54,2299,33.5,5.2,
B-P4.09,Peak gated score + its bucket position,num,-4.31,6869,100.0,-3.1,
E51.01,Volume per bin (vector feature),num,-4.28,2300,33.5,-12.2,
E11.03,Log volume,num,4.27,6869,100.0,2.1,tempo
B-S.08,Sum OpS,num,4.26,6869,100.0,3.2,
E54.01,Current value,num,4.1,6869,100.0,4.7,
E25.06,Narrow/wide streak,num,4.08,6855,99.8,3.1,
K.07,Distance to nearest band (ticks and ATRs),num,-4.04,6865,99.9,-5.7,
B-P2.04,Dominant side label,cat,3.93,6869,100.0,3.8,
E50.01,Counts per bin (vector feature),num,-3.86,2300,33.5,-6.3,
B-P4.04,Opposite side's percentage,num,-3.8,6869,100.0,-9.1,
E45.06,Fat/thin streak,num,3.76,6855,99.8,3.8,
E12.03,Buy-dominance streak (share > 0.5),num,3.66,6855,99.8,4.6,
E05.07,Expanding/contracting range STREAK,num,3.56,6855,99.8,3.7,
E28.09,Day-rank of speed,num,-3.54,6866,100.0,-4.0,
