# NOTE: rows overlap heavily (episodes share buckets) -> correlation magnitudes read SMALL (a ~10pp win-rate gap is roughly r = 8-10%). The RANKING is the meaningful part, not the absolute size. level/tempo artifact flags still apply. Discovery slice only; HOLDOUT SEALED.
feature_code,plain_name,type,corr_pct,n,coverage_pct,effect_pp,flag
E48.06,Day-rank,num,13.58,6866,100.0,17.7,
K.03,KC lower band (mid - 2.0 x ATR-20),num,11.14,6865,99.9,10.3,level
K.01,KC middle line value at entry (EMA-20 of close),num,10.87,6865,99.9,11.0,level
E32.07,Percentile vs history,num,-10.85,6645,96.7,-11.2,
E11.09,Day-rank of the bucket's volume,num,-10.73,6866,100.0,-13.6,tempo
E09.01,POC round-number proximity,num,10.65,6869,100.0,12.7,level
E04.01,"Gap vs prior close: size, sign, gap-in-ticks",num,10.59,6869,100.0,13.3,level
E04.08,True range (gap-adjusted) vs raw range,num,10.59,6869,100.0,13.3,level
K.02,KC upper band (mid + 2.0 x ATR-20),num,10.57,6865,99.9,11.3,level
E04.09,Log return open->close,num,10.56,6869,100.0,13.3,level
E49.05,Percentile of total fraction,num,10.29,6645,96.7,11.9,
B-S.02,Selection wall-clock duration,num,10.29,6869,100.0,16.9,tempo
C.08,Dominant 12-state verdict over the 15,cat,9.65,6869,100.0,18.1,
E29.01,Raw units/s / log pace,num,-8.6,6797,99.0,-13.9,tempo
K.10,Rolling-POC baseline value (240-bucket window POC),num,8.29,6646,96.8,11.8,level
B-S.13,Average VEL + Speed multiple,num,-7.81,6869,100.0,-13.8,tempo
E48.05,Liq-long streak,num,7.61,6855,99.8,8.5,
K.09,Squeeze flag: bandwidth in bottom percentile,num,-7.52,6645,96.7,-10.2,
E09.09,POC percentile within the day's range,num,7.42,6645,96.7,5.0,level
E47.05,Liq-short streak,num,-7.32,6855,99.8,-7.9,
E54.01,Current value,num,-6.54,6869,100.0,-7.4,
E11.05,Above/below-mean volume streak,num,-6.48,6855,99.8,-14.5,tempo
E11.02,Volume percentile / z vs trailing window,num,-6.34,6855,99.8,-8.6,tempo
K.04,Bandwidth: (upper - lower) / mid,num,-6.16,6865,99.9,-11.7,
E20.07,Day-rank of churn,num,-6.04,6866,100.0,-9.4,
C.05,Max drawup and drawdown within the 15,num,-6.01,6869,100.0,-7.9,
E03.01,Raw seconds / log-duration,num,5.94,6869,100.0,11.9,
G01.1,Duration (the canonical example: elapsed seconds),num,5.94,6869,100.0,11.9,
E52.01,large-order net side (APPROX fixed-273c),cat,5.88,2300,33.5,5.5,
B-P3.08,Both-hot bucket count,cat,5.85,6869,100.0,31.7,
B-P2.05,Absolute bull V*(1-s) over the selection,num,-5.84,6869,100.0,-5.0,
B-P1.06,Absolute bear V*s over the selection,num,-5.72,6869,100.0,-9.0,
C.06,Realized volatility of the 15,num,-5.52,6869,100.0,-10.0,
E12.01,Buy share: buy_vol / curr_vol,num,-5.43,6869,100.0,-5.2,
E20.01,churn / vol fraction,num,-5.14,6869,100.0,-4.4,
B-P4.10,Crossover-diamond count in the selection,cat,4.92,6869,100.0,11.1,
B-S.03,Total volume,num,-4.92,6869,100.0,-3.5,
E32.01,Current size,num,-4.82,6869,100.0,-2.2,
E11.01,Overshoot ratio: curr_vol / target_vol (last-print spillover),num,-4.81,6869,100.0,-2.2,tempo
E05.02,Range percentile vs trailing 30/240,num,-4.66,6645,96.7,-5.4,
E05.01,Absolute range / range in ticks,num,-4.65,6869,100.0,-6.9,
E42.01,Traded-level count,num,-4.58,6869,100.0,-6.6,
E45.01,Level count / dispersion in ticks,num,-4.58,6869,100.0,-6.6,
B-P4.09,Peak gated score + its bucket position,num,4.55,6869,100.0,3.8,
E12.06,Day-rank of buy volume,num,-4.54,6866,100.0,-6.5,
E51.08,Large-share streak,num,-4.51,2270,33.0,-7.4,
E60.01,State label (categorical) + one-hot vector,cat,4.32,6869,100.0,7.4,
E62.01,Historical frequency of each state,cat,4.32,6869,100.0,7.4,
E16.04,opL streak (persistent long initiative),num,4.26,6855,99.8,-0.5,
E57.03,Depth percentile vs window,num,4.26,6610,96.2,7.9,
E45.02,Dispersion percentile vs window,num,-4.25,6645,96.7,-4.2,
B-P4.02,LAST EXHAUSTED SIDE (bull / bear),cat,4.25,6869,100.0,4.2,
E11.03,Log volume,num,-4.17,6869,100.0,-2.2,tempo
E03.03,Duration z-score vs trailing window,num,-4.15,6855,99.8,-3.9,
E17.04,opS streak,num,4.15,6855,99.8,0.8,
E31.04,Percentile vs the day,num,-4.13,6573,95.7,-5.4,tempo
E50.08,Large-count percentile vs window,num,-4.07,2299,33.5,-5.1,
E21.01,Sign: BUILD vs DRAIN,cat,4.0,6869,100.0,6.5,
E43.01,POC share of curr_vol,num,3.96,6869,100.0,4.0,
B-P2.02,Bear eff-agg percentage (badge),num,3.96,6869,100.0,6.7,
B-P2.01,Bull eff-agg percentage (badge),num,-3.96,6869,100.0,-6.6,
K.11,Close vs POC baseline: side + distance,num,3.89,6646,96.8,-2.4,
E06.01,Sign (direction) and magnitude,cat,3.83,6869,100.0,6.2,
E06.10,Contribution sign to trailing bucket-CVD of price,cat,3.83,6869,100.0,6.2,
E08.08,Wick percentile vs trailing window,num,-3.71,6610,96.2,-2.5,
E43.10,Day-rank of POC share,num,3.63,6866,100.0,5.5,
C.12,Sweep-event count in the 15,num,-3.58,6869,100.0,-5.7,
B-S.07,Sum OpL,num,-3.53,6869,100.0,0.9,
E55.09,Percentile-window fill health,num,3.46,6644,96.7,4.0,
E25.01,Raw dispersion (ticks),num,-3.44,6869,100.0,-6.9,
E08.01,Upper wick size / lower wick size (ticks),num,-3.41,6834,99.5,-6.8,
E18.04,clL streak (sustained unwind),num,3.39,6855,99.8,4.3,
E12.03,Buy-dominance streak (share > 0.5),num,-3.34,6855,99.8,-5.3,
B-S.08,Sum OpS,num,-3.27,6869,100.0,-2.8,
E14.04,Same-sign delta streak (pressure persistence),num,-3.23,6855,99.8,-4.6,
