# NOTE: flag=empty is necessary but not sufficient — apply the clock/volume/price test when reading. The excess_diff subtraction AMPLIFIES drift-trackers (regime/time/tempo/level), it does not clean them.
rank,feature_code,plain_name,flag,best_bin,n,TP_L,TP_S,whip_pct,raw_diff,excess_diff,shared,ci_lo,ci_hi,eff_blocks
1,E51.01,Volume per bin (vector feature),,Q3,1546,53.0,21.9,25.0,31.1,28.35,-1.13,1.59,47.15,8
2,E31.01,Current level,tempo,Q1,2020,24.8,49.8,25.5,-25.0,-27.76,-1.6,-38.98,-14.33,28
3,E01.01,UTC hour-of-day (0-23),clock,Q3,1717,25.2,48.8,26.0,-23.6,-26.41,-2.14,-46.66,-15.45,6
4,E02.01,UTC hour-of-day at close,clock,Q3,1717,25.2,48.8,26.0,-23.6,-26.41,-2.14,-46.66,-15.45,6
5,E11.01,Overshoot ratio: curr_vol / target_vol (last-print spillover),tempo,Q2,1725,27.8,46.3,25.9,-18.6,-21.31,-2.02,-37.38,-4.24,12
6,E11.03,Log volume,tempo,Q2,1725,27.8,46.3,25.9,-18.6,-21.31,-2.02,-37.38,-4.24,12
7,E32.01,Current size,tempo,Q2,1713,28.0,46.1,25.9,-18.1,-20.86,-1.96,-36.9,-3.49,12
8,E51.07,z / percentile of large share,,Q2,1396,48.6,25.7,25.7,22.9,20.09,-1.82,8.29,28.83,15
9,E50.09,Large-count streak,,Q4,1046,50.6,27.9,21.5,22.7,19.9,2.39,11.44,28.81,16
10,E51.08,Large-share streak,,Q2,1476,50.7,29.3,20.0,21.5,18.72,3.91,-0.66,32.18,12
11,B-S.03,Total volume,tempo,Q2,1717,29.3,45.0,25.7,-15.7,-18.49,-1.79,-34.2,-1.72,11
12,K.04,Bandwidth: (upper - lower) / mid,,Q1,1937,30.5,45.7,23.7,-15.2,-17.99,0.15,-34.15,0.48,20
13,E11.05,Above/below-mean volume streak,tempo,Q1,2583,29.5,44.6,25.9,-15.1,-17.82,-1.96,-31.27,-4.62,30
14,B-S.02,Selection wall-clock duration,tempo,Q1,2601,47.8,27.4,24.8,20.3,17.58,-0.94,7.4,27.18,27
15,E29.01,Raw units/s / log pace,tempo,Q1,2248,30.7,44.6,24.7,-13.8,-16.6,-0.79,-25.08,-7.03,32
16,G08.1,vel = volume/second and Speed multiple (canonical),tempo,Q1,2248,30.7,44.6,24.7,-13.8,-16.6,-0.79,-25.08,-7.03,32
17,E31.02,Slope over trailing window (regime drift),tempo,Q1,2500,47.8,28.9,23.3,18.9,16.12,0.62,8.65,23.82,32
18,E04.01,"Gap vs prior close: size, sign, gap-in-ticks",level,Q4,2548,31.0,44.0,25.0,-12.9,-15.67,-1.1,-33.92,-1.21,14
19,E04.08,True range (gap-adjusted) vs raw range,level,Q4,2548,31.0,44.0,25.0,-12.9,-15.67,-1.1,-33.92,-1.21,14
20,E04.09,Log return open->close,level,Q4,2548,31.0,44.0,25.0,-12.9,-15.67,-1.1,-33.92,-1.21,14
21,E09.01,POC round-number proximity,level,Q4,2568,31.1,43.5,25.4,-12.4,-15.18,-1.53,,,15
22,E32.07,Percentile vs history,tempo,Q2,2590,32.0,44.2,23.8,-12.1,-14.88,0.11,,,29
23,E49.05,Percentile of total fraction,,Q4,1991,31.8,43.8,24.4,-12.1,-14.82,-0.46,,,32
24,K.01,KC middle line value at entry (EMA-20 of close),level,Q4,2547,30.9,42.6,26.5,-11.8,-14.54,-2.6,,,12
25,K.10,Rolling-POC baseline value (240-bucket window POC),level,Q3,1825,31.8,43.6,24.6,-11.7,-14.49,-0.7,,,12
26,B-S.13,Average VEL + Speed multiple,tempo,Q1,2248,31.3,42.9,25.8,-11.6,-14.37,-1.86,,,32
27,E48.06,Day-rank,,Q1,1931,45.1,28.3,26.6,16.8,14.07,-2.72,,,13
28,K.02,KC upper band (mid + 2.0 x ATR-20),level,Q4,2567,31.2,42.5,26.2,-11.3,-14.06,-2.32,,,12
29,E54.05,Tier-dwell streak,,Q3,2339,33.3,44.5,22.2,-11.2,-13.96,1.71,,,32
30,E11.02,Volume percentile / z vs trailing window,tempo,Q1,2575,31.3,42.4,26.3,-11.1,-13.87,-2.39,,,31
31,K.03,KC lower band (mid - 2.0 x ATR-20),level,Q4,2508,31.2,42.3,26.5,-11.0,-13.81,-2.62,,,12
32,C.06,Realized volatility of the 15,,Q1,1972,32.6,43.1,24.3,-10.5,-13.26,-0.39,,,29
33,E50.08,Large-count percentile vs window,,Q4,1239,47.4,31.4,21.2,16.0,13.22,2.67,,,16
34,E52.01,large-order net side (APPROX fixed-273c),,large-buy,2864,46.0,30.3,23.7,15.7,12.99,0.19,,,16
35,E03.01,Raw seconds / log-duration,,Q4,2484,33.3,43.0,23.7,-9.7,-12.42,0.23,,,32
36,G01.1,Duration (the canonical example: elapsed seconds),,Q4,2484,33.3,43.0,23.7,-9.7,-12.42,0.23,,,32
37,E20.01,churn / vol fraction,,Q2,1971,33.3,43.0,23.7,-9.6,-12.4,0.2,,,31
38,E50.01,Counts per bin (vector feature),,Q3,1492,46.4,31.3,22.3,15.1,12.39,1.65,,,16
39,B-P1.06,Absolute bear V*s over the selection,,Q1,2043,32.5,41.7,25.9,-9.2,-11.96,-2.0,,,32
40,E54.03,z / percentile vs trailing 240,,Q1,2522,45.4,30.8,23.8,14.6,11.87,0.15,,,32
41,E47.06,Day-rank,,Q4,1948,34.2,42.8,23.0,-8.6,-11.33,0.85,,,32
42,E48.02,z / percentile,,Q2,2272,33.5,41.5,25.0,-8.1,-10.86,-1.1,,,32
43,B-S.10,Sum ClS,suspect-regime,Q3,2510,33.6,41.5,24.9,-7.9,-10.65,-1.04,,,32
44,C.08,Dominant 12-state verdict over the 15,,ROTATION,1897,34.2,41.8,24.0,-7.6,-10.35,-0.09,,,32
45,C.05,Max drawup and drawdown within the 15,,Q1,2198,33.9,41.3,24.8,-7.4,-10.13,-0.94,,,32
46,K.09,Squeeze flag: bandwidth in bottom percentile,,Q4,2440,44.2,31.3,24.5,12.9,10.11,-0.61,,,30
47,B-P2.02,Bear eff-agg percentage (badge),,Q4,2262,34.6,41.8,23.7,-7.2,-9.97,0.25,,,32
48,B-P2.01,Bull eff-agg percentage (badge),,Q1,2263,34.6,41.8,23.7,-7.2,-9.96,0.21,,,32
49,B-P1.02,Bear absorption percentage (badge),,Q1,2293,33.7,40.6,25.7,-6.9,-9.7,-1.83,,,32
50,B-P1.01,Bull absorption percentage (badge),,Q4,2289,33.7,40.5,25.7,-6.8,-9.58,-1.83,,,32
51,E55.09,Percentile-window fill health,warmup-artifact,Q1,2438,42.8,30.9,26.3,11.9,9.09,-2.39,,,32
52,K.12,POC-baseline slope + consecutive-side streak,,Q2,111,36.9,43.2,19.8,-6.3,-9.07,4.08,,,29
53,K.11,Close vs POC baseline: side + distance,,Q3,2291,35.0,41.3,23.7,-6.3,-9.05,0.2,,,32
54,E03.08,Duration acceleration: ratio vs prior bucket,,Q2,2556,43.1,31.5,25.4,11.6,8.82,-1.53,,,32
55,E54.04,Slope over last N buckets,,Q1,2503,43.9,32.7,23.4,11.2,8.47,0.49,,,32
56,E39.04,Consecutive-dot streak,,Q4,690,35.2,40.9,23.9,-5.7,-8.41,-0.02,,,32
57,B-S.09,Sum ClL,,Q1,2292,42.8,31.8,25.4,11.0,8.28,-1.54,,,27
58,E03.07,Fast/slow STREAK length (consecutive buckets same class),,Q4,2148,43.8,32.7,23.5,11.0,8.27,0.39,,,32
59,E19.02,z / percentile,,Q1,2379,35.1,40.4,24.5,-5.4,-8.14,-0.61,,,32
60,B-S.06,Net dOI,,Q4,2978,44.7,33.9,21.3,10.8,8.02,2.57,,,32
61,C.10,Cumulative dOI over the 15,,Q4,2962,44.9,34.1,21.0,10.8,8.01,2.86,,,32
62,E12.01,Buy share: buy_vol / curr_vol,,Q2,2121,35.5,40.6,24.0,-5.1,-7.9,-0.05,,,32
63,E12.08,Log buy volume,,Q2,2121,35.5,40.6,24.0,-5.1,-7.9,-0.05,,,32
64,B-S.07,Sum OpL,,Q2,2222,34.6,39.7,25.7,-5.1,-7.89,-1.75,,,31
65,B-P4.04,Opposite side's percentage,,Q2,2310,34.5,39.6,25.9,-5.1,-7.83,-2.03,,,32
66,E05.02,Range percentile vs trailing 30/240,,Q1,2450,35.7,40.7,23.7,-5.0,-7.74,0.22,,,32
67,E47.05,Liq-short streak,,Q1,2530,33.9,38.9,27.2,-4.9,-7.7,-3.34,,,32
68,B-P2.05,Absolute bull V*(1-s) over the selection,,Q2,2105,35.9,40.9,23.2,-4.9,-7.7,0.67,,,32
69,B-P4.10,Crossover-diamond count in the selection,,2,490,35.7,40.6,23.7,-4.9,-7.66,0.22,,,30
70,E25.01,Raw dispersion (ticks),,Q1,2271,36.0,40.9,23.1,-4.8,-7.61,0.78,,,32
71,E29.05,Pace acceleration,tempo,Q2,2233,36.2,40.8,23.0,-4.7,-7.42,0.92,,,32
72,E11.09,Day-rank of the bucket's volume,tempo,Q1,2499,35.5,39.9,24.5,-4.4,-7.16,-0.63,,,18
73,K.08,Channel slope (mid-line drift over N buckets),,Q4,2593,43.1,33.3,23.6,9.8,7.07,0.3,,,32
74,B-P1.10,Validated-dot (s>=0.60) count in selection,,Q4,2125,36.1,40.3,23.5,-4.2,-6.95,0.37,,,32
75,E05.01,Absolute range / range in ticks,,Q1,2487,35.8,39.9,24.3,-4.1,-6.86,-0.43,,,32
76,E45.02,Dispersion percentile vs window,,Q1,2452,36.0,40.0,23.9,-4.0,-6.8,-0.04,,,32
77,B-P4.09,Peak gated score + its bucket position,,Q1,2788,42.9,33.4,23.7,9.5,6.78,0.15,,,32
78,E43.05,Dominant-POC streak,,Q4,1798,36.7,40.7,22.7,-4.0,-6.77,1.21,,,32
79,B-S.05,Net delta + delta percentage,,Q4,3133,42.3,33.0,24.7,9.3,6.56,-0.84,,,32
80,E42.01,Traded-level count,,Q1,2694,35.9,39.6,24.6,-3.7,-6.47,-0.68,,,32
81,E45.01,Level count / dispersion in ticks,,Q1,2694,35.9,39.6,24.6,-3.7,-6.47,-0.68,,,32
82,E18.02,z / percentile,,Q1,2372,35.5,39.1,25.4,-3.7,-6.43,-1.52,,,32
83,E38.03,Day-rank,,Q2,2184,36.0,39.5,24.5,-3.5,-6.24,-0.55,,,32
84,B-S.08,Sum OpS,,Q2,2125,36.2,39.7,24.1,-3.4,-6.2,-0.2,,,30
85,B-P1.03,Spread: bull% - bear%,,Q3,2509,35.9,39.3,24.8,-3.4,-6.19,-0.93,,,32
86,E47.02,z / percentile vs window,,Q2,2664,36.6,40.1,23.3,-3.4,-6.18,0.59,,,32
