# NOTE: flag=empty is necessary but not sufficient — apply the clock/volume/price test when reading. The excess_diff subtraction AMPLIFIES drift-trackers (regime/time/tempo/level), it does not clean them.
rank,feature_code,plain_name,flag,best_bin,n,TP_L,TP_S,whip_pct,raw_diff,excess_diff,shared,ci_lo,ci_hi,eff_blocks
1,E51.01,Volume per bin (vector feature),,Q2,575,36.5,45.9,17.6,-9.4,-12.15,6.33,-5.44,17.65,4
2,E48.02,z / percentile,,Q4,495,41.2,40.6,18.2,0.6,-2.16,5.72,3.26,8.03,31
3,E04.01,"Gap vs prior close: size, sign, gap-in-ticks",level,Q2,1726,45.9,34.8,19.4,11.1,8.36,4.55,0.4,7.92,13
4,E04.08,True range (gap-adjusted) vs raw range,level,Q2,1726,45.9,34.8,19.4,11.1,8.36,4.55,0.4,7.92,13
5,E04.09,Log return open->close,level,Q2,1726,45.9,34.8,19.4,11.1,8.36,4.55,0.4,7.92,13
6,E09.01,POC round-number proximity,level,Q2,1713,45.7,34.9,19.4,10.8,8.04,4.52,0.07,7.87,13
7,C.08,Dominant 12-state verdict over the 15,,STRONG BULL,148,36.5,43.9,19.6,-7.4,-10.19,4.3,-3.77,11.21,20
8,B-S.13,Average VEL + Speed multiple,tempo,Q2,2213,39.8,40.4,19.7,-0.6,-3.39,4.15,1.54,6.75,32
9,E51.07,z / percentile of large share,,Q3,1168,46.9,33.3,19.8,13.6,10.85,4.12,1.36,7.55,14
10,K.12,POC-baseline slope + consecutive-side streak,,Q2,111,36.9,43.2,19.8,-6.3,-9.07,4.08,-0.75,8.84,29
11,E51.08,Large-share streak,,Q2,1476,50.7,29.3,20.0,21.5,18.72,3.91,0.42,8.27,12
12,K.01,KC middle line value at entry (EMA-20 of close),level,Q2,1716,45.6,34.1,20.3,11.5,8.72,3.56,-0.3,6.87,11
13,E50.08,Large-count percentile vs window,,Q3,1406,46.4,33.2,20.3,13.2,10.47,3.56,1.51,5.91,16
14,E55.09,Percentile-window fill health,warmup-artifact,Q3,2360,39.5,40.1,20.4,-0.6,-3.31,3.52,1.34,5.48,32
15,B-S.10,Sum ClS,suspect-regime,Q2,2294,39.1,40.5,20.4,-1.4,-4.2,3.45,1.28,5.71,31
16,K.02,KC upper band (mid + 2.0 x ATR-20),level,Q2,1716,46.0,33.6,20.5,12.4,9.65,3.44,-1.5,7.22,12
17,K.03,KC lower band (mid - 2.0 x ATR-20),level,Q2,1716,45.3,33.9,20.7,11.4,8.66,3.15,-1.11,6.41,10
18,B-P1.03,Spread: bull% - bear%,,Q1,2400,41.3,37.8,20.9,3.6,0.82,2.98,0.98,4.74,32
19,E60.01,State label (categorical) + one-hot vector,,BULL TRAP,239,41.8,37.2,20.9,4.6,1.84,2.98,-0.81,6.99,32
20,E62.01,Historical frequency of each state,,BULL TRAP,239,41.8,37.2,20.9,4.6,1.84,2.98,-0.81,6.99,32
21,E19.07,clS acceleration,,Q3,2350,39.4,39.6,21.0,-0.3,-3.02,2.88,,,32
22,C.10,Cumulative dOI over the 15,,Q4,2962,44.9,34.1,21.0,10.8,8.01,2.86,,,32
23,K.07,Distance to nearest band (ticks and ATRs),,Q1,2378,40.7,38.0,21.3,2.8,0.01,2.62,,,32
24,E03.01,Raw seconds / log-duration,,Q2,2421,43.3,35.4,21.3,8.0,5.21,2.58,,,32
25,G01.1,Duration (the canonical example: elapsed seconds),,Q2,2421,43.3,35.4,21.3,8.0,5.21,2.58,,,32
26,B-S.06,Net dOI,,Q4,2978,44.7,33.9,21.3,10.8,8.02,2.57,,,32
27,B-P1.02,Bear absorption percentage (badge),,Q3,2494,41.6,37.1,21.3,4.5,1.73,2.57,,,32
28,B-P1.01,Bull absorption percentage (badge),,Q2,2493,41.6,37.1,21.3,4.5,1.77,2.56,,,32
29,E11.02,Volume percentile / z vs trailing window,tempo,Q4,2338,43.2,35.4,21.4,7.8,5.02,2.51,,,29
30,E50.01,Counts per bin (vector feature),,Q4,1807,44.1,34.5,21.4,9.6,6.87,2.48,,,16
31,E11.05,Above/below-mean volume streak,tempo,Q3,2458,45.4,33.1,21.4,12.3,9.57,2.46,,,29
32,E50.09,Large-count streak,,Q4,1046,50.6,27.9,21.5,22.7,19.9,2.39,,,16
33,E48.05,Liq-long streak,,Q3,2287,39.8,38.7,21.5,1.1,-1.67,2.39,,,32
34,E57.03,Depth percentile vs window,,Q2,2761,40.7,37.7,21.6,2.9,0.17,2.31,,,32
35,E29.01,Raw units/s / log pace,tempo,Q3,2510,44.0,34.4,21.6,9.6,6.88,2.3,,,32
36,G08.1,vel = volume/second and Speed multiple (canonical),tempo,Q3,2510,44.0,34.4,21.6,9.6,6.88,2.3,,,32
37,E29.04,Pace streak,tempo,Q2,2159,39.8,38.5,21.6,1.3,-1.46,2.27,,,32
38,B-P2.07,Sum: eff-agg share of selection volume,,Q1,2572,43.0,35.4,21.7,7.6,4.82,2.24,,,32
