code	family	reason
E01.02	E	catalog transform not unambiguously specified
E01.03	E	catalog transform not unambiguously specified
E01.04	E	catalog transform not unambiguously specified
E01.05	E	catalog transform not unambiguously specified
E01.06	E	catalog transform not unambiguously specified
E01.07	E	catalog transform not unambiguously specified
E01.08	E	catalog transform not unambiguously specified
E01.09	E	catalog transform not unambiguously specified
E01.10	E	catalog transform not unambiguously specified
E01.11	E	catalog transform not unambiguously specified
E01.12	E	catalog transform not unambiguously specified
E02.02	E	catalog transform not unambiguously specified
E02.03	E	catalog transform not unambiguously specified
E02.04	E	catalog transform not unambiguously specified
E02.05	E	catalog transform not unambiguously specified
E02.06	E	catalog transform not unambiguously specified
E02.07	E	catalog transform not unambiguously specified
E02.08	E	catalog transform not unambiguously specified
E02.09	E	catalog transform not unambiguously specified
E02.10	E	catalog transform not unambiguously specified
E03.04	E	catalog transform not unambiguously specified
E03.05	E	catalog transform not unambiguously specified
E03.06	E	catalog transform not unambiguously specified
E03.09	E	catalog transform not unambiguously specified
E03.10	E	catalog transform not unambiguously specified
E04.02	E	catalog transform not unambiguously specified
E04.03	E	catalog transform not unambiguously specified
E04.04	E	catalog transform not unambiguously specified
E04.06	E	catalog transform not unambiguously specified
E04.07	E	catalog transform not unambiguously specified
E04.10	E	catalog transform not unambiguously specified
E04.11	E	catalog transform not unambiguously specified
E05.04	E	catalog transform not unambiguously specified
E05.05	E	catalog transform not unambiguously specified
E05.06	E	catalog transform not unambiguously specified
E05.08	E	catalog transform not unambiguously specified
E05.09	E	catalog transform not unambiguously specified
E05.10	E	catalog transform not unambiguously specified
E06.05	E	catalog transform not unambiguously specified
E06.06	E	catalog transform not unambiguously specified
E06.07	E	catalog transform not unambiguously specified
E06.08	E	catalog transform not unambiguously specified
E06.09	E	catalog transform not unambiguously specified
E07.02	E	catalog transform not unambiguously specified
E07.03	E	catalog transform not unambiguously specified
E07.06	E	catalog transform not unambiguously specified
E07.07	E	catalog transform not unambiguously specified
E07.08	E	catalog transform not unambiguously specified
E07.09	E	catalog transform not unambiguously specified
E07.10	E	catalog transform not unambiguously specified
E08.02	E	catalog transform not unambiguously specified
E08.03	E	catalog transform not unambiguously specified
E08.04	E	catalog transform not unambiguously specified
E08.05	E	catalog transform not unambiguously specified
E08.06	E	catalog transform not unambiguously specified
E08.07	E	catalog transform not unambiguously specified
E08.09	E	catalog transform not unambiguously specified
E08.10	E	catalog transform not unambiguously specified
E09.02	E	catalog transform not unambiguously specified
E09.03	E	catalog transform not unambiguously specified
E09.04	E	catalog transform not unambiguously specified
E09.05	E	catalog transform not unambiguously specified
E09.06	E	catalog transform not unambiguously specified
E09.07	E	catalog transform not unambiguously specified
E09.08	E	catalog transform not unambiguously specified
E09.10	E	catalog transform not unambiguously specified
E10.02	E	catalog transform not unambiguously specified
E10.03	E	catalog transform not unambiguously specified
E10.05	E	catalog transform not unambiguously specified
E10.06	E	catalog transform not unambiguously specified
E10.08	E	catalog transform not unambiguously specified
E10.09	E	catalog transform not unambiguously specified
E10.10	E	catalog transform not unambiguously specified
E11.04	E	catalog transform not unambiguously specified
E11.06	E	catalog transform not unambiguously specified
E11.07	E	catalog transform not unambiguously specified
E11.08	E	catalog transform not unambiguously specified
E11.10	E	catalog transform not unambiguously specified
E12.04	E	catalog transform not unambiguously specified
E12.05	E	catalog transform not unambiguously specified
E12.07	E	catalog transform not unambiguously specified
E12.09	E	catalog transform not unambiguously specified
E13.04	E	catalog transform not unambiguously specified
E13.05	E	catalog transform not unambiguously specified
E13.07	E	catalog transform not unambiguously specified
E13.09	E	catalog transform not unambiguously specified
E14.02	E	catalog transform not unambiguously specified
E14.05	E	catalog transform not unambiguously specified
E14.07	E	catalog transform not unambiguously specified
E14.08	E	catalog transform not unambiguously specified
E14.10	E	catalog transform not unambiguously specified
E15.02	E	catalog transform not unambiguously specified
E15.03	E	catalog transform not unambiguously specified
E15.06	E	catalog transform not unambiguously specified
E15.07	E	catalog transform not unambiguously specified
E15.08	E	catalog transform not unambiguously specified
E15.09	E	catalog transform not unambiguously specified
E15.10	E	catalog transform not unambiguously specified
E16.03	E	catalog transform not unambiguously specified
E16.05	E	catalog transform not unambiguously specified
E16.07	E	catalog transform not unambiguously specified
E16.09	E	catalog transform not unambiguously specified
E16.10	E	catalog transform not unambiguously specified
E17.03	E	catalog transform not unambiguously specified
E17.05	E	catalog transform not unambiguously specified
E17.07	E	catalog transform not unambiguously specified
E17.09	E	catalog transform not unambiguously specified
E17.10	E	catalog transform not unambiguously specified
E18.03	E	catalog transform not unambiguously specified
E18.05	E	catalog transform not unambiguously specified
E18.06	E	catalog transform not unambiguously specified
E18.09	E	catalog transform not unambiguously specified
E18.10	E	catalog transform not unambiguously specified
E19.03	E	catalog transform not unambiguously specified
E19.05	E	catalog transform not unambiguously specified
E19.06	E	catalog transform not unambiguously specified
E19.09	E	catalog transform not unambiguously specified
E19.10	E	catalog transform not unambiguously specified
E20.02	E	catalog transform not unambiguously specified
E20.05	E	catalog transform not unambiguously specified
E20.06	E	catalog transform not unambiguously specified
E20.09	E	catalog transform not unambiguously specified
E20.10	E	catalog transform not unambiguously specified
E21.02	E	catalog transform not unambiguously specified
E21.05	E	catalog transform not unambiguously specified
E21.06	E	catalog transform not unambiguously specified
E21.07	E	catalog transform not unambiguously specified
E21.09	E	catalog transform not unambiguously specified
E22.02	E	catalog transform not unambiguously specified
E22.03	E	catalog transform not unambiguously specified
E22.04	E	catalog transform not unambiguously specified
E22.05	E	catalog transform not unambiguously specified
E22.06	E	catalog transform not unambiguously specified
E22.07	E	catalog transform not unambiguously specified
E22.08	E	catalog transform not unambiguously specified
E22.09	E	catalog transform not unambiguously specified
E22.10	E	catalog transform not unambiguously specified
E23.03	E	catalog transform not unambiguously specified
E23.05	E	catalog transform not unambiguously specified
E23.07	E	catalog transform not unambiguously specified
E23.10	E	catalog transform not unambiguously specified
E24.03	E	catalog transform not unambiguously specified
E24.05	E	catalog transform not unambiguously specified
E24.07	E	catalog transform not unambiguously specified
E24.10	E	catalog transform not unambiguously specified
E25.03	E	catalog transform not unambiguously specified
E25.04	E	catalog transform not unambiguously specified
E25.05	E	catalog transform not unambiguously specified
E25.07	E	catalog transform not unambiguously specified
E25.08	E	catalog transform not unambiguously specified
E25.09	E	catalog transform not unambiguously specified
E25.10	E	catalog transform not unambiguously specified
E26.01	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E26.02	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E26.03	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E26.04	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E26.05	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E26.06	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E26.07	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E26.08	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E26.09	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E26.10	E	descriptive display anomaly (side E/R vs trailing-30 border) — deferred
E27.01	E	descriptive neon-border flag — deferred
E27.02	E	descriptive neon-border flag — deferred
E27.03	E	descriptive neon-border flag — deferred
E27.04	E	descriptive neon-border flag — deferred
E27.05	E	descriptive neon-border flag — deferred
E27.06	E	descriptive neon-border flag — deferred
E27.07	E	descriptive neon-border flag — deferred
E27.08	E	descriptive neon-border flag — deferred
E27.09	E	descriptive neon-border flag — deferred
E27.10	E	descriptive neon-border flag — deferred
E28.02	E	catalog transform not unambiguously specified
E28.03	E	catalog transform not unambiguously specified
E28.04	E	catalog transform not unambiguously specified
E28.08	E	catalog transform not unambiguously specified
E28.10	E	catalog transform not unambiguously specified
E29.03	E	catalog transform not unambiguously specified
E29.06	E	catalog transform not unambiguously specified
E29.07	E	catalog transform not unambiguously specified
E29.08	E	catalog transform not unambiguously specified
E29.09	E	catalog transform not unambiguously specified
E29.10	E	catalog transform not unambiguously specified
E30.01	E	abnormal-velocity flag family — deferred (threshold semantics)
E30.02	E	abnormal-velocity flag family — deferred (threshold semantics)
E30.03	E	abnormal-velocity flag family — deferred (threshold semantics)
E30.04	E	abnormal-velocity flag family — deferred (threshold semantics)
E30.05	E	abnormal-velocity flag family — deferred (threshold semantics)
E30.06	E	abnormal-velocity flag family — deferred (threshold semantics)
