# SEL-k frame sweep. Bins fit on DISCOVERY only; 'hold' = the SPENT holdout (learning material, selection-biased across 15 trials — NOT validation). Winner = v2 hypothesis.
k,disc_n,disc_selTP,disc_alwL,disc_alwS,disc_delta,disc_E,hold_n,hold_selTP,hold_alwL,hold_alwS,hold_delta,hold_E,hold_flips
1,6869,45.79,35.68,40.08,5.71,-0.08,2565,50.14,50.88,27.17,-0.74,0.04,332
2,6869,45.81,35.68,40.08,5.74,-0.08,2565,49.59,50.88,27.17,-1.29,0.02,308
3,6869,45.92,35.68,40.08,5.84,-0.08,2565,49.90,50.88,27.17,-0.97,0.03,326
4,6869,45.93,35.68,40.08,5.85,-0.08,2565,49.82,50.88,27.17,-1.05,0.03,300
5,6869,46.00,35.68,40.08,5.93,-0.07,2565,50.14,50.88,27.17,-0.74,0.04,266
6,6869,45.83,35.68,40.08,5.75,-0.08,2565,49.82,50.88,27.17,-1.05,0.03,256
7,6869,46.29,35.68,40.08,6.22,-0.07,2565,49.63,50.88,27.17,-1.25,0.02,258
8,6869,46.67,35.68,40.08,6.59,-0.06,2565,49.43,50.88,27.17,-1.44,0.02,286
9,6869,46.89,35.68,40.08,6.81,-0.05,2565,49.12,50.88,27.17,-1.75,0.01,290
10,6869,46.72,35.68,40.08,6.64,-0.05,2565,49.28,50.88,27.17,-1.60,0.01,268
11,6869,47.01,35.68,40.08,6.93,-0.05,2565,49.36,50.88,27.17,-1.52,0.02,254
12,6869,46.78,35.68,40.08,6.70,-0.05,2565,49.75,50.88,27.17,-1.13,0.03,244
13,6869,46.91,35.68,40.08,6.83,-0.05,2565,49.20,50.88,27.17,-1.68,0.01,298
14,6869,47.04,35.68,40.08,6.96,-0.05,2565,48.73,50.88,27.17,-2.14,-0.00,250
15,6869,47.40,35.68,40.08,7.32,-0.04,2565,48.65,50.88,27.17,-2.22,-0.00,282
16,6869,47.26,35.68,40.08,7.18,-0.04,2565,48.77,50.88,27.17,-2.11,0.00,248
