event,bucket_id,side_label,forced_z,vacuum_frac
1,17305,S,43.35,0.0024
2,17418,S,2.31,0.0206
3,17420,S,2.03,0.0849
4,17586,S,3.49,0.0025
5,17723,B,3.37,0.0813
6,17790,S,2.07,0.0017
7,18621,B,2.51,0.0016
8,18765,S,3.55,0.0001
9,18885,S,3.57,0.0034
10,19096,B,3.3,0.0641
11,19171,S,2.01,0.0041
12,19247,S,4.71,0.0416
13,19393,S,2.41,0.0362
14,19724,S,4.34,0.0489
15,19740,S,5.66,0.0908
16,19786,B,3.75,0.023
17,19885,S,5.67,0.0193
18,19886,S,3.26,0.0329
19,20563,S,4.33,0.0599
20,20596,S,2.17,0.0017
21,20636,S,5.17,0.0033
22,20909,B,7.25,0.0101
23,20979,S,3.29,0.0376
24,21240,S,2.16,0.0416
25,21313,S,2.05,0.0205
26,21401,S,4.21,0.0081
27,21837,S,4.12,0.0505
28,21837,B,2.61,0.0002
29,22061,B,4.03,0.001
