# PHASE-1 liquidity sweeps (offline, merged 1m snapshots). Tier-A = structure + forced-flow (clS/clL z>=2 & OI<0) + vacuum (<10%% beyond level). Tier-B = structure + exactly one. side_label = harvest intent (upside sweep -> S, downside -> B). No outcome study.
ts,bucket_id,side_label,swept_level,wick_extent,wick_pct,forced_z,oi_delta,vacuum_frac,tier,forced,vacuum
1782646847.185,9734,B,71.76,0.01,0.0139,0.33,511.2,0.0225,B,0,1
1782647003.37,9737,S,71.89,0.01,0.0139,-0.62,3982.9,0.0118,B,0,1
1782647040.433,9738,S,71.89,0.01,0.0139,-0.46,552.4,0.0004,B,0,1
1782647087.982,9739,S,71.89,0.01,0.0139,-0.62,3149.1,0.0002,B,0,1
1782647106.65,9740,S,71.92,0.01,0.0139,1.93,-1617.6,0.0663,B,0,1
1782648201.972,9764,B,71.76,0.01,0.0139,2.57,-3046.6,0.1689,B,1,0
1782648260.512,9765,B,71.77,0.01,0.0139,3.22,-1687.7,0.0286,A,1,1
1782648506.219,9770,S,71.92,0.03,0.0417,2.45,-1181.1,0.7865,B,1,0
1782648589.477,9771,S,71.89,0.01,0.0139,-0.08,695.4,0.0961,B,0,1
1782648913.83,9776,B,71.77,0.01,0.0139,0.24,1425.2,0.0068,B,0,1
1782648941.048,9777,B,71.77,0.01,0.0139,-0.34,-374.2,0.0001,B,0,1
1782649744.812,9792,S,71.95,0.01,0.0139,-0.89,0.0,0.008,B,0,1
1782650118.909,9822,S,71.89,0.01,0.0139,1.27,-3529.2,0.0003,B,0,1
1782650196.904,9824,S,71.95,0.01,0.0139,-0.03,1443.1,0.0577,B,0,1
1782650706.927,9833,B,71.75,0.01,0.0139,-0.62,2864.4,0.0371,B,0,1
1782651383.145,9843,S,71.89,0.02,0.0278,-0.16,-758.7,0.056,B,0,1
1782653926.706,9916,S,71.87,0.01,0.0139,-0.76,2345.5,0.0039,B,0,1
1782654008.863,9918,S,71.87,0.03,0.0417,2.17,-2392.0,0.4819,B,1,0
1782654142.635,9923,S,71.87,0.01,0.0139,-0.96,-1156.4,0.0684,B,0,1
1782654916.424,9947,S,71.87,0.01,0.0139,0.75,-157.2,0.0329,B,0,1
1782655032.464,9951,S,71.7,0.01,0.0139,-0.83,213.6,0.0769,B,0,1
1782655087.655,9953,S,71.7,0.02,0.0279,-0.74,1566.3,0.0478,B,0,1
1782657102.516,9987,S,71.87,0.01,0.0139,-1.1,1580.1,0.0002,B,0,1
1782657183.8,9988,B,71.78,0.01,0.0139,-0.48,1534.1,0.0017,B,0,1
1782657407.079,9991,S,71.87,0.01,0.0139,-0.86,1138.0,0.0559,B,0,1
1782657665.715,9998,B,71.78,0.02,0.0279,0.09,-2239.4,0.0913,B,0,1
1782658234.761,10007,S,71.87,0.01,0.0139,0.05,-287.1,0.0117,B,0,1
1782658353.212,10008,B,71.78,0.01,0.0139,0.45,14.3,0.0005,B,0,1
1782659041.195,10019,B,71.78,0.06,0.0836,-0.57,2506.3,0.0876,B,0,1
1782659651.375,10039,B,71.72,0.02,0.0279,1.18,-1805.6,0.0662,B,0,1
1782659739.104,10042,B,71.72,0.01,0.0139,1.6,-2379.3,0.0307,B,0,1
1782659807.538,10043,B,71.63,0.01,0.014,-0.08,-1833.6,0.0108,B,0,1
1782659897.419,10046,S,71.94,0.01,0.0139,0.06,-1754.1,0.0145,B,0,1
1782659910.958,10048,S,71.94,0.01,0.0139,-0.86,1928.8,0.0858,B,0,1
1782660091.069,10052,B,71.78,0.02,0.0279,0.03,-814.6,0.0459,B,0,1
1782660169.675,10053,B,71.78,0.01,0.0139,-0.82,1203.6,0.0066,B,0,1
1782660699.364,10062,S,71.87,0.01,0.0139,2.04,-1805.8,0.0405,A,1,1
1782661022.301,10080,B,71.73,0.04,0.0558,3.38,-5174.0,0.4769,B,1,0
1782661067.69,10081,B,71.72,0.04,0.0558,2.52,-2908.0,0.3659,B,1,0
1782661224.045,10083,B,71.73,0.01,0.0139,-0.5,-256.1,0.0509,B,0,1
1782661824.954,10091,B,71.68,0.01,0.014,-0.54,73.2,0.0033,B,0,1
1782661843.116,10092,B,71.75,0.01,0.0139,-0.64,2018.7,0.0098,B,0,1
1782662383.903,10112,S,71.98,0.01,0.0139,0.96,612.1,0.0099,B,0,1
