# PHASE-1 liquidity sweeps, 15m timeframe (study snapshots). Frozen Tier-A rule = structure (k=5 pivot pierced + close back inside) + forced-flow (clS/clL z>=2 & OI<0) + vacuum (<10%% beyond level). TIER-A ONLY. side_label = harvest intent (upside sweep -> S, downside -> B).
ts,bucket_id,side_label,swept_level,wick_extent,wick_pct,forced_z,oi_delta,vacuum_frac,tier,forced,vacuum
1781963221.644,346,B,71.11,0.01,0.0141,3.92,-2693.8,0.0253,A,1,1
1781963251.251,347,B,71.11,0.01,0.0141,2.62,-2996.7,0.0563,A,1,1
1781966808.753,699,B,71.92,0.01,0.0139,5.12,-4158.1,0.0553,A,1,1
1781972060.321,1274,B,71.65,0.01,0.014,2.88,-3090.7,0.0973,A,1,1
1781976939.574,1473,B,71.11,0.01,0.0141,2.31,-2306.3,0.0312,A,1,1
1781994735.331,2299,S,73.97,0.01,0.0135,5.68,-4741.0,0.0453,A,1,1
1781995227.959,2387,B,73.87,0.01,0.0135,2.98,-1914.2,0.082,A,1,1
1782028541.192,2654,S,73.32,0.04,0.0546,2.09,-10935.6,0.092,A,1,1
1782030193.319,2657,B,72.96,0.02,0.0274,2.26,-13570.7,0.0437,A,1,1
1782311606.113,3191,S,69.29,0.02,0.0289,2.21,-12385.5,0.0144,A,1,1
1782579710.346,3699,S,72.57,0.02,0.0276,2.03,-7790.5,0.0115,A,1,1
1782640647.948,3824,S,71.6,0.02,0.0279,3.4,-8635.1,0.0203,A,1,1
1782745942.337,4024,S,73.65,0.02,0.0272,4.12,-32594.7,0.0015,A,1,1
1782750158.248,4029,S,73.9,0.14,0.1894,2.12,-29348.0,0.0679,A,1,1
1782829891.628,4174,S,73.86,0.02,0.0271,2.0,-7874.7,0.0302,A,1,1
1783072076.879,4616,S,81.28,0.02,0.0246,4.84,-28762.1,0.0495,A,1,1
