ts,bucket_id,P1.01,P1.02,P1.03,P1.04,P1.05,P1.06,P1.07,P1.08,P1.09,P1.10,P1.11,P2.01,P2.02,P2.03,P2.04,P2.05,P2.06,P2.07,P2.08,P2.09,P2.10,P2.11,P3.01,P3.02,P3.03,P3.04,P3.05,P3.06,P3.07,P3.08,P3.09,P3.10,P4.01,P4.02,P4.03,P4.04,P4.05,P4.09,P4.10,S.01,S.02,S.03,S.04,S.05,S.06,S.07,S.08,S.09,S.10,S.11,S.12,S.13,S.14,p5_up,p5_dn,p5_spr,p6_up,p6_dn,p6_spr,p7_up,p7_dn,p7_spr,phase_dom_up,phase_dom_dn,p9_bull,p9_bear,p9_sum,p0_bull,p0_bear,p0_sum,cross1_level,cross1_dir,cross1_ago,cross2_level,cross2_dir,cross2_ago,leg1_long,leg1_short,leg2_long,leg2_short,leg3_long,leg3_short,leg4_long,leg4_short,fire_long,fire_short,fwd30_mfe,fwd30_mae,fwd30_end
1782645466.191,9702,45.811404161660526,54.18859583833948,8.377191676678958,bull,13055.448986251924,15442.802104636936,0.2373313877979185,-0.0010607803554509789,4,5,100.0,34.59763231491048,65.40236768508953,30.80473537017905,bear,13782.036103879327,32259.85411570248,0.3834335541434779,-0.008556304936953241,8,0,0.0,45.95820251339037,54.04179748660963,8.083594973219267,seller,0.9952328810226045,1.0971651659449269,1,0,15,7.536172126846089,58.14666967664205,bear,58.14666967664205,0.0,58.14666967664205,58.14666967664205,0,16,783.4849998950958,120077.88499999998,70867.7 | 49210.2,-21657.545000000006,2598.509999999773,7279.089999999776,11109.390000000745,7769.200000000075,8020.770000000671,0.9952328810226045,1.0971651659449269,225.64917759913644,-0.4322364751812636,47.217,22.766,24.451,51.283,61.302,-10.019,1.501,15.932,-14.432,STARTDUR,STARTDUR,-0.715,-14.541,-15.256,-2.372,-9.284,-11.656,,,,,,,False,False,False,True,True,True,False,False,False,False,0.7562,-0.014,0.5321
1782645523.304,9703,45.28182266143926,54.71817733856075,9.43635467712149,bull,17080.015305861736,15442.802104636936,0.27077894247085926,0.013774953230869582,3,6,100.0,36.328063017706604,63.671936982293396,27.343873964586795,bear,13782.036103879327,26053.164115702486,0.3316604847737241,-0.005686608826139576,7,0,50.0,46.82158848450907,53.17841151549092,6.356823030981845,seller,0.9906758311210063,1.1313564730393058,2,0,14,29.62485651639673,34.88800180598523,bear,34.88800180598523,0.0,34.88800180598523,58.14666967664205,0,16,815.3949999809265,120108.36999999998,69881.5 | 50226.9,-19654.670000000013,4646.949999998982,7432.549999999777,12436.129999999877,6956.050000001714,8265.679999998958,0.9906758311210063,1.1313564730393058,215.44669598286507,-0.2653260717776815,47.763,21.865,25.898,50.815,61.621,-10.807,1.422,16.513,-15.091,STARTDUR,STARTDUR,0.847,-12.979,-12.132,0.679,-13.147,-12.468,,,,,,,False,False,False,False,True,True,False,False,False,False,0.7421,-0.028,0.5321
1782645602.094,9704,39.35593992587839,60.64406007412162,21.288120148243234,bull,12779.633027086935,15442.802104636936,0.23506048709478827,0.015842756852044164,2,5,50.0,43.91697623187571,56.083023768124285,12.166047536248575,bear,17483.90610387928,24155.676394477232,0.34680992263084875,0.005713082351689072,6,1,100.0,47.70244845360774,52.29755154639226,4.595103092784525,seller,0.9740891023498107,1.1086478532880253,2,0,13,50.199680240402145,20.932801083591137,bear,20.932801083591137,0.0,20.932801083591137,58.14666967664205,0,16,854.4420001506805,120064.565,67356.1 | 52708.5,-14647.575000000004,5113.977427703796,7671.250000000522,12080.180000001268,5964.420000001415,8673.032572296579,0.9740891023498107,1.1086478532880253,209.63061011713424,-0.055873725380648484,46.187,23.494,22.693,52.07,61.653,-9.582,1.743,14.854,-13.111,STARTDUR,STARTDUR,8.045,-5.781,2.263,6.498,-7.328,-0.831,,,,,,,False,False,False,False,True,True,False,False,False,False,0.559,-0.0419,0.3494
1782645626.256,9705,36.67117668296862,63.32882331703138,26.657646634062758,bull,10021.855251354931,17307.11577675345,0.22770203278256512,0.015593941787836046,1,4,0.0,41.19316841470993,58.80683158529008,17.613663170580146,bear,20949.242431762814,22327.364170209294,0.36057600870026235,0.014289048738323915,5,1,100.0,48.524148931519775,51.475851068480225,2.9517021369604546,seller,0.9950152674977575,1.0921796581184926,2,0,12,72.27339852379075,24.237030087973352,bull,24.237030087973352,12.55968065015468,11.677349437818672,58.14666967664205,1,16,847.9290001392365,120020.76000000001,64814.6 | 55206.1,-9608.479999999996,5697.449999998764,7767.050000001564,11699.860000000179,6437.480000000894,7331.980000002086,0.9950152674977575,1.0921796581184926,213.5914402765084,0.01397233477714841,45.313,24.529,20.784,52.815,61.673,-8.858,1.872,13.797,-11.926,STARTDUR,STARTDUR,8.436,-5.39,3.046,7.975,-5.85,2.125,0.0,up,7.719,,,,False,False,False,False,True,True,False,False,False,False,0.5169,-0.0838,0.3493
1782645661.474,9706,47.46117742271255,52.53882257728745,5.077645154574895,bull,10021.855251354931,17307.11577675345,0.22788345359669063,0.02244560991014933,0,4,50.0,49.43218098820244,50.56781901179757,1.1356380235951258,bear,21825.942431762764,22327.364170209294,0.36817368593285804,0.024927037179456758,4,1,100.0,46.57457647636344,53.42542352363656,6.850847047273123,seller,0.9959570084257754,1.0691883853041229,2,0,11,83.88617751675012,14.542218052784012,bull,14.542218052784012,7.535808390092809,7.006409662691203,58.14666967664205,1,16,827.5130000114441,119925.21000000002,63842.4 | 56082.8,-7759.530000000108,7096.617716388288,6883.340000001638,12389.477716388887,5767.67,6408.530000002236,0.9959570084257754,1.0691883853041229,218.28658196187925,0.0,43.466,26.184,17.282,54.098,61.617,-7.519,2.437,12.2,-9.763,STARTDUR,STARTDUR,6.186,-7.64,-1.454,8.468,-5.358,3.11,0.0,up,8.719,,,,False,False,False,False,True,True,False,False,False,False,0.4467,-0.0698,0.2792
1782645690.462,9707,48.09123946461457,51.90876053538543,3.8175210707708684,bull,10021.855251354931,11950.05027648036,0.1833594915301878,0.022849918231379596,11,3,0.0,55.61902426013393,44.38097573986607,11.238048520267863,bull,27981.04793203591,22327.364170209294,0.41983272006484196,0.030879306017164744,3,1,100.0,48.33102669905053,51.66897330094946,3.3379466018989277,seller,1.0369258281636788,1.0461579762270206,3,0,10,95.07505129307364,8.725330831670407,bull,8.725330831670407,4.521485034055686,4.203845797614721,58.14666967664205,1,16,839.1369998455048,119829.66000000003,62948.8 | 56880.9,-6067.899999999994,6986.0700000003,6740.8300000035015,12532.649999999927,5774.1900000000005,6513.22000000313,1.0369258281636788,1.0461579762270206,207.29907758357825,0.05584252408209724,40.421,29.544,10.877,55.871,60.23,-4.359,3.708,10.226,-6.518,STARTDUR,STARTDUR,9.842,-3.983,5.859,8.93,-4.896,4.034,0.0,up,9.719,,,,False,False,False,False,True,True,False,False,False,False,0.3907,-0.1256,0.2093
1782645723.518,9708,48.09123946461457,51.90876053538543,3.8175210707708684,bull,10021.855251354931,10817.398140583511,0.17404435777868707,0.02538558404557208,10,3,50.0,67.22791157201435,32.77208842798564,34.455823144028706,bull,32616.247932035956,22327.364170209294,0.4588756373621247,0.03839869427380949,2,1,100.0,49.949601247625566,50.050398752374434,0.10079750474887295,seller,1.035140487321473,1.0326674879672064,3,0,9,62.66544450663424,5.2351984990022435,bull,5.2351984990022435,2.7128910204334113,2.5223074785688326,58.14666967664205,1,16,838.1999998092651,119735.30000000008,63264.2 | 56471.1,-6793.140000000058,4706.284992509227,6233.75000000216,12234.604992510045,6373.739999999255,7388.330000003725,1.035140487321473,1.0326674879672064,207.51108225572975,0.16759776536313487,35.802,35.228,0.573,57.273,56.529,0.744,6.925,8.243,-1.317,STARTDUR,STARTDUR,16.456,2.63,19.086,9.894,-3.931,5.963,0.0,up,10.719,,,,False,False,True,False,True,True,False,False,False,False,0.3207,-0.1952,0.1394
1782645756.574,9709,44.85777568094527,55.14222431905473,10.284448638109467,bull,10021.855251354931,14242.579001906986,0.2027610765636816,0.011587852308622162,9,4,0.0,65.29981421082381,34.70018578917619,30.59962842164763,bull,33565.09707071248,15899.684170209292,0.4133429278305968,0.040477796563732286,1,1,100.0,49.24960726307782,50.75039273692218,1.5007854738443571,seller,1.0585027620728547,1.0396660250319263,3,0,8,58.555872682681276,3.141119099401346,bull,3.141119099401346,1.6277346122600467,1.5133844871412994,58.14666967664205,1,16,848.8329999446869,119670.08000000007,59932.4 | 59737.7,-194.62000000006083,4430.5786515809905,6108.170000000446,12083.40865158062,6144.009999997393,7616.990000002682,1.0585027620728547,1.0396660250319263,200.63194151050666,0.3216783216783272,32.404,39.349,-6.945,58.523,53.972,4.55,9.073,6.679,2.395,STARTDUR,STARTDUR,24.382,-4.691,19.692,11.834,-9.616,2.218,0.0,up,11.719,,,,False,False,True,False,True,True,False,False,False,False,0.3067,-0.2091,0.1255
1782645760.668,9710,54.485190322151,45.514809677849,8.970380644302,bear,14747.568185717151,12319.545095011385,0.22639458847289867,0.019177522597711057,15,5,100.0,77.92828178330069,22.07171821669931,55.85656356660138,bull,29920.485977608136,15899.684170209292,0.38324879556916364,0.04144496434129267,0,1,50.0,48.44298110050272,51.55701889949729,3.114037798994568,seller,1.0446374727525705,1.086417239708616,4,0,15,18.448454049885942,1.8846714596408076,bull,1.8846714596408076,0.976640767356028,0.9080306922847796,58.14666967664205,1,16,801.6259999275208,119557.24500000005,64009.1 | 55548.2,-8460.934999999947,4057.765000000869,5743.915000000497,11867.760000000224,6055.669999998064,7498.240000001787,1.0446374727525705,1.086417239708616,305.43036171429185,0.29358311198097825,28.521,44.281,-15.759,58.609,50.366,8.243,12.87,5.353,7.517,STARTDUR,STARTDUR,25.48,-3.594,21.886,13.163,-8.286,4.877,0.0,up,12.719,,,,False,False,True,False,True,True,False,False,False,False,0.2927,-0.223,0.1115
1782645767.628,9711,51.84658298235097,48.15341701764903,3.6931659647019277,bear,14747.568185717151,12319.545095011385,0.22660845560481668,0.015164406977282325,14,5,50.0,81.08748531583664,18.91251468416335,62.1749706316733,bull,36334.085977608134,8474.41417020934,0.3751410396503064,0.04249119458342662,15,1,100.0,51.09696977933077,48.90303022066923,2.1939395586615396,buyer,1.0794339835642275,1.067674713306425,5,0,14,85.85993809773703,1.1308028757844846,bull,1.1308028757844846,0.5859844604136167,0.5448184153708677,58.14666967664205,1,16,781.7200000286102,119444.41000000006,57640.1 | 61804.4,4164.28999999995,198.84000000049855,5671.920000000447,8274.240000000053,6246.569999998213,7500.750000001787,1.0794339835642275,1.067674713306425,354.8686306353922,0.5039193729003352,24.79,49.435,-24.645,58.238,46.278,11.959,16.973,4.287,12.686,STARTDUR,BEFORE,29.706,0.632,30.338,18.875,-2.574,16.301,0.0,up,13.719,,,,False,False,True,False,True,False,False,False,False,False,0.2089,-0.3064,0.0279
1782645768.224,9712,59.10248342094365,40.89751657905635,18.204966841887305,bear,13264.402749221692,12319.545095011385,0.21445501181464835,0.011087761596812877,13,5,50.0,83.47872352022443,16.521276479775572,66.95744704044886,bull,43658.165977608136,8474.41417020934,0.43699639944538204,0.04084756166400126,15,1,100.0,52.63431514028476,47.36568485971524,5.2686302805695195,buyer,1.0725963418537532,1.0361112826718784,5,0,13,98.04868645111542,0.6784817254706907,bull,0.6784817254706907,0.35159067624817003,0.32689104922252066,58.14666967664205,1,16,732.8870000839233,119297.50500000003,53951.4 | 65346.1,11394.745000000046,1109.589999999851,5409.059999999702,7921.6900000000005,5392.149999998288,6829.010000001564,1.0725963418537532,1.0361112826718784,812.1027143017577,0.5736672729816659,21.623,53.986,-32.362,57.562,42.583,14.979,20.815,3.432,17.383,STARTDUR,BEFORE,7.446,19.565,27.011,7.941,7.087,15.028,0.0,up,14.719,,,,False,False,True,False,True,False,False,False,False,False,0.0974,-0.4174,-0.0835
1782645768.996,9713,59.93676679058789,40.06323320941211,19.873533581175785,bear,13264.402749221692,11844.209450925733,0.2108097493869821,-0.0012290858548567294,12,4,0.0,83.47872352022443,16.521276479775572,66.95744704044886,bull,42819.529010169295,8474.41417020934,0.4306595370835442,0.038114189586786064,14,1,50.0,53.52763135777112,46.47236864222888,7.055262715542243,buyer,1.0587290490538988,1.0079641446011849,5,0,12,64.01114347830742,0.40708903528241436,bull,0.40708903528241436,0.210954405748902,0.19613462953351235,58.14666967664205,1,16,647.9950001239777,119105.55500000005,52957.4 | 66148.1,13190.69500000005,61.439817298280104,4336.259817297835,6801.710000000001,5095.809999998362,5980.720000001192,1.0587290490538988,1.0079641446011849,1273.377712961544,0.5316172355903686,19.022,57.789,-38.768,56.922,39.463,17.459,24.056,2.747,21.309,STARTDUR,BEFORE,7.476,19.594,27.07,6.831,5.977,12.808,,,,,,,False,False,True,False,True,False,True,False,False,False,0.1252,-0.3896,-0.0557
1782645780.836,9714,60.74679940950995,39.25320059049005,21.493598819019887,bear,13635.664582241905,8866.258378306218,0.18915751784799273,-0.004894273390528506,11,3,100.0,76.49376583375064,23.50623416624935,52.9875316675013,bull,42819.529010169295,11932.322337189129,0.4602595216687346,0.024243650471579226,13,1,0.0,53.193109660016816,46.806890339983184,6.386219320033626,buyer,1.0374367835183917,0.9858562655796684,5,0,11,48.73825945401776,0.24425342116944862,bull,0.24425342116944862,0.1265726434493412,0.11768077772010743,58.14666967664205,1,16,558.430999994278,118958.65000000002,53023.6 | 65935.1,12911.510000000053,-4778.945173818913,3169.922217335613,5455.440000001565,5860.867391154377,7543.440000001713,1.0374367835183917,0.9858562655796684,1308.1143247043228,0.4897159647404426,17.516,59.757,-42.241,57.104,38.034,19.069,25.381,2.209,23.172,STARTDUR,BEFORE,3.411,15.529,18.94,6.627,5.773,12.399,,,,,,,False,False,True,False,True,False,True,False,False,False,0.181,-0.3342,0.0
1782645792.438,9715,66.7256472210196,33.2743527789804,33.451294442039206,bear,17668.967037171093,8811.056421642352,0.22263834323935844,0.006051084272878655,10,4,100.0,83.48222609806515,16.517773901934852,66.9644521961303,bull,38830.05096683316,13117.85988225994,0.43676686405421444,0.015133911896742805,12,0,0.0,51.60219711624703,48.39780288375297,3.2043942324940566,buyer,1.0230495403013204,1.0198756776734217,6,0,10,29.93510172408701,18.669067960589118,bear,18.669067960589118,0.14655205270166916,18.52251590788745,58.14666967664205,2,16,404.7479999065399,118937.39000000003,54817.2 | 64120.1,9302.89000000005,-5829.940000000076,2153.719999998212,5042.440000002085,5841.439999999034,7184.66000000134,1.0230495403013204,1.0198756776734217,1345.415235880997,0.41952174521045604,16.058,61.779,-45.72,56.745,36.451,20.293,27.197,1.77,25.427,STARTDUR,BEFORE,3.12,15.239,18.359,9.788,8.934,18.723,,,,,,,False,False,True,False,True,False,True,False,False,False,0.195,-0.3203,0.0139
1782645802.52,9716,70.84328865024713,29.15671134975286,41.68657730049428,bear,22055.277273551346,8811.056421642352,0.2592625334469595,0.013462005922265652,9,5,100.0,81.18905634284725,18.810943657152745,62.37811268569451,bull,38830.05096683316,8996.654645879737,0.40172159693539045,0.004765655860406692,11,0,0.0,51.9857750932563,48.0142249067437,3.971550186512607,buyer,1.024947336846815,1.0379726507152953,6,0,9,24.352825325876626,11.20144077635347,bear,11.20144077635347,0.0879312316210015,11.11350954473247,58.14666967664205,2,16,374.75600004196167,119054.35500000003,55082.4 | 63972.0,8889.64499999996,-7426.6843067010195,2124.269999999553,4896.935693300173,5555.349999999406,8892.54000000134,1.024947336846815,1.0379726507152953,1380.5569596934765,0.5743101274688284,15.11,63.027,-47.917,56.616,35.552,21.064,28.274,1.421,26.853,STARTDUR,BEFORE,0.107,12.225,12.332,12.245,3.767,16.012,,,,,,,False,False,True,False,True,False,True,False,False,False,0.2089,-0.3064,0.0279
