ts,bucket_id,O,C,M,P,L1_high,L1_low,L2,L3,L4_OC,L4_OM,L4_OP,L4_CM,L4_CP,L4_MP
1782027571.88,2626,73.16,73.25,73.26,73.19,high_M,low_O,M>O,M>C>P>O,F,F,F,F,T,T
1782031362.12,2628,72.96,72.96,72.9,72.99,high_P,low_M,P>M,TIE,TIE,T,F,T,F,F
1782033395.144,2629,72.96,73.36,73.08,73.13,high_C,low_O,C>O,C>P>M>O,F,F,F,T,T,F
1782034634.354,2630,73.36,73.82,73.64,73.55,high_C,low_O,C>O,C>M>P>O,F,F,F,T,T,T
1782035925.525,2631,73.82,74.0,73.92,74.0,TIE,low_O,TIE,TIE,F,F,F,T,TIE,F
1782037822.292,2632,74.0,74.12,74.07,74.0,high_C,TIE,TIE,TIE,F,F,TIE,T,T,T
1782039969.441,2633,74.12,73.77,73.97,73.94,high_O,low_C,O>C,O>M>P>C,T,T,T,F,F,T
1782041439.457,2634,73.77,73.42,73.5,73.5,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782045107.606,2636,73.12,73.12,73.03,73.12,TIE,low_M,TIE,TIE,TIE,T,TIE,T,TIE,F
1782047738.315,2637,73.12,73.74,73.43,73.2,high_C,low_O,C>O,C>M>P>O,F,F,F,T,T,T
1782050991.031,2638,73.74,73.79,73.7,73.45,high_C,low_P,C>P,C>O>M>P,F,T,T,T,T,T
1782054127.013,2639,73.79,74.07,73.92,74.0,high_C,low_O,C>O,C>P>M>O,F,F,F,T,T,F
1782057787.086,2640,74.07,74.04,74.06,74.0,high_O,low_P,O>P,O>M>C>P,T,T,T,F,T,T
1782060727.61,2641,74.04,74.36,73.95,73.91,high_C,low_P,C>P,C>O>M>P,F,T,T,T,T,T
1782062288.391,2642,74.36,74.25,74.48,74.5,high_P,low_C,P>C,P>M>O>C,T,F,F,F,F,F
1782065224.52,2643,74.26,73.88,74.24,74.35,high_P,low_C,P>C,P>O>M>C,T,T,F,F,F,F
1782069203.654,2644,73.88,74.39,74.13,74.0,high_C,low_O,C>O,C>M>P>O,F,F,F,T,T,T
1782073665.771,2645,74.39,74.06,74.3,74.3,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782074995.279,2646,74.06,73.4,73.61,73.61,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782076134.692,2647,73.4,73.11,73.37,73.38,high_O,low_C,O>C,O>P>M>C,T,T,T,F,F,F
1782076224.802,2648,73.11,72.66,72.65,72.95,high_O,low_M,O>M,O>P>C>M,T,T,T,T,F,F
1782077006.467,2649,72.66,73.03,72.64,72.65,high_C,low_M,C>M,C>O>P>M,F,T,T,T,T,F
1782078422.292,2650,73.03,73.2,73.02,73.2,TIE,low_M,TIE,TIE,F,T,F,T,TIE,F
1782080490.029,2651,73.19,73.12,73.05,73.09,high_O,low_M,O>M,O>C>P>M,T,T,T,T,T,F
1782082983.27,2652,73.12,72.82,72.84,72.7,high_O,low_P,O>P,O>M>C>P,T,T,T,F,T,T
1782084948.831,2653,72.83,72.47,72.79,72.88,high_P,low_C,P>C,P>O>M>C,T,T,F,F,F,F
1782086729.859,2654,72.47,72.62,72.47,72.49,high_C,TIE,TIE,TIE,F,TIE,F,T,T,F
1782088710.55,2655,72.62,73.3,72.95,73.0,high_C,low_O,C>O,C>P>M>O,F,F,F,T,T,F
1782091103.019,2656,73.3,73.75,73.34,73.3,high_C,TIE,TIE,TIE,F,F,TIE,T,T,T
1782091609.941,2657,73.75,74.83,74.24,74.89,high_P,low_O,P>O,P>C>M>O,F,F,F,T,F,F
1782092746.718,2658,74.83,74.39,74.44,74.13,high_O,low_P,O>P,O>M>C>P,T,T,T,F,T,T
