ts,bucket_id,O,C,M,P,L1_high,L1_low,L2,L3,L4_OC,L4_OM,L4_OP,L4_CM,L4_CP,L4_MP
1782644682.706,9686,71.7,71.72,71.7,71.7,high_C,TIE,TIE,TIE,F,TIE,TIE,T,T,TIE
1782644707.909,9687,71.72,71.61,71.7,71.72,TIE,low_C,TIE,TIE,T,T,TIE,F,F,F
1782644747.652,9688,71.61,71.59,71.59,71.59,high_O,TIE,TIE,TIE,T,T,T,TIE,TIE,TIE
1782644778.327,9689,71.59,71.57,71.59,71.59,TIE,low_C,TIE,TIE,T,TIE,TIE,F,F,TIE
1782644851.325,9691,71.63,71.63,71.62,71.62,TIE,TIE,TIE,TIE,TIE,T,T,T,T,TIE
1782644885.318,9692,71.63,71.6,71.62,71.61,high_O,low_C,O>C,O>M>P>C,T,T,T,F,F,T
1782644907.741,9693,71.6,71.5,71.55,71.57,high_O,low_C,O>C,O>P>M>C,T,T,T,F,F,F
1782644959.042,9694,71.5,71.53,71.5,71.5,high_C,TIE,TIE,TIE,F,TIE,TIE,T,T,TIE
1782644985.908,9695,71.53,71.44,71.47,71.48,high_O,low_C,O>C,O>P>M>C,T,T,T,F,F,F
1782645035.337,9696,71.44,71.47,71.45,71.45,high_C,low_O,C>O,TIE,F,F,F,T,T,TIE
1782645121.001,9697,71.47,71.48,71.47,71.47,high_C,TIE,TIE,TIE,F,TIE,TIE,T,T,TIE
1782645222.405,9698,71.48,71.47,71.48,71.48,TIE,low_C,TIE,TIE,T,TIE,TIE,F,F,TIE
1782645387.69,9699,71.47,71.51,71.49,71.49,high_C,low_O,C>O,TIE,F,F,F,T,T,TIE
1782645427.764,9700,71.51,71.39,71.5,71.51,TIE,low_C,TIE,TIE,T,T,TIE,F,F,F
1782645444.673,9701,71.39,71.43,71.39,71.39,high_C,TIE,TIE,TIE,F,TIE,TIE,T,T,TIE
1782645466.191,9702,71.43,71.41,71.41,71.4,high_O,low_P,O>P,TIE,T,T,T,TIE,T,T
1782645523.304,9703,71.41,71.42,71.43,71.43,TIE,low_O,TIE,TIE,F,F,F,F,F,TIE
1782645602.094,9704,71.42,71.55,71.44,71.41,high_C,low_P,C>P,C>M>O>P,F,F,T,T,T,T
1782645626.256,9705,71.55,71.58,71.59,71.6,high_P,low_O,P>O,P>M>C>O,F,F,F,F,F,F
1782645661.474,9706,71.58,71.63,71.56,71.56,high_C,TIE,TIE,TIE,F,T,T,T,T,TIE
1782645690.462,9707,71.63,71.67,71.66,71.67,TIE,low_O,TIE,TIE,F,F,F,T,TIE,F
1782645723.518,9708,71.67,71.72,71.67,71.66,high_C,low_P,C>P,TIE,F,TIE,T,T,T,T
1782645756.574,9709,71.72,71.73,71.73,71.73,TIE,low_O,TIE,TIE,F,F,F,TIE,TIE,TIE
1782645760.668,9710,71.73,71.74,71.73,71.73,high_C,TIE,TIE,TIE,F,TIE,TIE,T,T,TIE
1782645767.628,9711,71.74,71.8,71.77,71.77,high_C,low_O,C>O,TIE,F,F,F,T,T,TIE
1782645768.224,9712,71.8,71.88,71.85,71.88,TIE,low_O,TIE,TIE,F,F,F,T,TIE,F
1782645768.996,9713,71.88,71.86,71.91,71.91,TIE,low_C,TIE,TIE,T,F,F,F,F,TIE
1782645780.836,9714,71.86,71.82,71.83,71.82,high_O,TIE,TIE,TIE,T,T,T,F,TIE,T
1782645792.438,9715,71.82,71.81,71.81,71.81,high_O,TIE,TIE,TIE,T,T,T,TIE,TIE,TIE
1782645802.52,9716,71.81,71.8,71.81,71.8,TIE,TIE,TIE,TIE,T,TIE,T,F,TIE,T
1782645842.44,9717,71.8,71.84,71.82,71.83,high_C,low_O,C>O,C>P>M>O,F,F,F,T,T,F
1782645853.528,9718,71.84,71.82,71.82,71.82,high_O,TIE,TIE,TIE,T,T,T,TIE,TIE,TIE
1782645903.306,9719,71.82,71.8,71.8,71.8,high_O,TIE,TIE,TIE,T,T,T,TIE,TIE,TIE
1782645964.454,9720,71.8,71.79,71.79,71.79,high_O,TIE,TIE,TIE,T,T,T,TIE,TIE,TIE
1782646006.755,9721,71.79,71.88,71.84,71.87,high_C,low_O,C>O,C>P>M>O,F,F,F,T,T,F
1782646035.931,9722,71.88,71.85,71.86,71.86,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782646148.001,9724,71.86,71.86,71.86,71.86,TIE,TIE,TIE,TIE,TIE,TIE,TIE,TIE,TIE,TIE
1782646226.63,9725,71.86,71.82,71.84,71.84,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782646306.249,9726,71.82,71.84,71.82,71.82,high_C,TIE,TIE,TIE,F,TIE,TIE,T,T,TIE
1782646401.693,9727,71.84,71.78,71.83,71.84,TIE,low_C,TIE,TIE,T,T,TIE,F,F,F
1782646438.598,9728,71.78,71.76,71.74,71.73,high_O,low_P,O>P,O>C>M>P,T,T,T,T,T,T
1782646543.321,9729,71.76,71.72,71.72,71.72,high_O,TIE,TIE,TIE,T,T,T,TIE,TIE,TIE
1782646627.587,9730,71.72,71.63,71.69,71.66,high_O,low_C,O>C,O>M>P>C,T,T,T,F,F,T
1782646645.158,9731,71.63,71.59,71.59,71.59,high_O,TIE,TIE,TIE,T,T,T,TIE,TIE,TIE
1782646699.902,9732,71.59,71.69,71.69,71.7,high_P,low_O,P>O,TIE,F,F,F,TIE,F,F
1782646778.096,9733,71.69,71.75,71.68,71.68,high_C,TIE,TIE,TIE,F,T,T,T,T,TIE
1782646847.185,9734,71.75,71.83,71.81,71.82,high_C,low_O,C>O,C>P>M>O,F,F,F,T,T,F
1782646907.289,9735,71.83,71.82,71.81,71.81,high_O,TIE,TIE,TIE,T,T,T,T,T,TIE
1782646944.438,9736,71.82,71.84,71.82,71.82,high_C,TIE,TIE,TIE,F,TIE,TIE,T,T,TIE
1782647087.982,9739,71.89,71.89,71.88,71.88,TIE,TIE,TIE,TIE,TIE,T,T,T,T,TIE
1782647106.65,9740,71.89,71.92,71.9,71.9,high_C,low_O,C>O,TIE,F,F,F,T,T,TIE
1782647128.437,9741,71.92,71.94,71.91,71.9,high_C,low_P,C>P,C>O>M>P,F,T,T,T,T,T
1782647151.792,9742,71.94,71.91,71.91,71.91,high_O,TIE,TIE,TIE,T,T,T,TIE,TIE,TIE
1782647187.817,9743,71.91,71.81,71.84,71.82,high_O,low_C,O>C,O>M>P>C,T,T,T,F,F,T
1782647248.754,9744,71.81,71.79,71.81,71.81,TIE,low_C,TIE,TIE,T,TIE,TIE,F,F,TIE
1782647321.514,9745,71.79,71.8,71.83,71.84,high_P,low_O,P>O,P>M>C>O,F,F,F,F,F,F
1782647402.69,9746,71.8,71.83,71.83,71.83,TIE,low_O,TIE,TIE,F,F,F,TIE,TIE,TIE
1782647472.691,9747,71.83,71.82,71.8,71.8,high_O,TIE,TIE,TIE,T,T,T,T,T,TIE
1782647609.206,9748,71.82,71.89,71.83,71.83,high_C,low_O,C>O,TIE,F,F,F,T,T,TIE
1782647618.709,9749,71.89,71.91,71.91,71.91,TIE,low_O,TIE,TIE,F,F,F,TIE,TIE,TIE
1782647655.146,9750,71.91,71.96,71.95,71.96,TIE,low_O,TIE,TIE,F,F,F,T,TIE,F
1782647667.149,9751,71.96,71.99,71.97,71.98,high_C,low_O,C>O,C>P>M>O,F,F,F,T,T,F
1782647667.967,9752,71.99,71.98,71.99,71.99,TIE,low_C,TIE,TIE,T,TIE,TIE,F,F,TIE
1782647668.126,9753,71.98,71.93,71.96,71.97,high_O,low_C,O>C,O>P>M>C,T,T,T,F,F,F
1782647700.631,9754,71.93,71.94,71.94,71.94,TIE,low_O,TIE,TIE,F,F,F,TIE,TIE,TIE
1782647722.428,9755,71.94,71.91,71.93,71.92,high_O,low_C,O>C,O>M>P>C,T,T,T,F,F,T
1782647782.066,9756,71.91,71.98,71.95,71.98,TIE,low_O,TIE,TIE,F,F,F,T,TIE,F
1782647821.217,9757,71.98,71.9,71.93,71.93,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782647934.735,9759,71.88,71.88,71.88,71.87,TIE,low_P,TIE,TIE,TIE,TIE,T,TIE,T,T
1782648038.772,9760,71.88,71.85,71.86,71.87,high_O,low_C,O>C,O>P>M>C,T,T,T,F,F,F
1782648112.55,9761,71.85,71.86,71.86,71.86,TIE,low_O,TIE,TIE,F,F,F,TIE,TIE,TIE
1782648167.511,9762,71.86,71.84,71.85,71.85,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782648186.214,9763,71.84,71.79,71.8,71.8,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782648201.972,9764,71.79,71.76,71.77,71.76,high_O,TIE,TIE,TIE,T,T,T,F,TIE,T
1782648260.512,9765,71.76,71.82,71.78,71.78,high_C,low_O,C>O,TIE,F,F,F,T,T,TIE
1782648372.681,9766,71.82,71.87,71.82,71.81,high_C,low_P,C>P,TIE,F,TIE,T,T,T,T
1782648372.715,9767,71.87,71.91,71.91,71.91,TIE,low_O,TIE,TIE,F,F,F,TIE,TIE,TIE
1782648429.113,9768,71.91,71.9,71.91,71.91,TIE,low_C,TIE,TIE,T,TIE,TIE,F,F,TIE
1782648448.1,9769,71.9,71.93,71.88,71.87,high_C,low_P,C>P,C>O>M>P,F,T,T,T,T,T
1782648506.219,9770,71.93,71.9,71.93,71.93,TIE,low_C,TIE,TIE,T,TIE,TIE,F,F,TIE
1782648589.477,9771,71.9,71.81,71.82,71.82,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782648648.98,9772,71.81,71.82,71.8,71.8,high_C,TIE,TIE,TIE,F,T,T,T,T,TIE
1782648721.657,9773,71.82,71.81,71.84,71.85,high_P,low_C,P>C,P>M>O>C,T,F,F,F,F,F
1782648773.208,9774,71.81,71.73,71.76,71.73,high_O,TIE,TIE,TIE,T,T,T,F,TIE,T
1782648806.976,9775,71.73,71.78,71.77,71.77,high_C,low_O,C>O,TIE,F,F,F,T,T,TIE
1782648913.83,9776,71.78,71.77,71.82,71.81,high_M,low_C,M>C,M>P>O>C,T,F,F,F,F,T
1782648941.048,9777,71.77,71.86,71.83,71.77,high_C,TIE,TIE,TIE,F,F,TIE,T,T,T
1782649014.992,9778,71.86,71.72,71.79,71.85,high_O,low_C,O>C,O>P>M>C,T,T,T,F,F,F
1782649021.091,9779,71.72,71.7,71.73,71.72,high_M,low_C,M>C,TIE,T,F,TIE,F,F,T
1782649054.885,9781,71.65,71.65,71.66,71.66,TIE,TIE,TIE,TIE,TIE,F,F,F,F,TIE
1782649080.858,9782,71.65,71.62,71.62,71.61,high_O,low_P,O>P,TIE,T,T,T,TIE,T,T
1782649160.326,9783,71.62,71.69,71.66,71.7,high_P,low_O,P>O,P>C>M>O,F,F,F,T,F,F
1782649199.039,9784,71.69,71.6,71.65,71.62,high_O,low_C,O>C,O>M>P>C,T,T,T,F,F,T
1782649236.114,9785,71.6,71.64,71.63,71.65,high_P,low_O,P>O,P>C>M>O,F,F,F,T,F,F
1782649293.64,9786,71.64,71.69,71.65,71.65,high_C,low_O,C>O,TIE,F,F,F,T,T,TIE
1782649528.07,9788,71.68,71.68,71.69,71.7,high_P,TIE,TIE,TIE,TIE,F,F,F,F,F
1782649705.171,9789,71.68,71.75,71.69,71.68,high_C,TIE,TIE,TIE,F,F,TIE,T,T,T
1782649733.174,9790,71.75,71.89,71.82,71.83,high_C,low_O,C>O,C>P>M>O,F,F,F,T,T,F
1782649743.191,9791,71.89,71.93,71.88,71.88,high_C,TIE,TIE,TIE,F,T,T,T,T,TIE
1782649744.812,9792,71.93,71.95,71.94,71.94,high_C,low_O,C>O,TIE,F,F,F,T,T,TIE
1782649752.44,9793,71.95,72.0,71.97,72.0,TIE,low_O,TIE,TIE,F,F,F,T,TIE,F
1782649755.269,9794,72.0,72.04,72.04,72.05,high_P,low_O,P>O,TIE,F,F,F,TIE,F,F
1782649763.956,9795,72.04,72.01,72.03,72.03,high_O,low_C,O>C,TIE,T,T,T,F,F,TIE
1782649777.09,9796,72.01,72.05,72.03,72.02,high_C,low_O,C>O,C>M>P>O,F,F,F,T,T,T
1782649788.17,9797,72.05,72.06,72.07,72.08,high_P,low_O,P>O,P>M>C>O,F,F,F,F,F,F
1782649801.587,9798,72.06,72.03,72.07,72.07,TIE,low_C,TIE,TIE,T,F,F,F,F,TIE
1782649813.473,9799,72.03,72.07,72.06,72.07,TIE,low_O,TIE,TIE,F,F,F,T,TIE,F
1782649830.311,9802,72.13,72.13,72.14,72.15,high_P,TIE,TIE,TIE,TIE,F,F,F,F,F
1782649834.669,9803,72.13,72.17,72.17,72.18,high_P,low_O,P>O,TIE,F,F,F,TIE,F,F
