# S4-GEO stage 2 (1h). FRESH data exam: holdout PASS means PASS. Outcome = next-bar direction (information measure, no fees).
tf,cell,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
1h,L1:high_O,128,41.41,46.71,-5.3,-12.14,1.09,9,42,45.24,49.64,-4.4,-12.01,4.82,4,False,False
1h,L1:low_O,106,50.0,46.71,3.29,-4.13,9.71,9,51,58.82,49.64,9.19,3.19,15.82,4,False,False
1h,L1:high_C,106,53.77,46.71,7.07,1.9,12.74,9,45,53.33,49.64,3.7,-9.06,8.82,4,True,True
1h,L1:low_C,105,40.95,46.71,-5.76,-13.82,1.41,9,54,46.3,49.64,-3.34,-9.61,2.61,4,False,False
1h,L1:high_M,16,50.0,46.71,3.29,-10.4,17.14,9,11,45.45,49.64,-4.18,-29.73,11.27,4,False,False
1h,L1:low_M,19,42.11,46.71,-4.6,-30.44,14.14,9,7,57.14,49.64,7.51,-14.2,43.31,4,False,False
1h,L1:high_P,49,42.86,46.71,-3.85,-17.66,7.19,9,32,50.0,49.64,0.36,-11.84,10.27,4,False,False
1h,L1:low_P,71,45.07,46.71,-1.64,-9.08,5.56,9,20,35.0,49.64,-14.64,-20.96,-5.56,4,False,False
1h,L2:O>C,70,38.57,46.71,-8.14,-19.85,1.2,9,31,48.39,49.64,-1.25,-8.57,5.43,4,False,False
1h,L2:O>M,9,44.44,46.71,-2.26,-23.87,19.36,9,1,0.0,49.64,-49.64,,,4,False,False
1h,L2:O>P,40,35.0,46.71,-11.71,-28.1,4.71,9,10,40.0,49.64,-9.64,-18.28,3.75,4,False,False
1h,L2:C>O,66,51.52,46.71,4.81,-4.07,13.66,9,31,54.84,49.64,5.2,-2.8,13.17,4,False,False
1h,L2:C>M,6,33.33,46.71,-13.38,-44.93,21.03,9,3,100.0,49.64,50.36,,,4,False,False
1h,L2:C>P,27,59.26,46.71,12.55,4.75,24.09,9,9,33.33,49.64,-16.3,-35.55,6.57,4,False,False
1h,L2:M>O,9,33.33,46.71,-13.38,-24.39,-1.22,9,3,66.67,49.64,17.03,,,4,False,False
1h,L2:M>C,4,75.0,46.71,28.29,,,9,6,50.0,49.64,0.36,-25.24,22.14,4,False,False
1h,L2:M>P,3,66.67,46.71,19.96,,,9,1,0.0,49.64,-49.64,,,4,False,False
1h,L2:P>O,26,50.0,46.71,3.29,-16.33,17.57,9,14,64.29,49.64,14.65,-3.91,28.06,4,False,False
1h,L2:P>C,21,33.33,46.71,-13.38,-28.22,1.22,9,13,38.46,49.64,-11.17,-27.2,8.3,4,False,False
1h,L2:P>M,1,100.0,46.71,53.29,,,9,3,33.33,49.64,-16.3,,,4,False,False
1h,L3:O>C>M>P,20,45.0,46.71,-1.71,-21.43,13.78,9,5,40.0,49.64,-9.64,-29.72,9.7,4,False,False
1h,L3:O>C>P>M,5,20.0,46.71,-26.71,-45.56,-0.6,9,1,0.0,49.64,-49.64,,,4,False,False
1h,L3:O>M>C>P,17,23.53,46.71,-23.18,-42.41,-0.65,9,3,33.33,49.64,-16.3,,,4,False,False
1h,L3:O>M>P>C,33,33.33,46.71,-13.38,-31.26,3.12,9,11,45.45,49.64,-4.18,-18.88,4.51,4,False,False
1h,L3:O>P>C>M,3,66.67,46.71,19.96,,,9,0,,49.64,,,,0,False,False
1h,L3:O>P>M>C,29,44.83,46.71,-1.88,-16.7,9.24,9,18,50.0,49.64,0.36,-8.4,17.6,4,False,False
1h,L3:C>O>M>P,15,60.0,46.71,13.29,-2.75,36.72,9,4,50.0,49.64,0.36,,,4,False,False
1h,L3:C>O>P>M,5,40.0,46.71,-6.71,-42.08,27.09,9,2,100.0,49.64,50.36,,,4,False,False
1h,L3:C>M>O>P,11,54.55,46.71,7.84,-5.61,22.65,9,4,25.0,49.64,-24.64,,,4,False,False
1h,L3:C>M>P>O,27,48.15,46.71,1.44,-11.17,20.54,9,13,46.15,49.64,-3.48,-30.0,14.45,4,False,False
1h,L3:C>P>O>M,1,0.0,46.71,-46.71,,,9,1,100.0,49.64,50.36,,,4,False,False
1h,L3:C>P>M>O,34,55.88,46.71,9.17,-1.26,19.61,9,15,66.67,49.64,17.03,6.67,25.57,4,False,False
1h,L3:M>O>C>P,2,100.0,46.71,53.29,,,9,1,0.0,49.64,-49.64,,,4,False,False
1h,L3:M>O>P>C,2,50.0,46.71,3.29,,,9,0,,49.64,,,,0,False,False
1h,L3:M>C>O>P,1,0.0,46.71,-46.71,,,9,0,,49.64,,,,0,False,False
1h,L3:M>C>P>O,3,0.0,46.71,-46.71,,,9,1,100.0,49.64,50.36,,,4,False,False
1h,L3:M>P>O>C,2,100.0,46.71,53.29,,,9,5,40.0,49.64,-9.64,-34.11,15.47,4,False,False
1h,L3:M>P>C>O,6,50.0,46.71,3.29,-18.62,15.85,9,2,50.0,49.64,0.36,,,4,False,False
1h,L3:P>O>C>M,0,,46.71,,,,0,2,50.0,49.64,0.36,,,4,False,False
1h,L3:P>O>M>C,10,50.0,46.71,3.29,-25.9,29.84,9,5,20.0,49.64,-29.64,-49.72,-9.07,4,False,False
1h,L3:P>C>O>M,0,,46.71,,,,0,1,0.0,49.64,-49.64,,,4,False,False
1h,L3:P>C>M>O,8,37.5,46.71,-9.21,-29.73,15.25,9,7,57.14,49.64,7.51,-22.4,32.01,4,False,False
