# S4-GEO 1m cells. SPENT data: characterization only; candidates = pre-registered list for the 1h/4h exam. Outcome = next-bar direction (information measure, no fees).
cell,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,comp_n,comp_pup,comp_base,comp_lift,comp_ci_lo,comp_ci_hi,comp_blocks,survivor,candidate
L1:high_O,1960,46.84,49.64,-2.81,-4.86,-1.37,4,873,51.89,51.86,0.03,0.03,0.24,2,False,False
L1:low_O,1895,53.3,49.64,3.65,3.23,4.21,4,917,54.42,51.86,2.56,1.31,3.6,2,False,False
L1:high_C,1984,52.92,49.64,3.28,1.61,4.53,4,926,52.7,51.86,0.84,-0.88,2.3,2,False,False
L1:low_C,1987,46.4,49.64,-3.24,-3.65,-2.78,4,866,50.0,51.86,-1.86,-3.11,-0.78,2,False,False
L1:high_M,156,46.15,49.64,-3.49,-8.3,6.23,4,78,58.97,51.86,7.12,1.42,10.97,2,False,False
L1:low_M,129,55.81,49.64,6.17,0.03,13.98,4,86,47.67,51.86,-4.18,-5.02,-3.75,2,True,False
L1:high_P,496,46.37,49.64,-3.27,-5.82,-0.74,4,242,46.28,51.86,-5.58,-9.59,-1.9,2,False,False
L1:low_P,579,49.22,49.64,-0.42,-4.24,3.89,4,255,52.55,51.86,0.69,-0.95,3.0,2,False,False
L2:O>C,1052,47.24,49.64,-2.4,-4.66,-1.21,4,494,52.23,51.86,0.37,-2.35,2.6,2,False,False
L2:O>M,32,68.75,49.64,19.11,11.3,28.04,4,22,45.45,51.86,-6.4,-16.93,6.25,2,False,False
L2:O>P,250,51.2,49.64,1.56,-5.51,10.46,4,104,58.65,51.86,6.8,5.88,7.95,2,False,False
L2:C>O,1038,53.95,49.64,4.3,1.7,6.25,4,525,54.29,51.86,2.43,-0.42,4.74,2,False,False
L2:C>M,43,51.16,49.64,1.52,-13.66,11.14,4,26,46.15,51.86,-5.7,-12.09,-0.26,2,False,False
L2:C>P,267,49.06,49.64,-0.58,-4.22,2.42,4,119,50.42,51.86,-1.44,-1.9,-1.03,2,False,False
L2:M>O,44,45.45,49.64,-4.19,-11.27,4.59,4,20,50.0,51.86,-1.86,-9.31,4.29,2,False,False
L2:M>C,60,50.0,49.64,0.36,-4.38,8.57,4,23,56.52,51.86,4.66,-16.25,16.41,2,False,False
L2:M>P,4,25.0,49.64,-24.64,,,4,3,66.67,51.86,14.81,,,2,False,False
L2:P>O,209,49.76,49.64,0.12,-6.65,4.92,4,110,44.55,51.86,-7.31,-8.14,-6.86,2,False,False
L2:P>C,231,42.86,49.64,-6.79,-9.82,-1.04,4,101,47.52,51.86,-4.33,-14.62,4.29,2,True,True
L2:P>M,5,20.0,49.64,-29.64,-50.52,-15.68,4,5,40.0,51.86,-11.86,-50.26,-11.86,2,False,False
L3:O>C>M>P,105,56.19,49.64,6.55,-2.22,12.48,4,42,59.52,51.86,7.67,1.8,12.24,2,False,False
L3:O>C>P>M,6,66.67,49.64,17.02,-10.41,17.16,4,3,0.0,51.86,-51.86,,,2,False,False
L3:O>M>C>P,54,57.41,49.64,7.76,0.55,19.23,4,25,56.0,51.86,4.14,0.79,6.88,2,False,False
L3:O>M>P>C,225,50.22,49.64,0.58,-0.82,2.2,4,104,51.92,51.86,0.07,-1.98,2.77,2,False,False
L3:O>P>C>M,2,0.0,49.64,-49.64,,,4,3,0.0,51.86,-51.86,,,2,False,False
L3:O>P>M>C,188,42.55,49.64,-7.09,-14.49,-2.16,4,100,50.0,51.86,-1.86,-9.85,3.98,2,True,False
L3:C>O>M>P,118,49.15,49.64,-0.49,-4.53,4.14,4,42,45.24,51.86,-6.62,-8.75,-4.8,2,False,False
L3:C>O>P>M,9,55.56,49.64,5.91,-29.01,29.13,4,6,33.33,51.86,-18.52,-18.52,-10.26,2,False,False
L3:C>M>O>P,54,59.26,49.64,9.61,1.0,17.74,4,29,41.38,51.86,-10.48,-12.09,-9.08,2,False,False
L3:C>M>P>O,203,53.69,49.64,4.05,0.26,10.71,4,107,44.86,51.86,-7.0,-7.6,-6.62,2,False,False
L3:C>P>O>M,10,50.0,49.64,0.36,-26.66,20.89,4,3,0.0,51.86,-51.86,,,2,False,False
