# S4-GEO stage 2 (5m). FRESH data exam: holdout PASS means PASS. Outcome = next-bar direction (information measure, no fees).
tf,cell,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
5m,L1:high_O,1264,46.2,49.81,-3.61,-4.5,-2.73,9,550,49.09,50.82,-1.73,-2.46,-1.15,4,False,False
5m,L1:low_O,1265,52.41,49.81,2.6,0.83,4.54,9,552,50.36,50.82,-0.46,-0.67,-0.17,4,False,False
5m,L1:high_C,1228,54.48,49.81,4.67,3.44,5.77,9,598,52.84,50.82,2.02,0.53,3.36,4,False,False
5m,L1:low_C,1283,47.54,49.81,-2.27,-3.25,-1.27,9,554,49.64,50.82,-1.18,-3.17,1.06,4,False,False
5m,L1:high_M,154,51.3,49.81,1.49,-3.35,5.84,9,63,53.97,50.82,3.15,-8.66,11.15,4,False,False
5m,L1:low_M,155,47.1,49.81,-2.72,-11.16,6.76,9,64,50.0,50.82,-0.82,-4.07,2.05,4,False,False
5m,L1:high_P,455,49.01,49.81,-0.8,-4.14,2.63,9,198,46.97,50.82,-3.85,-9.56,1.84,4,False,False
5m,L1:low_P,450,49.56,49.81,-0.26,-3.21,3.02,9,230,50.0,50.82,-0.82,-3.46,1.81,4,False,False
5m,L2:O>C,785,47.26,49.81,-2.55,-4.04,-1.07,9,333,47.75,50.82,-3.07,-6.09,-0.84,4,False,False
5m,L2:O>M,48,45.83,49.81,-3.98,-15.37,5.71,9,21,47.62,50.82,-3.2,-9.63,5.97,4,False,False
5m,L2:O>P,206,43.69,49.81,-6.12,-11.94,-0.11,9,101,51.49,50.82,0.66,-4.32,3.53,4,True,False
5m,L2:C>O,744,54.7,49.81,4.89,2.57,7.47,9,351,53.28,50.82,2.45,-1.44,5.79,4,False,False
5m,L2:C>M,68,50.0,49.81,0.19,-7.82,7.55,9,31,41.94,50.82,-8.89,-21.17,1.65,4,False,False
5m,L2:C>P,213,55.4,49.81,5.59,0.25,10.35,9,113,50.44,50.82,-0.38,-6.17,5.23,4,True,False
5m,L2:M>O,63,47.62,49.81,-2.19,-11.53,8.31,9,19,63.16,50.82,12.34,-14.1,28.83,4,False,False
5m,L2:M>C,60,48.33,49.81,-1.48,-8.58,5.05,9,27,40.74,50.82,-10.08,-24.11,-3.31,4,False,False
5m,L2:M>P,5,40.0,49.81,-9.81,-48.87,28.9,9,5,40.0,50.82,-10.82,-18.88,0.77,4,False,False
5m,L2:P>O,235,48.94,49.81,-0.88,-4.57,3.21,9,84,38.1,50.82,-12.73,-17.89,-5.15,4,False,False
5m,L2:P>C,190,47.89,49.81,-1.92,-7.0,2.7,9,101,52.48,50.82,1.65,-6.0,8.3,4,False,False
5m,L2:P>M,9,55.56,49.81,5.74,-49.75,33.98,9,4,75.0,50.82,24.18,,,4,False,False
5m,L3:O>C>M>P,96,43.75,49.81,-6.06,-12.85,2.75,9,54,44.44,50.82,-6.38,-11.17,0.69,4,False,False
5m,L3:O>C>P>M,15,53.33,49.81,3.52,-16.64,25.81,9,10,40.0,50.82,-10.82,-33.99,7.42,4,False,False
5m,L3:O>M>C>P,63,44.44,49.81,-5.37,-17.5,6.09,9,29,51.72,50.82,0.9,-22.74,13.69,4,False,False
5m,L3:O>M>P>C,277,49.82,49.81,0.01,-3.22,3.02,9,121,42.15,50.82,-8.67,-13.49,-3.72,4,False,False
5m,L3:O>P>C>M,14,50.0,49.81,0.19,-17.8,21.47,9,5,60.0,50.82,9.18,-1.81,17.17,4,False,False
5m,L3:O>P>M>C,247,46.96,49.81,-2.85,-5.82,-0.02,9,112,56.25,50.82,5.43,1.76,10.14,4,False,False
5m,L3:C>O>M>P,114,54.39,49.81,4.57,-4.73,12.85,9,49,53.06,50.82,2.24,-11.94,11.85,4,False,False
5m,L3:C>O>P>M,28,53.57,49.81,3.76,-6.51,13.82,9,12,25.0,50.82,-25.82,-50.34,-6.35,4,False,False
5m,L3:C>M>O>P,60,61.67,49.81,11.85,3.76,19.97,9,38,44.74,50.82,-6.09,-16.56,1.48,4,False,False
5m,L3:C>M>P>O,209,53.11,49.81,3.3,-0.55,7.63,9,123,56.1,50.82,5.27,-5.73,13.36,4,False,False
5m,L3:C>P>O>M,13,46.15,49.81,-3.66,-28.92,19.64,9,8,37.5,50.82,-13.32,-50.32,6.47,4,False,False
5m,L3:C>P>M>O,264,55.3,49.81,5.49,1.24,9.45,9,119,59.66,50.82,8.84,5.38,16.17,4,True,True
5m,L3:M>O>C>P,2,50.0,49.81,0.19,,,9,1,100.0,50.82,49.18,,,4,False,False
5m,L3:M>O>P>C,11,36.36,49.81,-13.45,-30.41,10.86,9,7,42.86,50.82,-7.97,-51.03,31.92,4,False,False
5m,L3:M>C>O>P,2,0.0,49.81,-49.81,,,9,4,25.0,50.82,-25.82,,,4,False,False
5m,L3:M>C>P>O,11,27.27,49.81,-22.54,-37.64,-8.97,9,7,42.86,50.82,-7.97,-35.12,15.99,4,False,False
5m,L3:M>P>O>C,22,50.0,49.81,0.19,-16.26,14.45,9,10,30.0,50.82,-20.82,-49.15,4.21,4,False,False
5m,L3:M>P>C>O,27,59.26,49.81,9.45,-4.43,24.87,9,5,60.0,50.82,9.18,-9.61,27.47,4,False,False
5m,L3:P>O>C>M,6,50.0,49.81,0.19,-35.54,34.47,9,2,100.0,50.82,49.18,,,4,False,False
5m,L3:P>O>M>C,58,51.72,49.81,1.91,-1.91,8.18,9,38,60.53,50.82,9.7,-6.78,20.67,4,False,False
5m,L3:P>C>O>M,1,0.0,49.81,-49.81,,,9,2,50.0,50.82,-0.82,,,4,False,False
5m,L3:P>C>M>O,75,57.33,49.81,7.52,-1.19,17.47,9,27,33.33,50.82,-17.49,-24.5,-11.7,4,False,False
5m,L3:P>M>O>C,87,45.98,49.81,-3.84,-11.81,6.51,9,50,50.0,50.82,-0.82,-10.14,6.41,4,False,False
5m,L3:P>M>C>O,108,40.74,49.81,-9.07,-14.27,-4.12,9,41,36.59,50.82,-14.24,-23.07,-3.6,4,True,True
5m,L4:O>C,1800,46.83,49.81,-2.98,-3.71,-2.27,9,786,50.51,50.82,-0.31,-1.39,0.63,4,False,False
5m,L4:O>M,1738,47.07,49.81,-2.75,-3.85,-1.66,9,760,51.84,50.82,1.02,0.07,1.89,4,False,False
5m,L4:O>P,1664,47.72,49.81,-2.1,-3.1,-0.95,9,752,50.13,50.82,-0.69,-1.83,0.61,4,False,False
5m,L4:C>M,1694,52.07,49.81,2.25,1.18,3.38,9,799,51.19,50.82,0.37,-0.36,1.48,4,False,False
5m,L4:C>P,1630,52.02,49.81,2.21,1.01,3.41,9,781,52.24,50.82,1.42,-0.16,2.41,4,False,False
5m,L4:M>P,1317,50.34,49.81,0.53,-1.5,2.44,9,632,50.95,50.82,0.13,-2.38,2.26,4,False,False
