ts,bucket_id,O,C,M,P,OC,OM,OP,CM,CP,MP,T2,T3_hi,T3_lo,T4
1782022606.495,2646,73.18,73.11,73.06,73.06,>,>,>,>,>,=,-,O,MP,O>C>MP
1782023290.334,2647,73.11,73.19,73.17,73.18,<,<,<,>,>,<,-,C,O,-
1782023871.754,2648,73.19,73.27,73.17,73.25,<,>,<,>,>,<,-,C,M,-
1782025196.521,2649,73.27,73.2,73.26,73.19,>,>,>,<,>,>,-,O,P,-
1782026256.686,2650,73.2,73.37,73.28,73.18,<,<,>,>,>,>,-,C,P,-
1782027095.702,2651,73.37,73.34,73.26,73.22,>,>,>,>,>,>,-,O,P,-
1782027437.34,2652,73.34,73.26,73.33,73.34,>,>,=,<,<,<,-,OP,C,-
1782027622.317,2653,73.26,73.18,73.23,73.23,>,>,>,<,<,=,-,O,C,O>MP>C
1782028541.192,2654,73.18,73.12,73.26,73.31,>,<,<,<,<,<,-,P,C,-
1782029256.166,2655,73.12,73.15,73.15,73.17,<,<,<,=,<,<,-,P,O,-
1782029712.786,2656,73.15,73.1,73.11,73.14,>,>,>,<,<,<,-,O,C,-
1782030193.319,2657,73.1,73.0,73.0,72.99,>,>,>,=,>,>,-,O,P,-
1782030530.446,2658,73.01,72.99,73.0,73.0,>,>,>,<,<,=,-,O,C,O>MP>C
1782030920.002,2659,72.99,72.85,72.91,72.89,>,>,>,<,<,>,-,O,C,-
1782031045.434,2660,72.85,72.79,72.77,72.78,>,>,>,>,>,<,-,O,M,-
1782031451.171,2661,72.79,73.0,72.9,72.92,<,<,<,>,>,<,-,C,O,-
1782031876.588,2662,73.0,72.98,72.94,72.95,>,>,>,>,>,<,-,O,M,-
1782032449.336,2663,72.98,73.11,73.07,73.05,<,<,<,>,>,>,-,C,O,-
1782033064.455,2664,73.11,73.09,73.13,73.08,>,<,>,<,>,>,-,M,P,-
1782033450.455,2665,73.09,73.39,73.31,73.31,<,<,<,>,>,=,-,C,O,C>MP>O
1782033934.224,2666,73.39,73.5,73.41,73.43,<,<,<,>,>,<,-,C,O,-
1782034261.013,2667,73.5,73.63,73.56,73.55,<,<,<,>,>,>,-,C,O,-
