ts,bucket_id,O,C,M,P,OC,OM,OP,CM,CP,MP,T2,T3_hi,T3_lo,T4
1782033298.813,2620,73.21,73.19,73.12,73.19,>,>,>,>,=,<,-,O,M,-
1782040722.199,2621,73.19,73.36,73.9,74.0,<,<,<,<,<,<,-,P,O,-
1782050400.655,2622,73.36,73.87,73.33,73.12,<,>,>,>,>,>,-,C,P,-
1782061693.867,2623,73.88,74.38,74.0,74.0,<,<,<,>,>,=,-,C,O,C>MP>O
1782073923.219,2624,74.38,74.04,74.25,74.0,>,>,>,<,>,>,-,O,P,-
1782077763.835,2625,74.03,72.86,72.98,73.38,>,>,>,<,<,<,-,O,C,-
1782085007.063,2626,72.86,72.29,72.92,73.2,>,<,<,<,<,<,-,P,C,-
1782092046.12,2627,72.29,74.16,73.41,74.14,<,<,<,>,>,<,-,C,O,-
1782105063.871,2628,74.17,74.01,73.8,73.52,>,>,>,>,>,>,-,O,P,-
1782116379.08,2629,74.02,74.01,74.02,74.03,>,=,<,<,<,<,-,P,C,-
1782127871.167,2630,74.01,73.95,73.84,73.88,>,>,>,>,>,<,-,O,M,-
1782133923.98,2631,73.95,74.43,74.25,74.15,<,<,<,>,>,>,-,C,O,-
1782139568.947,2632,74.43,73.47,74.31,73.55,>,>,>,<,<,>,-,O,C,-
1782152560.278,2633,73.47,73.38,73.07,72.71,>,>,>,>,>,>,-,O,P,-
1782162965.116,2634,73.38,72.78,72.7,72.68,>,>,>,>,>,>,-,O,P,-
1782168919.734,2635,72.77,71.96,71.86,71.79,>,>,>,>,>,>,-,O,P,-
1782178464.87,2636,71.96,71.82,71.84,71.82,>,>,>,<,=,>,-,O,CP,-
1782190079.568,2637,71.82,71.69,71.75,71.88,>,>,<,<,<,<,-,P,C,-
1782194883.061,2638,71.69,70.73,71.08,71.0,>,>,>,<,<,>,-,O,C,-
1782196517.084,2639,70.73,70.13,70.0,69.81,>,>,>,>,>,>,-,O,P,-
1782202628.667,2640,70.13,68.81,69.96,70.17,>,>,<,<,<,<,-,P,C,-
1782210361.793,2641,68.81,68.85,68.69,68.8,<,>,>,>,>,<,-,C,M,-
1782221490.165,2642,68.85,68.6,68.92,69.13,>,<,<,<,<,<,-,P,C,-
