# S4-GEO stage 3 (4h), tick=0.01. EQ cells = first analysis of previously-excluded bars; RECUT cells = re-cuts of mined data. 1m spent throughout.
cell,class,full_n,full_pup,full_lift,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
T1:O>C,RECUT,60,45.0,-1.43,46,41.3,41.03,0.28,-7.77,9.59,9,14,57.14,60.61,-3.46,-13.2,7.86,4,False,False
T1:O<C,RECUT,51,47.06,0.63,31,38.71,41.03,-2.32,-14.15,9.76,9,19,63.16,60.61,2.55,-10.21,7.63,4,False,False
T1:O=C,EQ,1,100.0,53.57,1,100.0,41.03,58.97,,,9,0,,60.61,,,,0,False,False
T1:O>M,RECUT,58,43.1,-3.33,44,40.91,41.03,-0.12,-11.1,10.11,9,14,50.0,60.61,-10.61,-20.83,4.37,4,False,False
T1:O<M,RECUT,53,50.94,4.51,33,42.42,41.03,1.4,-12.01,16.78,9,19,68.42,60.61,7.81,-6.17,12.5,4,False,False
T1:O=M,EQ,1,0.0,-46.43,1,0.0,41.03,-41.03,,,9,0,,60.61,,,,0,False,False
T1:O>P,RECUT,60,40.0,-6.43,46,36.96,41.03,-4.07,-14.15,2.96,9,14,50.0,60.61,-10.61,-16.67,0.0,4,False,False
T1:O<P,RECUT,51,54.9,8.47,31,48.39,41.03,7.36,-3.56,17.74,9,19,68.42,60.61,7.81,0.0,9.72,4,False,False
T1:O=P,EQ,1,0.0,-46.43,1,0.0,41.03,-41.03,,,9,0,,60.61,,,,0,False,False
T1:C>M,RECUT,59,38.98,-7.45,38,31.58,41.03,-9.45,-18.07,-0.4,9,20,55.0,60.61,-5.61,-15.17,1.87,4,True,True
T1:C<M,RECUT,51,54.9,8.47,38,50.0,41.03,8.97,-0.87,17.44,9,13,69.23,60.61,8.62,-6.36,15.13,4,False,False
T1:C=M,EQ,2,50.0,3.57,2,50.0,41.03,8.97,,,9,0,,60.61,,,,0,False,False
T1:C>P,RECUT,60,36.67,-9.76,41,29.27,41.03,-11.76,-22.02,-1.69,9,18,55.56,60.61,-5.05,-7.84,-2.96,4,True,False
T1:C<P,RECUT,50,58.0,11.57,35,54.29,41.03,13.26,1.43,23.23,9,15,66.67,60.61,6.06,3.69,8.82,4,True,False
T1:C=P,EQ,2,50.0,3.57,2,50.0,41.03,8.97,,,9,0,,60.61,,,,0,False,False
T1:M>P,RECUT,57,40.35,-6.08,39,30.77,41.03,-10.26,-20.43,-2.46,9,18,61.11,60.61,0.51,-10.89,7.02,4,True,False
T1:M<P,RECUT,50,52.0,5.57,34,50.0,41.03,8.97,0.33,16.03,9,15,60.0,60.61,-0.61,-13.33,9.72,4,True,False
T1:M=P,EQ,5,60.0,13.57,5,60.0,41.03,18.97,-22.39,56.25,9,0,,60.61,,,,0,False,False
T2:O=C=M,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
T2:O=C=P,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
T2:O=M=P,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
T2:C=M=P,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
T2:O=C&M=P,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
T2:O=M&C=P,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
T2:O=P&C=M,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
T2:O=C=M=P,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
T3:O>=rest,RECUT,46,39.13,-7.3,35,37.14,41.03,-3.88,-16.17,7.96,9,11,45.45,60.61,-15.15,-23.53,2.86,4,False,False
T3:O<=rest,RECUT,38,50.0,3.57,22,40.91,41.03,-0.12,-13.75,14.88,9,15,66.67,60.61,6.06,-3.0,9.76,4,False,False
T3:C>=rest,RECUT,37,40.54,-5.89,23,30.43,41.03,-10.59,-26.02,4.12,9,13,61.54,60.61,0.93,-7.84,7.26,4,False,False
T3:C<=rest,RECUT,36,50.0,3.57,28,46.43,41.03,5.4,-4.86,14.88,9,8,62.5,60.61,1.89,-12.96,17.5,4,False,False
T3:M>=rest,RECUT,7,57.14,10.71,6,50.0,41.03,8.97,-39.71,57.53,9,1,100.0,60.61,39.39,,,4,False,False
T3:M<=rest,RECUT,10,60.0,13.57,7,71.43,41.03,30.4,3.53,57.91,9,3,33.33,60.61,-27.27,,,4,False,False
T3:P>=rest,RECUT,24,70.83,24.4,16,68.75,41.03,27.72,10.22,37.17,9,8,75.0,60.61,14.39,2.08,24.83,4,True,False
T3:P<=rest,RECUT,31,32.26,-14.17,24,25.0,41.03,-16.03,-29.24,-3.92,9,7,57.14,60.61,-3.46,-18.35,8.47,4,True,False
T4:C>MP>O,EQ,1,0.0,-46.43,1,0.0,41.03,-41.03,,,9,0,,60.61,,,,0,False,False
T4:C>O>MP,EQ,1,100.0,53.57,1,100.0,41.03,58.97,,,9,0,,60.61,,,,0,False,False
T4:MP>C>O,EQ,2,100.0,53.57,2,100.0,41.03,58.97,,,9,0,,60.61,,,,0,False,False
T4:MP>O>C,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
T4:O>MP>C,EQ,1,0.0,-46.43,1,0.0,41.03,-41.03,,,9,0,,60.61,,,,0,False,False
T4:O>C>MP,EQ,0,,,0,,41.03,,,,0,0,,60.61,,,,0,False,False
