# S4-GEO stage 3 (5m), tick=0.01. EQ cells = first analysis of previously-excluded bars; RECUT cells = re-cuts of mined data. 1m spent throughout.
cell,class,full_n,full_pup,full_lift,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
T1:O>C,RECUT,2586,47.95,-2.18,1800,46.83,49.81,-2.98,-3.71,-2.27,9,786,50.51,50.82,-0.31,-1.39,0.63,4,False,False
T1:O<C,RECUT,2611,52.05,1.92,1792,52.62,49.81,2.81,1.87,3.73,9,819,50.79,50.82,-0.03,-0.99,1.18,4,False,False
T1:O=C,EQ,175,53.71,3.58,138,52.17,49.81,2.36,-3.88,7.53,9,36,58.33,50.82,7.51,-5.07,27.79,4,False,False
T1:O>M,RECUT,2498,48.52,-1.61,1738,47.07,49.81,-2.75,-3.85,-1.66,9,760,51.84,50.82,1.02,0.07,1.89,4,False,False
T1:O<M,RECUT,2464,51.54,1.41,1703,52.32,49.81,2.51,1.09,3.93,9,760,49.74,50.82,-1.09,-2.23,-0.18,4,False,False
T1:O=M,EQ,410,51.46,1.33,289,51.56,49.81,1.74,-4.03,7.83,9,121,51.24,50.82,0.42,-6.98,9.9,4,False,False
T1:O>P,RECUT,2416,48.47,-1.66,1664,47.72,49.81,-2.1,-3.1,-0.95,9,752,50.13,50.82,-0.69,-1.83,0.61,4,False,False
T1:O<P,RECUT,2389,51.03,0.9,1658,51.45,49.81,1.64,0.79,2.57,9,730,50.0,50.82,-0.82,-1.83,0.09,4,False,False
T1:O=P,EQ,567,53.44,3.31,408,51.72,49.81,1.9,-1.78,5.7,9,159,57.86,50.82,7.04,5.26,8.79,4,False,False
T1:C>M,RECUT,2493,51.78,1.65,1694,52.07,49.81,2.25,1.18,3.38,9,799,51.19,50.82,0.37,-0.36,1.48,4,False,False
T1:C<M,RECUT,2480,48.35,-1.78,1740,47.64,49.81,-2.17,-3.47,-1.08,9,739,49.93,50.82,-0.89,-2.23,0.46,4,False,False
T1:C=M,EQ,399,50.88,0.75,296,49.66,49.81,-0.15,-3.7,2.82,9,103,54.37,50.82,3.55,-6.74,14.46,4,False,False
T1:C>P,RECUT,2411,52.09,1.96,1630,52.02,49.81,2.21,1.01,3.41,9,781,52.24,50.82,1.42,-0.16,2.41,4,False,False
T1:C<P,RECUT,2413,48.53,-1.6,1705,48.33,49.81,-1.48,-2.75,-0.03,9,707,48.94,50.82,-1.88,-3.96,0.3,4,False,False
T1:C=P,EQ,548,48.54,-1.59,395,47.09,49.81,-2.72,-6.48,1.88,9,153,52.29,50.82,1.46,-7.57,12.35,4,False,False
T1:M>P,RECUT,1949,50.54,0.41,1317,50.34,49.81,0.53,-1.5,2.44,9,632,50.95,50.82,0.13,-2.38,2.26,4,False,False
T1:M<P,RECUT,1928,50.16,0.03,1343,48.92,49.81,-0.89,-3.33,1.66,9,584,52.91,50.82,2.09,-0.69,5.33,4,False,False
T1:M=P,EQ,1495,49.57,-0.57,1070,50.28,49.81,0.47,-0.92,1.74,9,425,47.76,50.82,-3.06,-4.0,-1.92,4,False,False
T2:O=C=M,EQ,38,57.89,7.76,30,63.33,49.81,13.52,-5.2,32.48,9,8,37.5,50.82,-13.32,-39.74,14.14,4,False,False
