ts,bucket_id,side,baseline,MFE_pct,MAE_pct,end_pct,t_max_up_min,t_max_dn_min
1782649838.699,9809,long,72.25,0.0415,-0.7612,-0.5536,0.09,11.49
1782651777.864,9857,short,71.46,0.5737,-0.2519,0.4478,28.44,2.27
1782659910.958,10048,long,71.9,0.2782,-0.306,-0.2503,14.99,19.28
1782661973.584,10099,long,71.92,0.2503,-0.3337,0.0,7.13,1.41
1782666906.283,10274,short,71.59,0.0838,-0.9638,-0.4749,2.67,20.18
1782668722.841,10334,long,71.29,0.5751,-0.0281,0.0701,18.27,1.34
1782673700.227,10419,short,71.0,0.3944,-0.2254,-0.1127,24.07,12.9
1782675694.359,10451,short,70.88,0.0,-0.9735,-0.1693,0.6,6.35
1782687133.068,10798,short,70.28,0.8395,-0.9106,0.5834,26.96,1.45
1782690023.785,10990,short,71.6,0.1536,-1.0056,-0.6983,6.62,27.34
1782692104.018,11053,long,71.4,0.07,-1.5266,-0.5042,0.64,16.92
1782694519.38,11137,long,71.4,0.3922,-0.6583,-0.2941,3.95,23.24
1782700952.799,11308,long,72.04,1.749,-0.1527,1.2632,28.15,13.75
1782734437.239,12046,long,72.4,2.5,-0.4282,2.1133,11.93,0.51
1782736686.043,12249,short,73.74,0.3662,-0.9628,0.0814,25.76,14.07
1782740078.919,12392,long,73.99,0.0676,-1.7164,-0.2433,0.49,15.57
1782745597.079,12584,short,72.84,2.1417,-0.1236,1.9907,25.5,5.71
1782748030.808,12640,short,73.82,0.4877,-0.4741,-0.2303,8.06,27.2
1782751020.608,12685,long,73.2,2.2814,-0.0137,2.0902,28.58,1.06
1782754228.85,12829,long,76.01,0.2105,-1.1183,-1.0788,0.86,29.71
1782757156.79,12874,long,75.54,0.2648,-0.5428,-0.0265,23.09,11.27
1782763781.17,12947,long,75.81,0.0132,-0.4881,-0.3825,1.59,22.28
1782779638.263,13220,long,74.55,0.0939,-0.5366,-0.4561,16.38,7.1
1782781971.761,13322,short,74.1,0.7287,-0.135,0.2294,16.37,0.39
1782787618.326,13443,long,74.65,0.2277,-0.1474,0.0,3.91,14.74
1782792863.002,13568,long,74.12,0.0675,-0.6476,-0.2024,1.02,10.22
1782800920.004,13737,long,74.15,0.1079,-0.2023,-0.0674,1.33,7.65
1782809399.308,14009,long,73.44,0.4902,-0.2042,0.3132,25.54,1.54
1782822841.118,14432,short,72.44,0.1518,-0.8145,-0.6074,2.47,29.16
1782824820.067,14563,long,72.35,0.6496,-0.4976,-0.3317,24.39,27.94
1782828317.666,14775,short,73.3,0.7913,-0.1774,0.6276,25.11,0.48
1782830704.396,14873,long,73.53,0.0136,-1.3056,-0.7072,0.74,21.02
1782834367.1,14989,long,73.81,0.3658,-1.4632,-1.3142,0.13,29.66
1782838451.583,15067,long,73.44,0.64,-0.0545,-0.0545,15.34,21.78
1782854915.016,15296,long,73.29,0.2592,-0.0546,0.1637,8.96,1.48
1782858688.586,15350,short,73.27,0.2593,-0.0546,0.1092,9.72,0.74
1782868367.219,15628,short,72.37,2.7636,-0.2073,2.3629,28.42,0.64
1782870404.474,15959,short,73.94,0.5275,-0.257,0.5004,29.95,20.6
1782873872.803,16179,long,75.0,0.0267,-0.6267,-0.4533,1.08,17.32
1782877030.386,16293,long,75.11,0.7456,-0.4793,0.6391,18.15,6.39
1782880283.909,16434,long,75.65,0.2644,-0.4098,-0.0661,15.37,5.01
1782887575.223,16574,long,74.74,0.0134,-1.1105,-0.7359,0.35,6.02
1782893696.218,16747,long,74.85,0.0401,-0.5745,0.0,1.85,18.98
1782901301.485,16932,short,75.46,0.0133,-0.6494,-0.4506,2.11,21.52
1782904297.303,16994,long,74.99,0.4001,-0.2934,-0.1467,8.7,22.3
1782909621.737,17116,short,74.37,0.8202,-0.1882,0.5647,22.79,13.56
1782912662.675,17227,short,74.99,1.4802,-0.1334,1.1201,24.74,0.79
1782916264.319,17516,long,76.71,0.5475,-0.5214,0.1825,20.86,3.14
1782919394.87,17623,long,77.66,0.1545,-0.7726,-0.7082,0.24,28.66
1782923288.644,17706,long,78.01,0.0128,-1.4742,-1.2819,0.36,28.13
1782937801.049,17921,long,76.84,0.8329,-0.0651,0.7158,20.34,1.21
1782947740.075,18189,short,77.34,0.5431,0.0,0.1422,15.57,0.65
1782950880.427,18292,long,77.35,0.0905,-0.4913,-0.4396,1.08,27.58
1782953628.735,18331,long,77.28,0.6858,-0.1682,0.4529,25.7,5.24
1782959440.405,18449,long,78.09,0.6019,0.0,0.4098,17.11,0.81
1782962881.286,18519,long,78.63,0.4197,-0.5341,0.178,24.34,4.21
1782967908.216,18645,long,78.34,0.0638,-0.3702,-0.1787,0.0,11.31
1782975742.657,18800,long,77.92,0.0128,-0.5005,-0.2567,0.81,17.28
1782986778.864,19192,long,79.77,1.2912,-0.4388,1.1282,29.76,11.17
1782990494.34,19622,long,81.87,1.1237,-0.2443,0.7695,18.39,1.45
1782993483.081,19823,long,82.22,0.3041,-0.7176,-0.523,0.83,21.82
1782995612.59,19914,short,81.35,0.1352,-0.3565,-0.0983,17.68,8.72
1782999663.081,20030,long,81.55,0.515,-0.6744,-0.6376,6.76,29.87
1783004037.573,20099,short,80.26,0.461,-0.2866,0.4236,10.19,1.68
1783005911.045,20122,long,80.63,0.2356,-0.1736,0.062,10.59,12.01
1783009886.813,20159,short,80.45,0.3356,-0.4475,0.0994,22.06,8.35
1783032975.819,20461,long,80.81,0.0124,-0.4331,-0.2104,0.8,19.57
1783040751.19,20659,long,81.04,0.5183,-0.0864,0.4936,29.95,0.35
1783046841.311,20916,short,80.66,0.2232,-0.4711,-0.1364,7.62,25.67
1783048849.434,20976,long,80.79,0.1857,-0.2971,-0.0619,4.72,21.37
1783052920.428,21038,long,80.57,0.2606,-0.1614,-0.0124,12.91,29.21
1783055918.922,21075,long,80.67,0.6446,-0.0372,0.3967,16.98,2.99
1783059315.259,21145,short,81.07,0.148,-0.4687,-0.3454,3.36,24.72
1783064156.58,21238,long,81.21,0.3325,-0.1724,0.0369,15.51,1.64
1783068200.175,21338,long,81.45,0.0614,-0.884,-0.6507,0.0,17.68
1783077091.889,21671,long,81.5,0.1472,-0.3558,-0.2454,5.27,28.98
1783079828.969,21730,long,81.55,0.2207,-0.4782,-0.3311,4.56,23.3
1783085359.388,21847,short,81.56,0.2943,-0.2084,0.0736,24.04,7.99
1783088396.223,21938,long,81.03,0.7528,-0.2221,0.5183,25.74,1.71
1783091558.299,22071,short,81.76,0.0,-0.795,-0.795,0.58,28.9
1783094765.124,22167,long,81.3,0.0984,-0.246,-0.0246,18.78,8.67
