ts,bucket_id,side,baseline,MFE_pct,MAE_pct,end_pct,t_max_up_min,t_max_dn_min
1782668512.777,10329,long,71.22,0.674,-0.0562,0.3229,21.77,1.23
1782693412.746,11107,long,70.75,1.3145,-0.3816,1.0742,22.39,1.28
1782751204.42,12688,long,73.5,1.8639,-0.0408,1.415,25.52,1.25
1782754280.573,12831,long,75.99,0.1316,-1.158,-1.1186,1.01,29.68
1782792870.353,13569,long,74.14,0.0405,-0.6744,-0.2293,0.9,10.1
1782809399.308,14009,long,73.44,0.4902,-0.2042,0.3132,25.54,1.54
1782830704.396,14873,long,73.53,0.0136,-1.3056,-0.7072,0.74,21.02
1782859554.143,15371,long,73.4,0.0681,-0.1499,-0.109,22.36,19.46
1782887575.223,16574,long,74.74,0.0134,-1.1105,-0.7359,0.35,6.02
1782916264.319,17516,long,76.71,0.5475,-0.5214,0.1825,20.86,3.14
1782953696.404,18332,long,77.19,0.8032,-0.0518,0.7125,24.58,4.11
1782967908.216,18645,long,78.34,0.0638,-0.3702,-0.1787,0.0,11.31
1782996923.384,19954,long,81.31,0.4182,-0.2214,0.246,18.03,22.32
1783048849.434,20976,long,80.79,0.1857,-0.2971,-0.0619,4.72,21.37
1783079828.969,21730,long,81.55,0.2207,-0.4782,-0.3311,4.56,23.3
1783086470.817,21870,long,81.56,0.2943,-0.8092,-0.5395,5.52,26.96
1782666906.283,10274,short,71.59,0.0838,-0.9638,-0.4749,2.67,20.18
1782745597.079,12584,short,72.84,2.1417,-0.1236,1.9907,25.5,5.71
1782748030.808,12640,short,73.82,0.4877,-0.4741,-0.2303,8.06,27.2
1782912662.675,17227,short,74.99,1.4802,-0.1334,1.1201,24.74,0.79
1783065673.764,21281,short,81.17,0.1602,-0.345,-0.3326,5.93,29.74
1783089289.791,21977,short,81.19,0.7144,-0.0123,0.4804,20.09,0.58
1783091558.299,22071,short,81.76,0.0,-0.795,-0.795,0.58,28.9
