ts,bucket_id,side,baseline,MFE_pct,MAE_pct,end_pct,t_max_up_min,t_max_dn_min
1782668512.777,10329,long,71.22,0.674,-0.0562,0.3229,21.77,1.23
1782692104.018,11053,long,71.4,0.07,-1.5266,-0.5042,0.64,16.92
1782734437.239,12046,long,72.4,2.5,-0.4282,2.1133,11.93,0.51
1782740078.919,12392,long,73.99,0.0676,-1.7164,-0.2433,0.49,15.57
1782751020.608,12685,long,73.2,2.2814,-0.0137,2.0902,28.58,1.06
1782754228.85,12829,long,76.01,0.2105,-1.1183,-1.0788,0.86,29.71
1782757156.79,12874,long,75.54,0.2648,-0.5428,-0.0265,23.09,11.27
1782779638.263,13220,long,74.55,0.0939,-0.5366,-0.4561,16.38,7.1
1782782512.769,13340,long,74.26,0.5117,-0.1347,0.1347,7.35,19.51
1782792870.353,13569,long,74.14,0.0405,-0.6744,-0.2293,0.9,10.1
1782801064.208,13742,long,74.1,0.1215,-0.135,-0.0135,1.84,5.25
1782809399.308,14009,long,73.44,0.4902,-0.2042,0.3132,25.54,1.54
1782830704.396,14873,long,73.53,0.0136,-1.3056,-0.7072,0.74,21.02
1782854915.016,15296,long,73.29,0.2592,-0.0546,0.1637,8.96,1.48
1782859554.143,15371,long,73.4,0.0681,-0.1499,-0.109,22.36,19.46
1782887575.223,16574,long,74.74,0.0134,-1.1105,-0.7359,0.35,6.02
1782904297.303,16994,long,74.99,0.4001,-0.2934,-0.1467,8.7,22.3
1782916264.319,17516,long,76.71,0.5475,-0.5214,0.1825,20.86,3.14
1782948425.058,18205,long,77.61,0.1933,-0.5154,-0.2319,4.15,22.09
1782950880.427,18292,long,77.35,0.0905,-0.4913,-0.4396,1.08,27.58
1782953696.404,18332,long,77.19,0.8032,-0.0518,0.7125,24.58,4.11
1782959440.405,18449,long,78.09,0.6019,0.0,0.4098,17.11,0.81
1782962979.914,18526,long,78.38,0.74,-0.2169,0.3572,22.69,2.57
1782967908.216,18645,long,78.34,0.0638,-0.3702,-0.1787,0.0,11.31
1782975742.657,18800,long,77.92,0.0128,-0.5005,-0.2567,0.81,17.28
1782990494.34,19622,long,81.87,1.1237,-0.2443,0.7695,18.39,1.45
1782993483.081,19823,long,82.22,0.3041,-0.7176,-0.523,0.83,21.82
1782996923.384,19954,long,81.31,0.4182,-0.2214,0.246,18.03,22.32
1783048849.434,20976,long,80.79,0.1857,-0.2971,-0.0619,4.72,21.37
1783052920.428,21038,long,80.57,0.2606,-0.1614,-0.0124,12.91,29.21
1783077091.889,21671,long,81.5,0.1472,-0.3558,-0.2454,5.27,28.98
1783079828.969,21730,long,81.55,0.2207,-0.4782,-0.3311,4.56,23.3
1783086470.817,21870,long,81.56,0.2943,-0.8092,-0.5395,5.52,26.96
1783088396.223,21938,long,81.03,0.7528,-0.2221,0.5183,25.74,1.71
1782661386.023,10086,short,71.8,0.4178,-0.1811,0.0975,16.93,7.32
1782666906.283,10274,short,71.59,0.0838,-0.9638,-0.4749,2.67,20.18
1782690023.785,10990,short,71.6,0.1536,-1.0056,-0.6983,6.62,27.34
1782695291.594,11164,short,71.45,0.084,-0.7418,-0.098,0.46,22.31
1782745597.079,12584,short,72.84,2.1417,-0.1236,1.9907,25.5,5.71
1782748030.808,12640,short,73.82,0.4877,-0.4741,-0.2303,8.06,27.2
1782828317.666,14775,short,73.3,0.7913,-0.1774,0.6276,25.11,0.48
1782901301.485,16932,short,75.46,0.0133,-0.6494,-0.4506,2.11,21.52
1782905674.128,17021,short,74.82,0.2539,-0.294,-0.2005,3.87,21.95
1782912662.675,17227,short,74.99,1.4802,-0.1334,1.1201,24.74,0.79
1783059354.292,21147,short,81.1,0.111,-0.5055,-0.3822,2.71,24.07
1783065673.764,21281,short,81.17,0.1602,-0.345,-0.3326,5.93,29.74
1783085359.388,21847,short,81.56,0.2943,-0.2084,0.0736,24.04,7.99
1783089289.746,21975,short,81.19,0.7144,-0.0246,0.4804,20.09,0.0
1783091558.299,22071,short,81.76,0.0,-0.795,-0.795,0.58,28.9
