ts,bucket_id,variant,side,entry,outcome,minutes_to_resolution,ambiguous_flag
1782668512.777,10329,locked,long,71.22,TP,13.64,0
1782693412.746,11107,locked,long,70.75,SL,0.7,0
1782734635.698,12070,locked,long,72.96,TP,3.34,0
1782751204.42,12688,locked,long,73.5,TP,7.62,0
1782754280.573,12831,locked,long,75.99,SL,1.01,0
1782792863.002,13568,locked,long,74.12,SL,2.29,0
1782809399.308,14009,locked,long,73.44,TP,60.23,0
1782824820.067,14563,locked,long,72.35,TP,23.12,0
1782830704.396,14873,locked,long,73.53,SL,0.74,0
1782838451.583,15067,locked,long,73.44,TP,13.77,0
1782859554.143,15371,locked,long,73.4,TP,89.23,0
1782872022.447,16028,locked,long,74.17,TP,12.99,0
1782887575.223,16574,locked,long,74.74,SL,0.45,0
1782913104.22,17269,locked,long,75.31,TP,7.73,0
1782916264.319,17516,locked,long,76.71,SL,2.33,0
1782937801.049,17921,locked,long,76.84,TP,10.1,0
1782953628.735,18331,locked,long,77.28,TP,22.52,0
1782967908.216,18645,locked,long,78.34,SL,9.21,0
1782996923.384,19954,locked,long,81.31,SL,33.28,0
1783006546.606,20127,locked,long,80.81,SL,0.0,0
1783048849.434,20976,locked,long,80.79,SL,47.59,0
1783064461.64,21244,locked,long,81.15,SL,49.13,0
1783068200.323,21340,locked,long,81.43,SL,2.81,0
1783079828.969,21730,locked,long,81.55,SL,19.35,0
1783086470.817,21870,locked,long,81.56,SL,12.97,0
1783089105.424,21963,locked,long,81.39,TP,35.24,0
1782666906.283,10274,locked,short,71.59,TP,19.67,0
1782736686.043,12249,locked,short,73.74,TP,0.74,0
1782745597.079,12584,locked,short,72.84,SL,1.88,0
1782748030.808,12640,locked,short,73.82,SL,2.68,0
1782826352.845,14642,locked,short,72.06,SL,0.04,0
1782858688.586,15350,locked,short,73.27,SL,46.46,0
1782912662.675,17227,locked,short,74.99,SL,0.79,0
1783009886.813,20159,locked,short,80.45,SL,20.48,0
1783059315.259,21145,locked,short,81.07,SL,91.44,0
1783065673.764,21281,locked,short,81.17,SL,42.09,0
1783089289.791,21977,locked,short,81.19,SL,5.74,0
1783091558.299,22071,locked,short,81.76,TP,4.11,0
1782659910.958,10048,unlocked,long,71.9,SL,18.52,0
1782661973.584,10099,unlocked,long,71.92,SL,0.9,0
1782668512.777,10329,unlocked,long,71.22,TP,13.64,0
1782687374.116,10864,unlocked,long,70.11,TP,5.31,0
1782692104.018,11053,unlocked,long,71.4,SL,1.14,0
1782694519.38,11137,unlocked,long,71.4,SL,22.03,0
1782734437.239,12046,unlocked,long,72.4,SL,0.43,0
1782740078.919,12392,unlocked,long,73.99,SL,0.49,0
1782751020.608,12685,unlocked,long,73.2,TP,2.16,0
1782754228.85,12829,unlocked,long,76.01,SL,1.87,0
1782757156.79,12874,unlocked,long,75.54,SL,7.42,0
1782779638.263,13220,unlocked,long,74.55,SL,2.18,0
1782782512.769,13340,unlocked,long,74.26,TP,6.79,0
1782792863.002,13568,unlocked,long,74.12,SL,2.29,0
1782800920.004,13737,unlocked,long,74.15,SL,39.72,0
1782809399.308,14009,unlocked,long,73.44,TP,60.23,0
1782824820.067,14563,unlocked,long,72.35,TP,23.12,0
1782830704.396,14873,unlocked,long,73.53,SL,0.74,0
1782838451.583,15067,unlocked,long,73.44,TP,13.77,0
1782854915.016,15296,unlocked,long,73.29,TP,34.39,0
1782859554.143,15371,unlocked,long,73.4,TP,89.23,0
1782872022.447,16028,unlocked,long,74.17,TP,12.99,0
1782880283.909,16434,unlocked,long,75.65,SL,3.47,0
1782887575.223,16574,unlocked,long,74.74,SL,0.45,0
1782904297.303,16994,unlocked,long,74.99,SL,38.38,0
1782913104.22,17269,unlocked,long,75.31,TP,7.73,0
1782916264.319,17516,unlocked,long,76.71,SL,2.33,0
1782937801.049,17921,unlocked,long,76.84,TP,10.1,0
1782948425.058,18205,unlocked,long,77.61,SL,21.41,0
1782950880.427,18292,unlocked,long,77.35,SL,9.6,0
1782953628.735,18331,unlocked,long,77.28,TP,22.52,0
1782959440.405,18449,unlocked,long,78.09,TP,8.04,0
1782962979.914,18526,unlocked,long,78.38,TP,21.19,0
1782967908.216,18645,unlocked,long,78.34,SL,9.21,0
1782975742.657,18800,unlocked,long,77.92,SL,2.46,0
1782990494.34,19622,unlocked,long,81.87,TP,3.08,0
1782993483.081,19823,unlocked,long,82.22,SL,19.89,0
1782996923.384,19954,unlocked,long,81.31,SL,33.28,0
1782999663.081,20030,unlocked,long,81.55,TP,6.31,0
1783005911.045,20122,unlocked,long,80.63,TP,40.49,0
1783032975.819,20461,unlocked,long,80.81,SL,4.05,0
1783048849.434,20976,unlocked,long,80.79,SL,47.59,0
1783052920.428,21038,unlocked,long,80.57,TP,64.45,0
1783055918.922,21075,unlocked,long,80.67,TP,16.78,0
1783064156.58,21238,unlocked,long,81.21,SL,52.96,0
1783068200.323,21340,unlocked,long,81.43,SL,2.81,0
1783077091.889,21671,unlocked,long,81.5,SL,28.08,0
1783079828.969,21730,unlocked,long,81.55,SL,19.35,0
1783086470.817,21870,unlocked,long,81.56,SL,12.97,0
1783088396.223,21938,unlocked,long,81.03,TP,20.63,0
1783094765.124,22167,unlocked,long,81.3,TP,63.66,0
