ts,bucket_id,side,baseline,MFE_pct,MAE_pct,end_pct,t_max_up_min,t_max_dn_min,outcome,minutes_to_resolution,ambiguous,mfe_1h_pct,missed_tp_pct,t_mfe_1h_min,mae_1h_pct,run_1h_capped
1782659910.958,10048,long,71.9,0.2782,-0.306,-0.2503,14.99,19.28,SL,18.52,0,,,,0.3199,0
1782661973.584,10099,long,71.92,0.2503,-0.3337,0.0,7.13,1.41,SL,0.9,0,,,,1.1263,0
1782668512.777,10329,long,71.22,0.674,-0.0562,0.3229,21.77,1.23,TP,13.64,0,0.674,0.174,21.77,,0
1782687374.116,10864,long,70.11,1.1553,-0.0571,1.0983,27.67,0.35,TP,5.31,0,2.3392,1.8392,42.34,,0
1782692104.018,11053,long,71.4,0.07,-1.5266,-0.5042,0.64,16.92,SL,1.14,0,,,,1.5266,0
1782694519.38,11137,long,71.4,0.3922,-0.6583,-0.2941,3.95,23.24,SL,22.03,0,,,,0.6723,0
1782734437.239,12046,long,72.4,2.5,-0.4282,2.1133,11.93,0.51,SL,0.43,0,,,,0.4282,0
1782740078.919,12392,long,73.99,0.0676,-1.7164,-0.2433,0.49,15.57,SL,0.49,0,,,,2.3111,0
1782751020.608,12685,long,73.2,2.2814,-0.0137,2.0902,28.58,1.06,TP,2.16,0,4.4945,3.9945,38.68,,0
1782754228.85,12829,long,76.01,0.2105,-1.1183,-1.0788,0.86,29.71,SL,1.87,0,,,,1.1841,0
1782757156.79,12874,long,75.54,0.2648,-0.5428,-0.0265,23.09,11.27,SL,7.42,0,,,,0.5428,0
1782779638.263,13220,long,74.55,0.0939,-0.5366,-0.4561,16.38,7.1,SL,2.18,0,,,,0.7378,0
1782782512.769,13340,long,74.26,0.5117,-0.1347,0.1347,7.35,19.51,TP,6.79,0,0.5117,0.0117,7.35,,0
1782792863.002,13568,long,74.12,0.0675,-0.6476,-0.2024,1.02,10.22,SL,2.29,0,,,,0.6476,0
1782800920.004,13737,long,74.15,0.1079,-0.2023,-0.0674,1.33,7.65,SL,39.72,0,,,,0.472,0
1782809399.308,14009,long,73.44,0.4902,-0.2042,0.3132,25.54,1.54,TP,60.23,0,0.4902,-0.0098,25.54,,0
1782824820.067,14563,long,72.35,0.6496,-0.4976,-0.3317,24.39,27.94,TP,23.12,0,1.7139,1.2139,55.73,,0
1782830704.396,14873,long,73.53,0.0136,-1.3056,-0.7072,0.74,21.02,SL,0.74,0,,,,1.3056,0
1782838451.583,15067,long,73.44,0.64,-0.0545,-0.0545,15.34,21.78,TP,13.77,0,0.64,0.14,15.34,,0
1782854915.016,15296,long,73.29,0.2592,-0.0546,0.1637,8.96,1.48,TP,34.39,0,0.6004,0.1004,51.68,,0
1782859554.143,15371,long,73.4,0.0681,-0.1499,-0.109,22.36,19.46,TP,89.23,0,0.3815,-0.1185,49.11,,0
1782872022.447,16028,long,74.17,1.1056,-0.1753,0.9573,25.17,2.08,TP,12.99,0,1.146,0.646,31.92,,0
1782880283.909,16434,long,75.65,0.2644,-0.4098,-0.0661,15.37,5.01,SL,3.47,0,,,,0.7006,0
1782887575.223,16574,long,74.74,0.0134,-1.1105,-0.7359,0.35,6.02,SL,0.45,0,,,,1.1105,0
1782904297.303,16994,long,74.99,0.4001,-0.2934,-0.1467,8.7,22.3,SL,38.38,0,,,,0.6668,0
1782913104.22,17269,long,75.31,1.049,-0.1195,0.7834,17.38,0.53,TP,7.73,0,2.5893,2.0893,39.34,,0
1782916264.319,17516,long,76.71,0.5475,-0.5214,0.1825,20.86,3.14,SL,2.33,0,,,,0.5214,0
1782937801.049,17921,long,76.84,0.8329,-0.0651,0.7158,20.34,1.21,TP,10.1,0,1.6137,1.1137,41.97,,0
1782948425.058,18205,long,77.61,0.1933,-0.5154,-0.2319,4.15,22.09,SL,21.41,0,,,,0.7344,0
1782950880.427,18292,long,77.35,0.0905,-0.4913,-0.4396,1.08,27.58,SL,9.6,0,,,,0.6464,0
1782953628.735,18331,long,77.28,0.6858,-0.1682,0.4529,25.7,5.24,TP,22.52,0,1.8116,1.3116,47.07,,0
1782959440.405,18449,long,78.09,0.6019,0.0,0.4098,17.11,0.81,TP,8.04,0,0.7683,0.2683,57.6,,0
1782962979.914,18526,long,78.38,0.74,-0.2169,0.3572,22.69,2.57,TP,21.19,0,0.74,0.24,22.69,,0
1782967908.216,18645,long,78.34,0.0638,-0.3702,-0.1787,0.0,11.31,SL,9.21,0,,,,0.7787,0
1782975742.657,18800,long,77.92,0.0128,-0.5005,-0.2567,0.81,17.28,SL,2.46,0,,,,0.5005,0
1782990494.34,19622,long,81.87,1.1237,-0.2443,0.7695,18.39,1.45,TP,3.08,0,1.1237,0.6237,18.39,,0
1782993483.081,19823,long,82.22,0.3041,-0.7176,-0.523,0.83,21.82,SL,19.89,0,,,,1.4108,0
1782996923.384,19954,long,81.31,0.4182,-0.2214,0.246,18.03,22.32,SL,33.28,0,,,,0.7871,0
1782999663.081,20030,long,81.55,0.515,-0.6744,-0.6376,6.76,29.87,TP,6.31,0,0.515,0.015,6.76,,0
1783005911.045,20122,long,80.63,0.2356,-0.1736,0.062,10.59,12.01,TP,40.49,0,0.5457,0.0457,46.39,,0
1783032975.819,20461,long,80.81,0.0124,-0.4331,-0.2104,0.8,19.57,SL,4.05,0,,,,0.4331,0
1783048849.434,20976,long,80.79,0.1857,-0.2971,-0.0619,4.72,21.37,SL,47.59,0,,,,0.4456,0
1783052920.428,21038,long,80.57,0.2606,-0.1614,-0.0124,12.91,29.21,TP,64.45,0,0.3848,-0.1152,59.36,,1
1783055918.922,21075,long,80.67,0.6446,-0.0372,0.3967,16.98,2.99,TP,16.78,0,0.8553,0.3553,48.33,,0
1783064156.58,21238,long,81.21,0.3325,-0.1724,0.0369,15.51,1.64,SL,52.96,0,,,,0.394,0
1783068200.323,21340,long,81.43,0.086,-0.8596,-0.6263,0.01,17.68,SL,2.81,0,,,,0.9824,0
1783077091.889,21671,long,81.5,0.1472,-0.3558,-0.2454,5.27,28.98,SL,28.08,0,,,,0.3558,0
1783079828.969,21730,long,81.55,0.2207,-0.4782,-0.3311,4.56,23.3,SL,19.35,0,,,,0.4782,0
1783086470.817,21870,long,81.56,0.2943,-0.8092,-0.5395,5.52,26.96,SL,12.97,0,,,,0.8705,0
1783088396.223,21938,long,81.03,0.7528,-0.2221,0.5183,25.74,1.71,TP,20.63,0,1.3205,0.8205,48.09,,0
1783094765.124,22167,long,81.3,0.0984,-0.246,-0.0246,18.78,8.67,TP,63.66,0,0.3813,-0.1187,59.94,,1
1782661386.023,10086,short,71.8,0.4178,-0.1811,0.0975,16.93,7.32,SL,16.76,0,,,,0.4178,0
1782666906.283,10274,short,71.59,0.0838,-0.9638,-0.4749,2.67,20.18,TP,19.67,0,0.9638,0.4638,20.18,,0
1782673700.227,10419,short,71.0,0.3944,-0.2254,-0.1127,24.07,12.9,SL,23.46,0,,,,0.3944,0
1782690023.785,10990,short,71.6,0.1536,-1.0056,-0.6983,6.62,27.34,TP,19.62,0,1.8017,1.3017,51.59,,0
1782695291.594,11164,short,71.45,0.084,-0.7418,-0.098,0.46,22.31,TP,9.2,0,0.7418,0.2418,22.31,,0
1782736686.043,12249,short,73.74,0.3662,-0.9628,0.0814,25.76,14.07,TP,0.74,0,0.9628,0.4628,14.07,,0
1782740310.043,12404,short,73.33,0.7773,-0.8319,-0.1091,26.08,11.72,TP,3.52,0,1.4319,0.9319,40.05,,0
1782745597.079,12584,short,72.84,2.1417,-0.1236,1.9907,25.5,5.71,SL,1.88,0,,,,2.1417,0
1782748030.808,12640,short,73.82,0.4877,-0.4741,-0.2303,8.06,27.2,SL,2.68,0,,,,0.4877,0
1782826352.845,14642,short,72.06,2.0677,-0.1527,2.0677,29.99,5.79,SL,0.04,0,,,,2.5257,0
1782828317.666,14775,short,73.3,0.7913,-0.1774,0.6276,25.11,0.48,SL,17.46,0,,,,0.7913,0
1782858688.586,15350,short,73.27,0.2593,-0.0546,0.1092,9.72,0.74,SL,46.46,0,,,,0.505,0
1782870404.474,15959,short,73.94,0.5275,-0.257,0.5004,29.95,20.6,SL,26.12,0,,,,1.4606,0
1782901301.485,16932,short,75.46,0.0133,-0.6494,-0.4506,2.11,21.52,TP,16.64,0,1.0999,0.5999,40.36,,0
1782905674.128,17021,short,74.82,0.2539,-0.294,-0.2005,3.87,21.95,TP,38.85,0,0.6683,0.1683,39.98,,0
1782912662.675,17227,short,74.99,1.4802,-0.1334,1.1201,24.74,0.79,SL,0.79,0,,,,3.0271,0
