variant,side,sl_pct,exit,n,n_resolved,win_rate,n_unresolved,n_eod,n_ambiguous,avg_win_pct,avg_loss_pct,exp_gross_pct,exp_net_pct,med_minutes
locked,long,0.2,TP0.5,26,26,34.62,0,0,0,0.5,-0.2,0.0423,-0.0577,8.0
locked,long,0.2,TP0.75,26,26,19.23,0,0,0,0.75,-0.2,-0.0173,-0.1173,10.6
locked,long,0.2,TP1.0,26,26,19.23,0,0,0,1.0,-0.2,0.0308,-0.0692,13.9
locked,long,0.2,TRAIL,26,26,34.62,0,0,0,0.4849,-0.2,0.0371,-0.0629,10.1
locked,long,0.25,TP0.5,26,26,42.31,0,0,0,0.5,-0.25,0.0673,-0.0327,9.7
locked,long,0.25,TP0.75,26,26,23.08,0,0,0,0.75,-0.25,-0.0192,-0.1192,13.8
locked,long,0.25,TP1.0,26,26,23.08,0,0,0,1.0,-0.25,0.0385,-0.0615,16.4
locked,long,0.25,TRAIL,26,26,42.31,0,0,0,0.4574,-0.25,0.0493,-0.0507,11.3
locked,long,0.3,TP0.5,26,26,46.15,0,0,0,0.5,-0.3,0.0692,-0.0308,11.5
locked,long,0.3,TP0.75,26,26,26.92,0,0,0,0.75,-0.3,-0.0173,-0.1173,16.2
locked,long,0.3,TP1.0,26,26,23.08,0,0,0,1.0,-0.3,0.0,-0.1,20.6
locked,long,0.3,TRAIL,26,26,46.15,0,0,0,0.4667,-0.3,0.0539,-0.0461,12.4
locked,long,0.4,TP0.5,26,26,50.0,0,0,0,0.5,-0.4,0.05,-0.05,13.7
locked,long,0.4,TP0.75,26,26,30.77,0,0,0,0.75,-0.4,-0.0462,-0.1462,23.4
locked,long,0.4,TP1.0,26,26,26.92,0,0,0,1.0,-0.4,-0.0231,-0.1231,25.3
locked,long,0.4,TRAIL,26,26,50.0,0,0,0,0.4522,-0.4,0.0261,-0.0739,19.9
unlocked,long,0.2,TP0.5,51,51,33.33,0,0,0,0.5,-0.2,0.0333,-0.0667,6.9
unlocked,long,0.2,TP0.75,51,51,17.65,0,0,0,0.75,-0.2,-0.0324,-0.1324,13.0
unlocked,long,0.2,TP1.0,51,51,15.69,0,0,0,1.0,-0.2,-0.0118,-0.1118,13.0
unlocked,long,0.2,TRAIL,51,51,33.33,0,0,0,0.4537,-0.2,0.0179,-0.0821,8.7
unlocked,long,0.25,TP0.5,51,51,43.14,0,0,0,0.5,-0.25,0.0735,-0.0265,13.0
unlocked,long,0.25,TP0.75,51,51,23.53,0,0,0,0.75,-0.25,-0.0147,-0.1147,18.2
unlocked,long,0.25,TP1.0,51,50,20.0,0,1,0,1.0,-0.25,0.0,-0.1,19.3
unlocked,long,0.25,TRAIL,51,51,43.14,0,0,0,0.4519,-0.25,0.0528,-0.0472,16.5
unlocked,long,0.3,TP0.5,51,51,43.14,0,0,0,0.5,-0.3,0.0451,-0.0549,13.0
unlocked,long,0.3,TP0.75,51,51,25.49,0,0,0,0.75,-0.3,-0.0324,-0.1324,18.8
unlocked,long,0.3,TP1.0,51,50,22.0,0,1,0,1.0,-0.3,-0.014,-0.114,20.7
unlocked,long,0.3,TRAIL,51,51,43.14,0,0,0,0.4519,-0.3,0.0243,-0.0757,16.5
unlocked,long,0.4,TP0.5,51,51,43.14,0,0,0,0.5,-0.4,-0.0118,-0.1118,16.7
unlocked,long,0.4,TP0.75,51,51,27.45,0,0,0,0.75,-0.4,-0.0843,-0.1843,22.6
unlocked,long,0.4,TP1.0,51,50,22.0,0,1,0,1.0,-0.4,-0.092,-0.192,24.9
unlocked,long,0.4,TRAIL,51,51,43.14,0,0,0,0.4519,-0.4,-0.0325,-0.1325,21.4
locked,short,0.2,TP0.5,12,12,25.0,0,0,0,0.5,-0.2,-0.025,-0.125,3.4
locked,short,0.2,TP0.75,12,12,25.0,0,0,0,0.75,-0.2,0.0375,-0.0625,4.2
locked,short,0.2,TP1.0,12,12,8.33,0,0,0,1.0,-0.2,-0.1,-0.2,6.0
locked,short,0.2,TRAIL,12,12,25.0,0,0,0,0.5919,-0.2,-0.002,-0.102,4.6
locked,short,0.25,TP0.5,12,12,25.0,0,0,0,0.5,-0.25,-0.0625,-0.1625,3.4
locked,short,0.25,TP0.75,12,12,25.0,0,0,0,0.75,-0.25,0.0,-0.1,4.2
locked,short,0.25,TP1.0,12,11,9.09,0,1,0,1.0,-0.25,-0.1364,-0.2364,5.7
locked,short,0.25,TRAIL,12,12,25.0,0,0,0,0.5919,-0.25,-0.0395,-0.1395,4.6
locked,short,0.3,TP0.5,12,12,25.0,0,0,0,0.5,-0.3,-0.1,-0.2,4.9
locked,short,0.3,TP0.75,12,12,25.0,0,0,0,0.75,-0.3,-0.0375,-0.1375,12.9
locked,short,0.3,TP1.0,12,11,9.09,0,1,0,1.0,-0.3,-0.1818,-0.2818,20.5
locked,short,0.3,TRAIL,12,12,25.0,0,0,0,0.5919,-0.3,-0.077,-0.177,13.1
locked,short,0.4,TP0.5,12,12,25.0,0,0,0,0.5,-0.4,-0.175,-0.275,6.9
locked,short,0.4,TP0.75,12,12,25.0,0,0,0,0.75,-0.4,-0.1125,-0.2125,13.8
locked,short,0.4,TP1.0,12,11,9.09,0,1,0,1.0,-0.4,-0.2727,-0.3727,33.2
locked,short,0.4,TRAIL,12,12,25.0,0,0,0,0.5919,-0.4,-0.152,-0.252,16.4
unlocked,short,0.2,TP0.5,24,24,33.33,0,0,0,0.5,-0.2,0.0333,-0.0667,7.5
unlocked,short,0.2,TP0.75,24,24,29.17,0,0,0,0.75,-0.2,0.0771,-0.0229,8.8
unlocked,short,0.2,TP1.0,24,24,12.5,0,0,0,1.0,-0.2,-0.05,-0.15,21.8
unlocked,short,0.2,TRAIL,24,24,33.33,0,0,0,0.52,-0.2,0.04,-0.06,8.8
unlocked,short,0.25,TP0.5,24,24,33.33,0,0,0,0.5,-0.25,0.0,-0.1,9.2
unlocked,short,0.25,TP0.75,24,24,29.17,0,0,0,0.75,-0.25,0.0417,-0.0583,13.3
unlocked,short,0.25,TP1.0,24,23,13.04,0,1,0,1.0,-0.25,-0.087,-0.187,20.5
unlocked,short,0.25,TRAIL,24,24,33.33,0,0,0,0.52,-0.25,0.0067,-0.0933,10.5
unlocked,short,0.3,TP0.5,24,24,41.67,0,0,0,0.5,-0.3,0.0333,-0.0667,18.5
unlocked,short,0.3,TP0.75,24,24,41.67,0,0,0,0.75,-0.3,0.1375,0.0375,22.0
unlocked,short,0.3,TP1.0,24,23,17.39,0,1,0,1.0,-0.3,-0.0739,-0.1739,26.1
unlocked,short,0.3,TRAIL,24,24,41.67,0,0,0,0.5042,-0.3,0.0351,-0.0649,22.8
unlocked,short,0.4,TP0.5,24,24,45.83,0,0,0,0.5,-0.4,0.0125,-0.0875,18.7
unlocked,short,0.4,TP0.75,24,24,45.83,0,0,0,0.75,-0.4,0.1271,0.0271,27.6
unlocked,short,0.4,TP1.0,24,23,21.74,0,1,0,1.0,-0.4,-0.0957,-0.1957,33.8
unlocked,short,0.4,TRAIL,24,24,45.83,0,0,0,0.5351,-0.4,0.0286,-0.0714,25.5
