ts,bucket_id,variant,side,entry,exit_reason,exit_price,pnl_pct,minutes_held,mfe_before_exit,giveback
1782668512.777,10329,locked,long,71.22,SIGNAL,71.33,0.1545,37.1,0.674,0.5195
1782693412.746,11107,locked,long,70.75,SL,70.5378,-0.3,0.7,0.0565,0.3565
1782734635.698,12070,locked,long,72.96,SIGNAL,73.34,0.5208,6.75,0.699,0.1782
1782751204.42,12688,locked,long,73.5,SIGNAL,75.88,3.2381,36.35,4.068,0.8299
1782754280.573,12831,locked,long,75.99,SL,75.762,-0.3,1.01,0.1316,0.4316
1782792863.002,13568,locked,long,74.12,SL,73.8976,-0.3,2.29,0.0675,0.3675
1782809399.308,14009,locked,long,73.44,SIGNAL,73.36,-0.1089,0.41,0.0136,0.1225
1782824820.067,14563,locked,long,72.35,SIGNAL,72.36,0.0138,5.54,0.1659,0.152
1782830704.396,14873,locked,long,73.53,SL,73.3094,-0.3,0.74,0.0136,0.3136
1782838451.583,15067,locked,long,73.44,SIGNAL,73.8,0.4902,15.34,0.64,0.1498
1782859554.143,15371,locked,long,73.4,SIGNAL,73.35,-0.0681,15.04,0.0545,0.1226
1782872022.447,16028,locked,long,74.17,SIGNAL,74.28,0.1483,3.65,0.2562,0.1079
1782887575.223,16574,locked,long,74.74,SL,74.5158,-0.3,0.45,0.0134,0.3134
1782913104.22,17269,locked,long,75.31,SIGNAL,75.46,0.1992,6.11,0.4647,0.2656
1782916264.319,17516,locked,long,76.71,SL,76.4799,-0.3,2.33,0.0782,0.3782
1782937801.049,17921,locked,long,76.84,SIGNAL,77.23,0.5075,17.24,0.6637,0.1562
1782953628.735,18331,locked,long,77.28,SIGNAL,78.24,1.2422,41.41,1.3846,0.1423
1782967908.216,18645,locked,long,78.34,SL,78.105,-0.3,9.21,0.0638,0.3638
1782996923.384,19954,locked,long,81.31,SIGNAL,81.27,-0.0492,7.98,0.1722,0.2214
1783006546.606,20127,locked,long,80.81,SL,80.5676,-0.3,0.0,0.0124,0.3124
1783048849.434,20976,locked,long,80.79,SIGNAL,80.76,-0.0371,16.1,0.1857,0.2228
1783064461.64,21244,locked,long,81.15,SIGNAL,81.28,0.1602,13.79,0.4067,0.2465
1783068200.323,21340,locked,long,81.43,SIGNAL,81.3,-0.1596,1.83,0.086,0.2456
1783079828.969,21730,locked,long,81.55,SIGNAL,81.47,-0.0981,12.37,0.2207,0.3188
1783086470.817,21870,locked,long,81.56,SIGNAL,81.4,-0.1962,12.97,0.2943,0.4904
1783089105.424,21963,locked,long,81.39,SIGNAL,81.24,-0.1843,2.85,0.0123,0.1966
1782659910.958,10048,unlocked,long,71.9,SIGNAL,72.03,0.1808,16.4,0.2782,0.0974
1782661973.584,10099,unlocked,long,71.92,SL,71.7042,-0.3,0.9,0.0278,0.3278
1782668512.777,10329,unlocked,long,71.22,SIGNAL,71.56,0.4774,27.08,0.674,0.1966
1782687374.116,10864,unlocked,long,70.11,SIGNAL,70.45,0.485,7.33,0.7417,0.2567
1782692104.018,11053,unlocked,long,71.4,SL,71.1858,-0.3,1.14,0.07,0.37
1782694519.38,11137,unlocked,long,71.4,SIGNAL,71.67,0.3782,4.69,0.3922,0.014
1782734437.239,12046,unlocked,long,72.4,SIGNAL,72.39,-0.0138,0.19,0.0138,0.0276
1782740078.919,12392,unlocked,long,73.99,SIGNAL,73.99,0.0,0.49,0.0676,0.0676
1782751020.608,12685,unlocked,long,73.2,SIGNAL,76.16,4.0437,38.72,4.4945,0.4508
1782754228.85,12829,unlocked,long,76.01,SIGNAL,75.84,-0.2237,1.87,0.2105,0.4342
1782757156.79,12874,unlocked,long,75.54,SIGNAL,75.5,-0.053,2.32,0.0265,0.0794
1782779638.263,13220,unlocked,long,74.55,SL,74.3263,-0.3,2.18,0.0,0.3
1782782512.769,13340,unlocked,long,74.26,SIGNAL,74.62,0.4848,8.14,0.5117,0.0269
1782792863.002,13568,unlocked,long,74.12,SL,73.8976,-0.3,2.29,0.0675,0.3675
1782800920.004,13737,unlocked,long,74.15,SIGNAL,74.14,-0.0135,2.02,0.1079,0.1214
1782809399.308,14009,unlocked,long,73.44,SIGNAL,73.41,-0.0408,0.0,0.0136,0.0545
1782824820.067,14563,unlocked,long,72.35,SIGNAL,72.45,0.1382,2.77,0.1659,0.0276
1782830704.396,14873,unlocked,long,73.53,SL,73.3094,-0.3,0.74,0.0136,0.3136
1782838451.583,15067,unlocked,long,73.44,SIGNAL,73.63,0.2587,9.4,0.354,0.0953
1782854915.016,15296,unlocked,long,73.29,SIGNAL,73.31,0.0273,1.33,0.0819,0.0546
1782859554.143,15371,unlocked,long,73.4,SIGNAL,73.37,-0.0409,1.09,0.0,0.0409
