ts,bucket_id,side,status,fire_close,limit_price,fill_minute,exit_arm,outcome,pnl_pct,minutes_held,cf_mfe_pct,cf_mae_pct
1782668512.777,10329,long,CANCELLED,71.22,71.1199,,,,,,0.674,-0.0562
1782668552.364,10330,long,CANCELLED,71.21,71.1244,,,,,,0.6881,-0.0421
1782668586.811,10331,long,CANCELLED,71.27,71.1302,,,,,,0.6033,-0.0421
1782668646.056,10332,long,CANCELLED,71.32,71.1372,,,,,,0.5328,-0.0981
1782668688.002,10333,long,CANCELLED,71.25,71.1458,,,,,,0.6316,0.0
1782668722.841,10334,long,CANCELLED,71.29,71.153,,,,,,0.5751,-0.0281
1782668803.075,10335,long,CANCELLED,71.32,71.1604,,,,,,0.5328,-0.0421
1782693412.746,11107,long,FILLED,70.75,70.7271,0.0,FIXED,SL,-0.3,0.7,,
1782693412.746,11107,long,FILLED,70.75,70.7271,0.0,SIGNAL,SL,-0.3,0.7,,
1782887575.223,16574,long,DEGENERATE,74.74,74.8087,,,,,,,
1782887596.075,16575,long,DEGENERATE,74.71,74.8053,,,,,,,
1782967908.216,18645,long,FILLED,78.34,78.2514,3.09,FIXED,SL,-0.3,33.26,,
1782967908.216,18645,long,FILLED,78.34,78.2514,3.09,SIGNAL,SIGNAL,-0.0402,15.54,,
1782967934.772,18647,long,FILLED,78.33,78.261,2.65,FIXED,SL,-0.3,30.15,,
1782967934.772,18647,long,FILLED,78.33,78.261,2.65,SIGNAL,SIGNAL,-0.0524,15.54,,
1782968027.154,18648,long,FILLED,78.34,78.264,1.11,FIXED,SL,-0.3,30.15,,
1782968027.154,18648,long,FILLED,78.34,78.264,1.11,SIGNAL,SIGNAL,-0.0562,15.54,,
1782996923.384,19954,long,DEGENERATE,81.31,81.3692,,,,,,,
1782666906.283,10274,short,FILLED,71.59,71.601,0.0,FIXED,TP,0.5,19.67,,
1782666906.283,10274,short,FILLED,71.59,71.601,0.0,SIGNAL,SIGNAL,0.4344,16.76,,
1783065673.764,21281,short,FILLED,81.17,81.2474,0.45,FIXED,SL,-0.3,41.65,,
1783065673.764,21281,short,FILLED,81.17,81.2474,0.45,SIGNAL,SIGNAL,0.1199,8.41,,
1783065701.008,21282,short,FILLED,81.18,81.2441,0.0,FIXED,SL,-0.3,41.65,,
1783065701.008,21282,short,FILLED,81.18,81.2441,0.0,SIGNAL,SIGNAL,0.1158,8.41,,
