sid,fire_bid,side,absorbed,ts,status,touch_bid,delay,base_t,entry,arm,outcome,pnl,mins,cf_mfe,cf_mae
1,10329,long,6,1782668512.777,MKT_AT_FIRE,,,,71.22,FIXED,TP,0.5,13.64,,
1,10329,long,6,1782668512.777,MKT_AT_FIRE,,,,71.22,SIGNAL,SIGNAL,0.1545,37.1,,
1,10329,long,6,1782668512.777,TOUCHED,10362,28.02,71.4344,71.4344,FIXED,SL,-0.3,16.09,,
1,10329,long,6,1782668512.777,TOUCHED,10362,28.02,71.4344,71.4344,SIGNAL,SIGNAL,-0.1461,9.07,,
2,11107,long,0,1782693412.746,MKT_AT_FIRE,,,,70.75,FIXED,SL,-0.3,0.7,,
2,11107,long,0,1782693412.746,MKT_AT_FIRE,,,,70.75,SIGNAL,SL,-0.3,0.7,,
2,11107,long,0,1782693412.746,TOUCHED,11108,0.0,70.7217,70.7217,FIXED,SL,-0.3,0.7,,
2,11107,long,0,1782693412.746,TOUCHED,11108,0.0,70.7217,70.7217,SIGNAL,SL,-0.3,0.7,,
3,16574,long,1,1782887575.223,DEGENERATE,16574,,74.8087,,,,,,,
3,16574,long,1,1782887575.223,MKT_AT_FIRE,,,,74.74,FIXED,SL,-0.3,0.45,,
3,16574,long,1,1782887575.223,MKT_AT_FIRE,,,,74.74,SIGNAL,SL,-0.3,0.45,,
4,18645,long,2,1782967908.216,MKT_AT_FIRE,,,,78.34,FIXED,SL,-0.3,9.21,,
4,18645,long,2,1782967908.216,MKT_AT_FIRE,,,,78.34,SIGNAL,SL,-0.3,9.21,,
4,18645,long,2,1782967908.216,TOUCHED,18650,3.09,78.2684,78.2684,FIXED,SL,-0.3,30.15,,
4,18645,long,2,1782967908.216,TOUCHED,18650,3.09,78.2684,78.2684,SIGNAL,SIGNAL,-0.0619,15.54,,
5,19954,long,0,1782996923.384,MKT_AT_FIRE,,,,81.31,FIXED,SL,-0.3,33.28,,
5,19954,long,0,1782996923.384,MKT_AT_FIRE,,,,81.31,SIGNAL,SIGNAL,-0.0492,7.98,,
5,19954,long,0,1782996923.384,TOUCHED,19954,0.0,81.3692,81.3692,FIXED,SL,-0.3,33.77,,
5,19954,long,0,1782996923.384,TOUCHED,19954,0.0,81.3692,81.3692,SIGNAL,SIGNAL,-0.1219,8.47,,
6,10274,short,0,1782666906.283,MKT_AT_FIRE,,,,71.59,FIXED,TP,0.5,19.67,,
6,10274,short,0,1782666906.283,MKT_AT_FIRE,,,,71.59,SIGNAL,SIGNAL,0.4191,16.76,,
6,10274,short,0,1782666906.283,TOUCHED,10274,0.0,71.601,71.601,FIXED,TP,0.5,21.19,,
6,10274,short,0,1782666906.283,TOUCHED,10274,0.0,71.601,71.601,SIGNAL,SIGNAL,0.4344,18.28,,
7,21281,short,1,1783065673.764,MKT_AT_FIRE,,,,81.17,FIXED,SL,-0.3,42.09,,
7,21281,short,1,1783065673.764,MKT_AT_FIRE,,,,81.17,SIGNAL,SIGNAL,0.0246,8.86,,
7,21281,short,1,1783065673.764,TOUCHED,21283,0.45,81.2419,81.2419,FIXED,SL,-0.3,41.65,,
7,21281,short,1,1783065673.764,TOUCHED,21283,0.45,81.2419,81.2419,SIGNAL,SIGNAL,0.1131,8.41,,
