sid,side,fire_bid,route,entry_style,entry,delay,arm,outcome,pnl,mins,cf_mfe,cf_mae
1,long,10329,WAIT,TOUCH,71.4344,28.02,FIXED,SL,-0.3,16.09,,
1,long,10329,WAIT,TOUCH,71.4344,28.02,SIGNAL,SIGNAL,-0.1461,9.07,,
2,long,11107,WAIT,TOUCH,70.7217,0.0,FIXED,SL,-0.3,0.7,,
2,long,11107,WAIT,TOUCH,70.7217,0.0,SIGNAL,SL,-0.3,0.7,,
3,long,16574,MARKET,MARKET,74.74,,FIXED,SL,-0.3,0.45,,
3,long,16574,MARKET,MARKET,74.74,,SIGNAL,SL,-0.3,0.45,,
4,long,18645,WAIT,TOUCH,78.2684,3.09,FIXED,SL,-0.3,30.15,,
4,long,18645,WAIT,TOUCH,78.2684,3.09,SIGNAL,SIGNAL,-0.0619,15.54,,
5,long,19954,MARKET,MARKET,81.31,,FIXED,SL,-0.3,33.28,,
5,long,19954,MARKET,MARKET,81.31,,SIGNAL,SIGNAL,-0.0492,7.98,,
6,short,10274,WAIT,TOUCH,71.601,0.0,FIXED,TP,0.5,21.19,,
6,short,10274,WAIT,TOUCH,71.601,0.0,SIGNAL,SIGNAL,0.4344,18.28,,
7,short,21281,WAIT,TOUCH,81.2419,0.45,FIXED,SL,-0.3,41.65,,
7,short,21281,WAIT,TOUCH,81.2419,0.45,SIGNAL,SIGNAL,0.1131,8.41,,
