ts,fire_bid,side,decN,route,baseline,status,entry,delay,outcome,pnl,mins,w_max,w_min,t_max,t_min
1782661386.023,10086,short,50,WAIT,71.8363,TOUCH,71.8385,0.0,SL,-0.3,16.87,0.4178,-0.961,16.93,51.52
1782666906.283,10274,short,50,WAIT,71.601,TOUCH,71.601,0.0,TP,0.5,19.67,0.1537,-0.9638,48.55,20.18
1782690023.785,10990,short,50,MKT,71.4843,MKT,71.6,0.0,TP,0.5,19.62,0.1536,-1.8017,6.62,51.59
1782695291.594,11164,short,50,MKT,71.3452,MKT,71.45,0.0,TP,0.5,9.2,0.2939,-0.7418,33.82,22.31
1782734437.239,12046,long,50,MKT,72.479,MKT,72.4,0.0,SL,-0.3,0.43,2.9696,-0.4282,34.63,0.51
1782740078.919,12392,long,50,WAIT,73.7921,TOUCH,73.8069,0.49,SL,-0.3,0.72,0.0676,-2.3111,0.49,43.9
1782745597.079,12584,short,50,WAIT,73.2893,TOUCH,73.2178,2.96,TP,0.5,1.81,2.1417,-0.1236,25.5,5.71
1782751020.608,12685,long,50,MKT,73.3562,MKT,73.2,0.0,TP,0.5,2.16,4.4945,-0.0137,38.68,1.06
1782757156.79,12874,long,50,WAIT,75.5213,TOUCH,75.5202,0.0,SL,-0.3,7.42,0.3971,-0.5428,58.96,11.27
1782779638.263,13220,long,50,WAIT,74.5138,TOUCH,74.5131,0.0,SL,-0.3,2.28,0.1207,-0.7378,55.26,39.28
1782792870.353,13569,long,50,WAIT,74.0145,TOUCH,74.0249,1.68,SL,-0.3,0.99,0.0405,-0.6744,0.9,10.1
1782801064.208,13742,long,50,WAIT,74.0579,TOUCH,74.0767,2.14,SL,-0.3,36.84,0.1484,-0.4049,31.09,40.07
1782809399.308,14009,long,50,WAIT,73.3844,TOUCH,73.3874,0.0,TP,0.5,22.81,0.4902,-0.2042,25.54,1.54
1782828317.666,14775,short,50,MKT,73.3026,MKT,73.3,0.0,SL,-0.3,17.46,0.7913,-0.9277,25.11,59.93
1782854915.016,15296,long,50,MKT,73.3513,MKT,73.29,0.0,TP,0.5,34.39,0.6004,-0.0546,51.68,1.48
1782859554.143,15371,long,50,WAIT,73.3934,TOUCH,73.3928,0.0,TP,0.5,89.23,0.3815,-0.1499,49.11,19.46
1782887575.223,16574,long,50,MKT,74.8087,MKT,74.74,0.0,SL,-0.3,0.45,0.0134,-1.1105,0.35,6.02
1782901301.485,16932,short,50,MKT,75.3557,MKT,75.46,0.0,TP,0.5,16.64,0.0133,-1.0999,2.11,40.36
1782905674.128,17021,short,50,WAIT,74.9738,TOUCH,74.9535,1.26,TP,0.5,31.73,0.2539,-0.6683,3.87,39.98
1782912662.675,17227,short,50,MKT,74.9809,MKT,74.99,0.0,SL,-0.3,0.79,3.0271,-0.1334,46.69,0.79
1782916264.319,17516,long,50,MKT,76.8135,MKT,76.71,0.0,SL,-0.3,2.33,1.3949,-0.5214,52.18,3.14
1782948425.058,18205,long,50,WAIT,77.6008,TOUCH,77.6002,0.0,SL,-0.3,21.41,0.1933,-0.7344,4.15,54.01
1782953696.404,18332,long,50,WAIT,77.1681,TOUCH,77.1697,2.61,TP,0.5,14.75,1.9303,-0.0518,45.94,4.11
1782959440.405,18449,long,50,MKT,78.0915,MKT,78.09,0.0,TP,0.5,8.04,0.7683,-0.2561,57.6,51.43
1782967908.216,18645,long,50,WAIT,78.2514,TOUCH,78.2684,3.09,SL,-0.3,30.15,0.0638,-0.7787,0.0,51.19
1782975742.657,18800,long,50,MKT,77.9311,MKT,77.92,0.0,SL,-0.3,2.46,0.3208,-0.5005,47.95,17.28
1782990494.34,19622,long,50,WAIT,81.7717,TOUCH,81.7726,0.0,TP,0.5,2.96,1.1237,-0.2443,18.39,1.45
1782996923.384,19954,long,50,MKT,81.3692,MKT,81.31,0.0,SL,-0.3,33.28,0.8117,-0.7871,52.42,33.95
1783048849.434,20976,long,50,WAIT,80.543,TOUCH,80.7436,13.9,SL,-0.3,33.93,0.1857,-0.4456,4.72,49.45
1783052920.428,21038,long,50,MKT,80.5851,MKT,80.57,0.0,TP,0.5,64.45,0.3848,-0.1738,59.36,31.37
1783059354.292,21147,short,50,WAIT,81.1553,TOUCH,81.145,1.65,TP,0.5,20.34,0.111,-0.5055,2.71,24.07
1783065673.764,21281,short,50,WAIT,81.2474,TOUCH,81.2419,0.45,SL,-0.3,41.65,0.4066,-0.5421,42.11,59.79
1783077091.889,21671,long,50,MKT,81.5698,MKT,81.5,0.0,SL,-0.3,28.08,0.2822,-0.3558,50.18,28.98
1783085359.388,21847,short,50,MKT,81.5274,MKT,81.56,0.0,TP,0.5,44.37,0.2943,-0.8705,24.04,52.32
1783089289.746,21975,short,50,WAIT,81.1971,TOUCH,81.1966,0.0,SL,-0.3,5.74,1.1208,-0.0246,33.2,0.0
