ts,fire_bid,side,first_red_N,first_green_N,baseline,zone_hi_pct,zone_lo_pct,route,status,entry,delay,outcome,pnl,mins,w_max,w_min,t_max,t_min
1782650513.506,9830,short,53,50,71.9704,0.1948,-0.3896,WAIT,TOUCH,71.86,14.49,TP,0.5,5.66,0.3062,-0.8071,48.85,8.85
1782655029.991,9950,short,,50,71.8542,-0.0698,-0.5303,WAIT,TOUCH,71.66,8.31,SL,-0.3,1.22,0.6977,-0.0837,14.68,54.44
1782659139.912,10020,short,50,51,71.7882,0.4179,-0.209,WAIT,TOUCH,71.78,0.88,TP,0.5,3.94,0.4458,-0.5294,26.96,4.05
1782666386.103,10251,long,96,50,71.4198,0.5592,-0.4474,WAIT,TOUCH,71.53,4.92,SL,-0.3,14.97,0.2377,-0.8807,52.29,23.93
1782671807.599,10385,short,50,65,71.2405,0.4076,-0.3374,WAIT,TOUCH,71.14,22.3,TP,0.5,3.94,0.1968,-1.3354,33.32,48.83
1782677724.612,10532,long,94,50,70.7858,0.4793,-0.7048,WAIT,TOUCH,70.94,20.03,SL,-0.3,0.5,0.0564,-0.5216,59.83,38.1
1782687427.164,10866,long,60,50,69.9709,0.1133,-0.7931,WAIT,TOUCH,70.61,21.3,TP,0.5,10.05,1.6145,0.0,20.15,0.3
1782693412.746,11107,long,50,,70.7271,1.4308,0.4108,WAIT,TOUCH,70.59,1.28,TP,0.5,2.93,1.5441,-0.0142,21.11,0.93
1782704296.17,11422,short,50,65,73.0074,0.261,-1.2086,WAIT,CANCELLED,,,,,,0.1099,-1.1674,10.95,58.74
1782712492.061,11569,long,99,50,71.584,-0.7566,-2.0773,WAIT,TOUCH,72.69,36.51,SL,-0.3,4.24,0.055,-0.908,0.95,31.19
1782721757.177,11737,short,50,52,72.6295,0.0,-0.8807,WAIT,TOUCH,72.67,8.51,SL,-0.3,9.85,0.633,-0.1927,41.02,1.77
1782729022.939,11890,short,50,53,73.408,-0.0956,-0.9013,WAIT,TOUCH,73.23,7.82,TP,0.5,27.35,0.2185,-1.1198,2.19,39.95
1782732675.61,11989,long,63,50,72.7211,0.6722,0.0412,WAIT,TOUCH,72.9,1.16,SL,-0.3,2.54,1.797,-1.1111,40.13,28.71
1782739585.931,12368,short,50,52,73.9472,-0.3925,-1.1639,WAIT,TOUCH,73.89,5.59,TP,0.5,4.31,0.2571,-2.1789,1.51,46.53
1782743276.377,12542,long,50,77,72.7742,1.1497,-0.4654,WAIT,TOUCH,73.06,18.0,TP,0.5,7.51,1.8341,-0.4243,46.18,26.39
1782748030.808,12640,short,,50,73.9229,-0.1217,-1.4606,WAIT,TOUCH,73.94,1.08,SL,-0.3,5.47,0.3246,-1.4877,6.98,41.43
1782751661.674,12694,long,50,86,73.4316,-1.9375,-3.6246,WAIT,TOUCH,75.87,31.34,SL,-0.3,2.03,0.3954,-1.0149,12.31,2.68
1782781066.466,13290,long,64,50,74.4126,0.3631,-0.1345,WAIT,TOUCH,74.35,4.62,SL,-0.3,6.78,0.39,-0.4707,26.84,10.86
1782794330.491,13626,long,54,50,73.9103,0.2704,-0.3515,WAIT,TOUCH,73.97,35.18,SL,-0.3,201.83,0.3515,-0.2163,46.97,22.03
1782800171.697,13721,short,55,50,74.0618,0.1892,-0.2567,WAIT,TOUCH,74.01,8.91,TP,0.5,131.11,0.2973,-0.2837,4.89,46.04
1782809399.308,14009,long,50,85,73.3844,0.2998,-0.0409,WAIT,TOUCH,73.39,0.01,TP,0.5,22.81,0.5587,-0.1363,25.53,1.53
1782816556.282,14186,long,50,66,73.6179,0.1901,-0.2172,WAIT,TOUCH,73.66,4.03,SL,-0.3,25.13,0.1493,-0.4752,4.9,40.72
1782824820.067,14563,long,97,50,72.1231,0.1937,-0.1799,WAIT,TOUCH,72.27,6.14,TP,0.5,16.89,1.8265,-0.4428,49.59,25.19
1782830231.075,14851,short,81,50,73.6054,0.0816,-0.4896,WAIT,TOUCH,73.53,7.89,TP,0.5,3.4,0.0136,-1.3056,0.74,21.02
1782838451.583,15067,long,57,50,73.164,0.7069,-0.7341,WAIT,TOUCH,73.56,22.92,SL,-0.3,7.0,0.0272,-0.6797,0.83,50.24
1782853851.49,15261,short,50,100,73.62,0.8317,-0.0409,WAIT,TOUCH,73.34,5.32,SL,-0.3,45.13,0.4636,-0.1909,47.31,10.29
1782858688.586,15350,short,50,55,73.4848,0.3677,-0.4494,WAIT,TOUCH,73.43,9.93,SL,-0.3,53.18,0.3405,-0.1907,53.6,23.95
1782865921.714,15505,long,50,56,73.5582,0.1087,-0.2173,WAIT,TOUCH,73.63,6.58,SL,-0.3,25.27,0.2445,-1.915,14.21,34.82
1782872022.447,16028,long,78,50,74.0081,0.1213,-0.4044,WAIT,TOUCH,74.19,7.4,TP,0.5,7.26,1.1187,0.0,24.52,0.15
1782883291.521,16493,short,50,75,75.5355,0.5181,-0.0797,WAIT,TOUCH,75.27,20.97,TP,0.5,27.12,0.1594,-1.8068,3.87,56.44
1782901551.943,16936,short,50,59,75.3433,0.1462,-0.3322,WAIT,TOUCH,75.26,6.23,TP,0.5,28.59,0.1196,-0.8371,1.97,29.96
1782910875.067,17143,long,77,50,74.4855,0.0801,-0.7479,WAIT,TOUCH,74.88,19.29,TP,0.5,1.53,3.1784,-0.3606,57.2,10.07
1782916021.413,17499,short,50,68,76.8894,0.1301,-1.0281,WAIT,TOUCH,76.84,3.47,TP,0.5,3.25,1.2233,-0.6897,52.76,3.72
1782921422.594,17666,short,50,54,77.3164,0.0258,-0.93,WAIT,TOUCH,77.42,2.2,SL,-0.3,27.02,1.0721,-0.7233,28.34,57.03
1782926631.364,17760,long,53,50,77.3287,0.7857,-0.747,WAIT,TOUCH,77.64,46.3,SL,-0.3,20.72,0.2318,-0.5152,9.93,44.84
1782932314.231,17823,short,50,72,77.5225,0.4901,-0.9414,WAIT,TOUCH,77.54,8.9,TP,0.5,18.23,0.1161,-1.0833,2.91,55.31
1782937801.049,17921,long,52,51,76.7537,0.7657,-0.0779,WAIT,TOUCH,77.05,11.86,TP,0.5,7.54,2.0376,-0.013,52.77,1.69
1782949116.886,18228,short,50,60,77.5773,0.6968,0.0258,WAIT,TOUCH,77.5,6.02,TP,0.5,18.73,0.1161,-0.8387,3.87,59.55
1782953628.735,18331,long,59,51,77.1664,0.4661,-0.0259,WAIT,TOUCH,77.23,6.56,TP,0.5,12.28,1.8775,-0.0647,40.51,1.79
1782965779.859,18608,short,50,55,78.5489,0.6266,-0.3453,WAIT,TOUCH,78.2,31.81,TP,0.5,51.96,0.243,-0.601,3.66,54.85
1782986090.899,19160,long,51,60,79.451,0.1634,-0.1886,WAIT,TOUCH,79.55,2.54,TP,0.5,24.29,3.0547,-0.2011,56.98,2.96
1782991565.753,19728,long,63,50,82.4204,0.1454,-0.836,WAIT,TOUCH,82.54,1.96,SL,-0.3,0.73,0.2423,-1.1025,2.4,51.82
1782996923.384,19954,long,50,,81.3692,1.3401,0.3565,WAIT,TOUCH,81.34,0.49,SL,-0.3,32.79,0.7745,-0.8237,51.93,33.46
1783006546.606,20127,long,62,50,80.463,1.6241,-0.1612,WAIT,TOUCH,80.66,51.18,SL,-0.3,0.42,0.6571,-0.7067,58.38,12.84
1783022579.508,20321,short,50,93,80.896,0.6194,-0.223,WAIT,TOUCH,80.72,34.4,SL,-0.3,12.73,0.5079,-0.0991,35.81,3.57
1783035198.159,20494,long,57,50,80.6093,0.385,-0.1739,WAIT,TOUCH,80.51,4.39,TP,0.5,86.04,0.3726,-0.0497,36.43,57.72
1783040458.089,20644,short,50,53,80.7739,-0.2222,-0.6174,WAIT,TOUCH,80.99,4.45,SL,-0.3,8.76,0.8149,-0.0247,47.04,0.78
1783048849.434,20976,long,50,51,80.543,0.5085,0.0124,WAIT,TOUCH,80.63,23.19,TP,0.5,109.41,0.186,-0.248,57.57,26.26
1783053841.499,21047,long,50,73,80.6209,0.4842,-0.3352,WAIT,TOUCH,80.55,9.44,TP,0.5,38.93,0.8318,-0.149,56.24,6.59
1783059315.259,21145,short,50,52,81.1619,-0.2835,-0.8506,WAIT,TOUCH,81.12,4.57,TP,0.5,18.54,0.0,-0.5301,0.66,20.15
1783064461.64,21244,long,90,50,81.0527,-0.0492,-0.554,WAIT,TOUCH,81.23,17.32,SL,-0.3,30.56,0.3324,-0.5417,44.99,56.73
1783068200.323,21340,long,73,50,81.1847,0.3695,-0.1355,WAIT,TOUCH,81.18,3.41,SL,-0.3,5.21,0.0739,-0.6775,1.61,51.74
1783079828.969,21730,long,50,53,81.457,0.4051,-0.1105,WAIT,TOUCH,81.47,12.37,SL,-0.3,9.25,0.2209,-0.3805,59.36,10.93
1783089289.791,21977,short,65,50,81.1965,0.5903,-0.4427,WAIT,TOUCH,81.32,3.65,SL,-0.3,6.78,0.9592,-0.1599,29.55,46.23
