horizon_min,direction,MFE_p10,MAE_p10,MFE_p25,MAE_p25,MFE_p50,MAE_p50,MFE_p75,MAE_p75,MFE_p90,MAE_p90
5,long,0.0268,0.0262,0.0698,0.0682,0.1671,0.1597,0.3277,0.2939,0.5785,0.4517
5,short,0.0262,0.0268,0.0682,0.0698,0.1597,0.1671,0.2939,0.3277,0.4517,0.5785
10,long,0.0401,0.0282,0.1079,0.0952,0.2451,0.2158,0.4825,0.3814,0.8322,0.5848
10,short,0.0282,0.0401,0.0952,0.1079,0.2158,0.2451,0.3814,0.4825,0.5848,0.8322
15,long,0.0511,0.0407,0.1292,0.1141,0.299,0.2625,0.6018,0.4454,1.0142,0.6827
15,short,0.0407,0.0511,0.1141,0.1292,0.2625,0.299,0.4454,0.6018,0.6827,1.0142
30,long,0.0688,0.0545,0.1936,0.1594,0.4487,0.3456,0.9425,0.6027,1.5858,0.9603
30,short,0.0545,0.0688,0.1594,0.1936,0.3456,0.4487,0.6027,0.9425,0.9603,1.5858
60,long,0.1081,0.0779,0.2956,0.2198,0.6752,0.472,1.4064,0.8568,2.1328,1.2897
60,short,0.0779,0.1081,0.2198,0.2956,0.472,0.6752,0.8568,1.4064,1.2897,2.1328
