# FROZEN weights — exam v2 STEP 1A. The exam uses these tables VERBATIM; no re-tuning.
# raw_strength = Sum_bins (n_bin/n_total)*|TP%_bin - baseline|; bins n<100 -> 0; sz on sz-present rows; duplicate-value columns deduped (11 aliases folded). Discovery slice; HOLDOUT SEALED.
variant,direction,rank,feature_code,plain_name,flag,weight,cumulative_weight,effect_pp,n,deduped_aliases
W-ALL,long,1,E32.07,Percentile vs history,,0.0160,0.0160,18.4,6645,
W-ALL,long,2,E31.01,Current level,tempo,0.0153,0.0313,24.8,6797,
W-ALL,long,3,E04.01,"Gap vs prior close: size, sign, gap-in-ticks",level,0.0144,0.0457,-15.6,6869,E04.08
W-ALL,long,4,E04.09,Log return open->close,level,0.0144,0.0601,-15.6,6869,
W-ALL,long,5,K.02,KC upper band (mid + 2.0 x ATR-20),level,0.0142,0.0743,-15.1,6865,
W-ALL,long,6,E09.01,POC round-number proximity,level,0.0141,0.0884,-15.6,6869,
W-ALL,long,7,B-S.02,Selection wall-clock duration,tempo,0.0139,0.1023,-19.6,6869,
W-ALL,long,8,K.01,KC middle line value at entry (EMA-20 of close),level,0.0138,0.1161,-14.9,6865,
W-ALL,long,9,K.10,Rolling-POC baseline value (240-bucket window POC),level,0.0137,0.1298,-17.4,6646,
W-ALL,long,10,K.03,KC lower band (mid - 2.0 x ATR-20),level,0.0135,0.1434,-14.6,6865,
W-ALL,long,11,E51.07,z / percentile of large share,,0.0132,0.1565,6.0,2270,
W-ALL,long,12,E11.05,Above/below-mean volume streak,tempo,0.0119,0.1684,17.1,6855,
W-ALL,long,13,E51.08,Large-share streak,,0.0118,0.1802,3.9,2270,
W-ALL,long,14,E51.01,Volume per bin (vector feature),,0.0107,0.1909,-12.2,2300,
W-ALL,long,15,E11.02,Volume percentile / z vs trailing window,tempo,0.0105,0.2014,15.3,6855,
W-ALL,long,16,E48.06,Day-rank,,0.0102,0.2116,-13.4,6866,
W-ALL,long,17,E11.09,Day-rank of the bucket's volume,tempo,0.0102,0.2217,15.4,6866,
W-ALL,long,18,E01.01,UTC hour-of-day (0-23),,0.0101,0.2319,3.6,6869,
W-ALL,long,19,E02.01,UTC hour-of-day at close,,0.0101,0.2420,3.6,6869,
W-ALL,long,20,E50.09,Large-count streak,,0.0100,0.2520,5.9,2270,
W-ALL,long,21,E31.02,Slope over trailing window (regime drift),tempo,0.0100,0.2620,-8.7,6579,
W-ALL,long,22,E49.05,Percentile of total fraction,,0.0097,0.2717,-10.6,6645,
W-ALL,long,23,E29.01,Raw units/s / log pace,tempo,0.0095,0.2811,14.0,6797,
W-ALL,long,24,G08.1,vel = volume/second and Speed multiple (canonical),tempo,0.0095,0.2906,14.0,6797,
W-ALL,long,25,E47.02,z / percentile vs window,,0.0093,0.2999,0.6,6855,
W-ALL,long,26,B-S.13,Average VEL + Speed multiple,tempo,0.0093,0.3092,14.1,6869,
W-ALL,long,27,E50.08,Large-count percentile vs window,,0.0090,0.3182,5.2,2299,
W-ALL,long,28,E50.01,Counts per bin (vector feature),,0.0090,0.3272,-6.3,2300,
W-ALL,long,29,E52.01,large-order net side (APPROX fixed-273c),,0.0089,0.3361,5.2,2300,
W-ALL,long,30,E48.02,z / percentile,,0.0088,0.3449,-4.3,6855,
W-ALL,long,31,K.09,Squeeze flag: bandwidth in bottom percentile,,0.0088,0.3537,12.7,6645,
W-ALL,long,32,E09.09,POC percentile within the day's range,level,0.0082,0.3618,-5.9,6645,
W-ALL,long,33,K.11,Close vs POC baseline: side + distance,,0.0080,0.3698,1.6,6646,
W-ALL,long,34,C.05,Max drawup and drawdown within the 15,,0.0079,0.3778,9.3,6869,
W-ALL,long,35,E11.01,Overshoot ratio: curr_vol / target_vol (last-print spillover),tempo,0.0077,0.3854,2.1,6869,
W-ALL,long,36,E11.03,Log volume,tempo,0.0077,0.3931,2.1,6869,
W-ALL,long,37,K.04,Bandwidth: (upper - lower) / mid,,0.0075,0.4006,13.5,6865,
W-ALL,long,38,E03.01,Raw seconds / log-duration,,0.0074,0.4080,-10.7,6869,G01.1
W-ALL,long,39,B-S.07,Sum OpL,,0.0074,0.4154,-0.1,6869,
W-ALL,long,40,B-S.10,Sum ClS,,0.0074,0.4228,0.5,6869,
W-ALL,long,41,B-P1.03,Spread: bull% - bear%,,0.0074,0.4302,-6.6,6869,
W-ALL,long,42,E32.01,Current size,,0.0074,0.4375,2.2,6869,
W-ALL,long,43,E42.01,Traded-level count,,0.0072,0.4447,9.4,6869,E45.01
W-ALL,long,44,E03.08,Duration acceleration: ratio vs prior bucket,,0.0072,0.4519,0.1,6869,
W-ALL,long,45,E05.01,Absolute range / range in ticks,,0.0071,0.4590,9.3,6869,
W-ALL,long,46,E47.05,Liq-short streak,,0.0069,0.4659,13.6,6855,
W-ALL,long,47,E19.02,z / percentile,,0.0069,0.4728,4.1,6855,
W-ALL,long,48,B-S.03,Total volume,,0.0065,0.4794,3.2,6869,
W-ALL,long,49,B-P4.04,Opposite side's percentage,,0.0065,0.4859,-9.1,6869,
W-ALL,long,50,B-P1.06,Absolute bear V*s over the selection,,0.0065,0.4925,11.8,6869,
W-ALL,long,51,B-S.08,Sum OpS,,0.0064,0.4989,3.2,6869,
W-ALL,long,52,K.08,Channel slope (mid-line drift over N buckets),,0.0063,0.5052,4.7,6865,
W-ALL,long,53,B-P1.02,Bear absorption percentage (badge),,0.0062,0.5113,4.5,6869,
W-ALL,long,54,E47.06,Day-rank,,0.0062,0.5175,-2.0,6866,
W-ALL,long,55,B-P1.01,Bull absorption percentage (badge),,0.0061,0.5237,-4.4,6869,
W-ALL,long,56,E57.03,Depth percentile vs window,,0.0061,0.5297,-5.6,6610,
W-ALL,long,57,E48.05,Liq-long streak,,0.0060,0.5357,-11.0,6855,
W-ALL,long,58,C.06,Realized volatility of the 15,,0.0060,0.5417,11.4,6869,
W-ALL,long,59,E20.01,churn / vol fraction,,0.0059,0.5477,3.9,6869,
W-ALL,long,60,E38.03,Day-rank,,0.0055,0.5532,0.3,6866,
W-ALL,long,61,B-P4.10,Crossover-diamond count in the selection,,0.0054,0.5585,12.1,6869,
W-ALL,long,62,E20.07,Day-rank of churn,,0.0054,0.5639,10.8,6866,
W-ALL,long,63,E29.05,Pace acceleration,tempo,0.0053,0.5693,0.1,6683,
W-ALL,long,64,E25.01,Raw dispersion (ticks),,0.0052,0.5745,7.3,6869,
W-ALL,long,65,E32.03,Slope of target over the day,,0.0049,0.5793,4.2,6869,
W-ALL,long,66,E12.01,Buy share: buy_vol / curr_vol,,0.0048,0.5841,4.4,6869,
W-ALL,long,67,E12.08,Log buy volume,,0.0048,0.5890,4.4,6869,
W-ALL,long,68,B-S.09,Sum ClL,,0.0048,0.5938,-3.8,6869,
