# SEL-k=100 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,long,1,B-P2.10,,0.0348,0.0348,8.3345,
W-ALL,long,2,C.12,,0.0305,0.0653,7.3238,
W-ALL,long,3,B-P1.06,,0.0278,0.0931,6.6755,
W-ALL,long,4,E51.01,,0.0231,0.1163,5.5503,
W-ALL,long,5,C.06,,0.0227,0.1390,5.4377,
W-ALL,long,6,B-P4.04,,0.0216,0.1605,5.1724,
W-ALL,long,7,E01.01,clock,0.0204,0.1809,4.8917,
W-ALL,long,8,E02.01,clock,0.0204,0.2013,4.8917,
W-ALL,long,9,B-P2.06,,0.0203,0.2217,4.8777,
W-ALL,long,10,B-S.09,,0.0200,0.2417,4.8033,
W-ALL,long,11,E50.01,,0.0195,0.2611,4.6658,
W-ALL,long,12,B-S.07,,0.0194,0.2806,4.6609,
W-ALL,long,13,E52.01,,0.0193,0.2999,4.6378,
W-ALL,long,14,C.03,,0.0193,0.3192,4.6314,
W-ALL,long,15,B-S.05,,0.0189,0.3382,4.5430,
W-ALL,long,16,C.09,,0.0175,0.3557,4.1893,
W-ALL,long,17,E03.01,,0.0169,0.3726,4.0525,
W-ALL,long,18,C.05,,0.0169,0.3894,4.0440,
W-ALL,long,19,C.02,,0.0166,0.4060,3.9830,
W-ALL,long,20,B-P1.05,,0.0165,0.4225,3.9620,
W-ALL,long,21,B-P3.08,,0.0162,0.4387,3.8785,
W-ALL,long,22,B-P1.03,,0.0160,0.4548,3.8462,
W-ALL,long,23,B-P2.08,,0.0157,0.4705,3.7627,
W-ALL,long,24,E42.01,,0.0153,0.4858,3.6699,
W-ALL,long,25,E05.01,,0.0153,0.5010,3.6616,
W-ALL,long,26,B-P1.08,,0.0149,0.5159,3.5619,
W-ALL,long,27,B-P1.07,,0.0147,0.5306,3.5325,
W-ALL,long,28,B-S.14,,0.0146,0.5453,3.5114,
W-ALL,long,29,C.11,,0.0145,0.5598,3.4837,
W-ALL,long,30,E20.01,,0.0142,0.5740,3.4041,
W-ALL,long,31,B-P2.05,,0.0139,0.5879,3.3389,
W-ALL,long,32,B-P1.01,,0.0133,0.6012,3.1788,
W-ALL,long,33,B-P1.02,,0.0133,0.6144,3.1788,
W-ALL,long,34,B-S.08,,0.0129,0.6273,3.0834,
W-ALL,long,35,B-S.03,tempo,0.0127,0.6400,3.0504,
W-ALL,long,36,B-P4.09,,0.0126,0.6526,3.0317,
W-ALL,long,37,C.04,,0.0125,0.6651,2.9863,
W-ALL,long,38,B-P3.09,,0.0122,0.6773,2.9267,
W-ALL,long,39,B-P1.10,,0.0117,0.6890,2.8154,
W-ALL,long,40,B-P3.06,,0.0116,0.7006,2.7851,
W-ALL,long,41,B-P3.05,,0.0114,0.7120,2.7311,
W-ALL,long,42,E08.01,,0.0104,0.7225,2.5016,
W-ALL,long,43,C.07,,0.0104,0.7329,2.4954,
W-ALL,long,44,E25.01,,0.0103,0.7431,2.4609,
W-ALL,long,45,E12.01,,0.0102,0.7533,2.4364,
W-ALL,long,46,B-P3.07,,0.0095,0.7628,2.2726,
W-ALL,long,47,B-S.10,suspect-regime,0.0090,0.7718,2.1557,
W-ALL,long,48,B-P2.04,,0.0088,0.7805,2.1025,
W-ALL,long,49,B-P2.01,,0.0084,0.7889,2.0189,
W-ALL,long,50,B-P2.02,,0.0084,0.7974,2.0189,
W-ALL,long,51,B-P1.09,,0.0082,0.8056,1.9743,
W-ALL,long,52,B-S.06,,0.0081,0.8137,1.9494,
W-ALL,long,53,B-P4.10,,0.0081,0.8219,1.9486,
W-ALL,long,54,B-P3.01,,0.0081,0.8299,1.9304,
W-ALL,long,55,B-P3.02,,0.0081,0.8380,1.9304,
W-ALL,long,56,E28.01,,0.0081,0.8460,1.9304,
W-ALL,long,57,C.10,,0.0079,0.8540,1.9059,
W-ALL,long,58,B-P4.05,,0.0079,0.8619,1.9010,
W-ALL,long,59,B-P3.04,,0.0078,0.8697,1.8783,
W-ALL,long,60,B-P4.01,,0.0078,0.8775,1.8715,
W-ALL,long,61,B-P2.09,,0.0077,0.8852,1.8545,
W-ALL,long,62,E43.01,,0.0072,0.8925,1.7291,
W-ALL,long,63,B-P2.07,,0.0070,0.8995,1.6841,
W-ALL,long,64,E19.01,,0.0064,0.9059,1.5318,
W-ALL,long,65,C.08,,0.0062,0.9120,1.4800,
W-ALL,long,66,E06.01,,0.0057,0.9178,1.3762,
W-ALL,long,67,E21.01,,0.0057,0.9235,1.3721,
W-ALL,long,68,E13.01,,0.0050,0.9285,1.1986,
W-ALL,long,69,E16.01,,0.0048,0.9333,1.1396,
W-ALL,long,70,E18.01,,0.0047,0.9380,1.1347,
W-ALL,long,71,B-P4.02,,0.0045,0.9425,1.0901,
W-ALL,long,72,B-P3.03,,0.0044,0.9469,1.0512,
W-ALL,long,73,B-P3.10,,0.0044,0.9513,1.0463,
W-ALL,long,74,G06.1,,0.0043,0.9555,1.0217,
W-ALL,long,75,E17.01,,0.0041,0.9597,0.9923,
W-ALL,long,76,G04.1,,0.0041,0.9638,0.9787,
W-ALL,long,77,E14.01,,0.0039,0.9676,0.9321,
W-ALL,long,78,G03.1,,0.0039,0.9715,0.9284,
W-ALL,long,79,E24.01,,0.0037,0.9753,0.8989,
