# SEL-k=3 re-derivation vs the 30-MINUTE label (barriers 0.5/0.3 unchanged; unresolved dropped). Spent-data characterization only; forward data is the judge.
variant,direction,rank,feature_code,weight,raw_strength
W-STAT-30M,long,1,E51.01,0.0711,9.0155
W-STAT-30M,long,2,E03.01,0.0295,3.7342
W-STAT-30M,long,3,E05.01,0.0237,3.0094
W-STAT-30M,long,4,E42.01,0.0235,2.9823
W-STAT-30M,long,5,E20.01,0.0228,2.8843
W-STAT-30M,long,6,E52.01,0.0225,2.8550
W-STAT-30M,long,7,E50.01,0.0223,2.8203
W-STAT-30M,long,8,B-P2.06,0.0213,2.6964
W-STAT-30M,long,9,E25.01,0.0200,2.5390
W-STAT-30M,long,10,B-S.14,0.0197,2.4925
W-STAT-30M,long,11,E08.01,0.0190,2.4141
W-STAT-30M,long,12,B-P1.01,0.0185,2.3404
W-STAT-30M,long,13,B-P1.02,0.0185,2.3404
W-STAT-30M,long,14,C.10,0.0181,2.2912
W-STAT-30M,long,15,B-P1.08,0.0175,2.2233
W-STAT-30M,long,16,B-S.07,0.0171,2.1704
W-STAT-30M,long,17,B-P2.02,0.0168,2.1310
W-STAT-30M,long,18,B-P2.01,0.0167,2.1185
W-STAT-30M,long,19,B-P3.03,0.0165,2.0970
W-STAT-30M,long,20,E12.01,0.0164,2.0845
W-STAT-30M,long,21,B-P3.04,0.0160,2.0225
W-STAT-30M,long,22,B-P1.06,0.0159,2.0201
W-STAT-30M,long,23,B-P1.04,0.0159,2.0116
W-STAT-30M,long,24,B-P3.01,0.0152,1.9271
W-STAT-30M,long,25,B-P3.02,0.0151,1.9145
W-STAT-30M,long,26,B-S.05,0.0131,1.6551
W-STAT-30M,long,27,C.03,0.0129,1.6396
W-STAT-30M,long,28,C.01,0.0129,1.6396
W-STAT-30M,long,29,C.02,0.0129,1.6396
W-STAT-30M,long,30,B-P2.03,0.0124,1.5746
W-STAT-30M,long,31,E28.01,0.0124,1.5746
W-STAT-30M,long,32,E06.01,0.0122,1.5449
W-STAT-30M,long,33,B-S.06,0.0121,1.5292
W-STAT-30M,long,34,C.09,0.0120,1.5191
W-STAT-30M,long,35,B-S.09,0.0118,1.5012
W-STAT-30M,long,36,B-P1.03,0.0118,1.4905
W-STAT-30M,long,37,B-P4.01,0.0118,1.4905
W-STAT-30M,long,38,E43.01,0.0116,1.4726
W-STAT-30M,long,39,C.05,0.0116,1.4672
W-STAT-30M,long,40,B-P2.04,0.0109,1.3794
W-STAT-30M,long,41,B-P2.07,0.0109,1.3759
W-STAT-30M,long,42,E19.01,0.0108,1.3706
W-STAT-30M,long,43,B-P4.09,0.0104,1.3205
W-STAT-30M,long,44,C.07,0.0104,1.3147
W-STAT-30M,long,45,E21.01,0.0103,1.3109
W-STAT-30M,long,46,G06.1,0.0103,1.3109
W-STAT-30M,long,47,B-P2.05,0.0100,1.2632
W-STAT-30M,long,48,E16.01,0.0100,1.2632
W-STAT-30M,long,49,B-P4.05,0.0093,1.1845
W-STAT-30M,long,50,B-P1.05,0.0093,1.1845
W-STAT-30M,long,51,B-P2.08,0.0092,1.1621
W-STAT-30M,long,52,B-S.08,0.0091,1.1541
W-STAT-30M,long,53,E14.01,0.0091,1.1524
W-STAT-30M,long,54,B-P3.10,0.0090,1.1451
W-STAT-30M,long,55,C.08,0.0090,1.1345
W-STAT-30M,long,56,G03.1,0.0088,1.1112
W-STAT-30M,long,57,E24.01,0.0085,1.0825
W-STAT-30M,long,58,E07.01,0.0082,1.0368
W-STAT-30M,long,59,B-P1.07,0.0072,0.9072
W-STAT-30M,long,60,B-P2.11,0.0069,0.8795
W-STAT-30M,long,61,B-P3.06,0.0068,0.8606
W-STAT-30M,long,62,B-P3.05,0.0068,0.8606
W-STAT-30M,long,63,E13.01,0.0067,0.8445
W-STAT-30M,long,64,E18.01,0.0063,0.7926
W-STAT-30M,long,65,G04.1,0.0062,0.7852
W-STAT-30M,long,66,E10.01,0.0061,0.7781
W-STAT-30M,long,67,E22.01,0.0060,0.7640
W-STAT-30M,long,68,E23.01,0.0058,0.7300
W-STAT-30M,long,69,B-P3.09,0.0058,0.7289
W-STAT-30M,long,70,B-P1.09,0.0057,0.7183
W-STAT-30M,long,71,B-P3.07,0.0056,0.7113
W-STAT-30M,long,72,B-P1.10,0.0053,0.6709
W-STAT-30M,long,73,C.12,0.0048,0.6110
W-STAT-30M,long,74,E17.01,0.0043,0.5493
W-STAT-30M,long,75,B-P4.02,0.0040,0.5077
W-STAT-30M,long,76,B-P1.11,0.0040,0.5068
W-STAT-30M,long,77,E15.01,0.0036,0.4527
W-STAT-30M,long,78,B-P2.09,0.0036,0.4501
W-STAT-30M,long,79,C.04,0.0032,0.4061
W-STAT-30M,long,80,B-P4.10,0.0003,0.0338
W-STAT-30M,long,81,B-P2.10,0.0002,0.0251
W-STAT-30M,long,82,B-P3.08,0.0002,0.0215
W-STAT-30M,short,1,E51.01,0.0716,8.4507
W-STAT-30M,short,2,E50.01,0.0281,3.3199
W-STAT-30M,short,3,E52.01,0.0266,3.1369
W-STAT-30M,short,4,B-P2.04,0.0233,2.7449
W-STAT-30M,short,5,B-P2.06,0.0228,2.6880
W-STAT-30M,short,6,B-P2.01,0.0205,2.4227
W-STAT-30M,short,7,B-P2.02,0.0205,2.4227
W-STAT-30M,short,8,E20.01,0.0202,2.3883
W-STAT-30M,short,9,B-P1.01,0.0200,2.3540
W-STAT-30M,short,10,B-P1.02,0.0200,2.3540
W-STAT-30M,short,11,B-S.14,0.0192,2.2595
W-STAT-30M,short,12,B-P1.04,0.0185,2.1816
W-STAT-30M,short,13,B-P4.01,0.0184,2.1735
W-STAT-30M,short,14,E03.01,0.0176,2.0790
W-STAT-30M,short,15,B-P4.09,0.0175,2.0609
W-STAT-30M,short,16,B-S.07,0.0173,2.0361
W-STAT-30M,short,17,B-P2.08,0.0170,2.0024
W-STAT-30M,short,18,B-P3.04,0.0166,1.9585
W-STAT-30M,short,19,B-P4.05,0.0164,1.9330
W-STAT-30M,short,20,E42.01,0.0147,1.7326
W-STAT-30M,short,21,E25.01,0.0144,1.7010
W-STAT-30M,short,22,E06.01,0.0144,1.6932
W-STAT-30M,short,23,B-P3.01,0.0138,1.6323
W-STAT-30M,short,24,B-P3.02,0.0138,1.6323
W-STAT-30M,short,25,B-P2.07,0.0135,1.5979
W-STAT-30M,short,26,B-P3.06,0.0135,1.5979
W-STAT-30M,short,27,B-P2.03,0.0135,1.5893
W-STAT-30M,short,28,B-S.09,0.0133,1.5722
W-STAT-30M,short,29,E05.01,0.0133,1.5704
W-STAT-30M,short,30,E19.01,0.0130,1.5292
W-STAT-30M,short,31,B-P1.08,0.0127,1.5028
W-STAT-30M,short,32,B-S.05,0.0127,1.4948
W-STAT-30M,short,33,C.05,0.0122,1.4347
W-STAT-30M,short,34,C.02,0.0122,1.4347
W-STAT-30M,short,35,C.08,0.0121,1.4334
W-STAT-30M,short,36,C.09,0.0121,1.4261
W-STAT-30M,short,37,B-P2.05,0.0119,1.4003
W-STAT-30M,short,38,E12.01,0.0119,1.4003
W-STAT-30M,short,39,E08.01,0.0118,1.3947
W-STAT-30M,short,40,B-P4.02,0.0118,1.3910
W-STAT-30M,short,41,E28.01,0.0113,1.3316
W-STAT-30M,short,42,B-P2.11,0.0112,1.3186
W-STAT-30M,short,43,G03.1,0.0109,1.2887
W-STAT-30M,short,44,C.03,0.0109,1.2836
W-STAT-30M,short,45,C.01,0.0109,1.2836
W-STAT-30M,short,46,B-P3.03,0.0107,1.2629
W-STAT-30M,short,47,B-P1.05,0.0106,1.2543
W-STAT-30M,short,48,B-P3.10,0.0106,1.2543
W-STAT-30M,short,49,B-P1.06,0.0103,1.2199
W-STAT-30M,short,50,E14.01,0.0103,1.2160
W-STAT-30M,short,51,E24.01,0.0100,1.1856
W-STAT-30M,short,52,E43.01,0.0100,1.1856
W-STAT-30M,short,53,B-S.08,0.0098,1.1598
W-STAT-30M,short,54,E16.01,0.0095,1.1254
W-STAT-30M,short,55,B-P3.07,0.0093,1.0938
W-STAT-30M,short,56,E18.01,0.0092,1.0825
W-STAT-30M,short,57,C.10,0.0091,1.0757
W-STAT-30M,short,58,C.07,0.0087,1.0313
W-STAT-30M,short,59,E21.01,0.0086,1.0199
W-STAT-30M,short,60,B-P1.09,0.0086,1.0133
W-STAT-30M,short,61,B-P1.11,0.0081,0.9539
W-STAT-30M,short,62,B-P3.05,0.0080,0.9450
W-STAT-30M,short,63,B-P1.07,0.0074,0.8763
W-STAT-30M,short,64,E13.01,0.0071,0.8419
W-STAT-30M,short,65,E15.01,0.0068,0.8076
W-STAT-30M,short,66,E23.01,0.0065,0.7646
W-STAT-30M,short,67,E07.01,0.0062,0.7318
W-STAT-30M,short,68,G06.1,0.0049,0.5756
W-STAT-30M,short,69,B-S.06,0.0048,0.5648
W-STAT-30M,short,70,B-P1.10,0.0045,0.5333
W-STAT-30M,short,71,B-P1.03,0.0043,0.5069
W-STAT-30M,short,72,E17.01,0.0042,0.4983
W-STAT-30M,short,73,B-P2.10,0.0039,0.4574
W-STAT-30M,short,74,B-P3.09,0.0031,0.3694
W-STAT-30M,short,75,C.04,0.0031,0.3600
W-STAT-30M,short,76,B-P2.09,0.0030,0.3579
W-STAT-30M,short,77,E22.01,0.0027,0.3179
W-STAT-30M,short,78,E10.01,0.0024,0.2802
W-STAT-30M,short,79,C.12,0.0018,0.2164
W-STAT-30M,short,80,G04.1,0.0010,0.1156
W-STAT-30M,short,81,B-P4.10,0.0004,0.0521
W-STAT-30M,short,82,B-P3.08,0.0004,0.0442
