rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
1,E31.01,E,,num,4,6797,98.952,Q4,1699,44.909,Q1,1700,20.059,24.850,15.135,34.511,23,24.308,26.471,35.682,
2,B-P3.08,B-,,cat,3,6869,100.000,1,394,41.371,2,59,16.949,24.421,6.682,40.929,13,25.888,18.644,35.682,
3,B-S.02,B-,,num,4,6869,100.000,Q4,1717,25.917,Q1,1718,45.518,-19.601,-29.940,-8.758,23,25.859,23.166,35.682,
4,C.08,C,,cat,9,6869,100.000,NEUTRAL,3639,37.675,STRONG BULL,82,18.293,19.383,4.622,30.578,23,25.556,26.829,35.682,
5,E32.07,E,,num,3,6645,96.739,Q3,3321,43.662,Q1,1665,25.225,18.436,7.465,28.242,23,21.771,29.009,35.682,
6,K.10,K,,num,4,6646,96.754,Q4,1479,23.665,Q1,1743,41.021,-17.357,-30.431,-7.613,16,27.383,21.859,35.682,
7,E11.05,E,,num,4,6855,99.796,Q4,1709,40.667,Q1,1759,23.593,17.074,7.015,29.050,23,24.927,27.459,35.682,
8,E09.01,E,,num,4,6869,100.000,Q4,1716,24.709,Q1,1725,40.290,-15.581,-28.264,-5.721,20,24.359,21.449,35.682,
9,E04.01,E,,num,4,6869,100.000,Q4,1702,24.794,Q1,1727,40.359,-15.565,-28.206,-5.672,19,23.678,21.367,35.682,
10,E04.08,E,,num,4,6869,100.000,Q4,1702,24.794,Q1,1727,40.359,-15.565,-28.206,-5.672,19,23.678,21.367,35.682,
11,E04.09,E,,num,4,6869,100.000,Q4,1702,24.794,Q1,1727,40.359,-15.565,-28.206,-5.672,19,23.678,21.367,35.682,
12,E11.09,E,,num,3,6866,99.956,Q3,3433,40.577,Q1,1717,25.160,15.417,4.634,25.256,23,23.099,24.927,35.682,
13,E11.02,E,,num,4,6855,99.796,Q4,1714,39.965,Q1,1714,24.679,15.286,5.733,24.057,23,21.879,28.530,35.682,
14,K.02,K,,num,4,6865,99.942,Q4,1716,24.942,Q1,1717,40.070,-15.128,-27.893,-5.610,18,25.583,21.782,35.682,
15,K.01,K,,num,4,6865,99.942,Q4,1716,25.175,Q1,1717,40.070,-14.895,-27.679,-4.868,18,25.699,21.782,35.682,
16,K.03,K,,num,4,6865,99.942,Q4,1716,25.408,Q1,1717,40.012,-14.604,-27.445,-4.248,18,26.107,21.782,35.682,
17,B-S.13,B-,,num,4,6869,100.000,Q4,1717,40.128,Q1,1718,26.019,14.110,4.998,22.826,23,27.490,27.765,35.682,
18,E29.01,E,,num,4,6797,98.952,Q4,1699,40.141,Q1,1700,26.118,14.024,5.947,21.124,23,26.310,26.412,35.682,
19,G08.1,G,,num,4,6797,98.952,Q4,1699,40.141,Q1,1700,26.118,14.024,5.947,21.124,23,26.310,26.412,35.682,
20,E47.05,E,,num,4,6855,99.796,Q4,1697,42.840,Q1,1738,29.287,13.554,0.254,26.357,23,21.803,27.445,35.682,
