rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
1,B-P3.08,B-,,cat,3,6869,100.000,2,59,64.407,1,394,32.741,31.666,10.860,54.581,13,18.644,25.888,40.079,
2,E31.01,E,,num,4,6797,98.952,Q4,1699,30.783,Q1,1700,53.471,-22.688,-34.431,-11.457,23,24.308,26.471,40.079,
3,C.08,C,,cat,9,6869,100.000,STRONG BULL,82,54.878,NEUTRAL,3639,36.768,18.110,5.198,28.534,23,26.829,25.556,40.079,
4,E48.06,E,,num,4,6866,99.956,Q4,1717,45.952,Q1,1717,28.247,17.705,5.799,31.063,23,23.063,27.373,40.079,
5,B-S.02,B-,,num,4,6869,100.000,Q4,1717,48.224,Q1,1718,31.315,16.908,6.509,29.054,23,25.859,23.166,40.079,
6,E11.05,E,,num,4,6855,99.796,Q4,1709,34.406,Q1,1759,48.948,-14.542,-24.778,-4.608,23,24.927,27.459,40.079,
7,E29.01,E,,num,4,6797,98.952,Q4,1699,33.549,Q1,1700,47.471,-13.921,-22.301,-5.862,23,26.310,26.412,40.079,
8,G08.1,G,,num,4,6797,98.952,Q4,1699,33.549,Q1,1700,47.471,-13.921,-22.301,-5.862,23,26.310,26.412,40.079,
9,B-S.13,B-,,num,4,6869,100.000,Q4,1717,32.382,Q1,1718,46.217,-13.834,-25.510,-3.493,23,27.490,27.765,40.079,
10,E11.09,E,,num,3,6866,99.956,Q3,3433,36.324,Q1,1717,49.913,-13.589,-21.101,-3.868,23,23.099,24.927,40.079,
11,E04.01,E,,num,4,6869,100.000,Q4,1702,51.528,Q1,1727,38.274,13.253,2.376,32.731,19,23.678,21.367,40.079,
12,E04.08,E,,num,4,6869,100.000,Q4,1702,51.528,Q1,1727,38.274,13.253,2.376,32.731,19,23.678,21.367,40.079,
13,E04.09,E,,num,4,6869,100.000,Q4,1702,51.528,Q1,1727,38.274,13.253,2.376,32.731,19,23.678,21.367,40.079,
14,E09.01,E,,num,4,6869,100.000,Q4,1716,50.932,Q1,1725,38.261,12.672,2.140,31.252,20,24.359,21.449,40.079,
15,E03.01,E,,num,4,6869,100.000,Q4,1717,46.069,Q1,1718,34.168,11.901,3.988,19.825,23,25.510,26.717,40.079,
16,G01.1,G,,num,4,6869,100.000,Q4,1717,46.069,Q1,1718,34.168,11.901,3.988,19.825,23,25.510,26.717,40.079,
17,E49.05,E,,num,4,6645,96.739,Q4,1616,47.215,Q1,1757,35.344,11.871,3.455,20.251,23,24.257,25.498,40.079,
18,K.10,K,,num,4,6646,96.754,Q4,1479,48.952,Q1,1743,37.120,11.832,0.172,28.906,16,27.383,21.859,40.079,
19,K.04,K,,num,4,6865,99.942,Q4,1716,36.772,Q1,1717,48.457,-11.685,-24.469,1.359,21,21.970,23.762,40.079,
20,K.02,K,,num,4,6865,99.942,Q4,1716,49.476,Q1,1717,38.148,11.328,1.438,28.185,18,25.583,21.782,40.079,
21,E32.07,E,,num,3,6645,96.739,Q3,3321,34.568,Q1,1665,45.766,-11.198,-21.850,0.919,23,21.771,29.009,40.079,
22,B-P4.10,B-,,cat,5,6869,100.000,3,66,50.000,0,4608,38.867,11.133,-7.695,32.345,23,24.242,23.264,40.079,
23,K.01,K,,num,4,6865,99.942,Q4,1716,49.126,Q1,1717,38.148,10.978,0.661,27.825,18,25.699,21.782,40.079,
24,K.03,K,,num,4,6865,99.942,Q4,1716,48.485,Q1,1717,38.206,10.279,0.021,26.461,18,26.107,21.782,40.079,
25,K.09,K,,num,4,6645,96.739,Q4,1646,32.746,Q1,1685,42.908,-10.162,-20.626,2.237,23,23.086,25.579,40.079,
26,C.06,C,,num,4,6869,100.000,Q4,1717,35.352,Q1,1718,45.343,-9.991,-21.036,0.488,23,23.471,24.913,40.079,
27,E20.07,E,,num,4,6866,99.956,Q4,1717,35.178,Q1,1717,44.613,-9.435,-18.135,0.070,23,23.529,24.869,40.079,
28,E48.02,E,,num,4,6855,99.796,Q4,382,42.670,Q1,1714,33.489,9.181,4.036,14.037,22,17.801,22.695,40.079,
29,B-P1.06,B-,,num,4,6869,100.000,Q4,1717,33.256,Q1,1719,42.292,-9.036,-18.664,0.657,23,24.287,27.051,40.079,
30,E11.02,E,,num,4,6855,99.796,Q4,1714,38.156,Q1,1714,46.791,-8.635,-17.806,1.271,23,21.879,28.530,40.079,
31,E48.05,E,,num,4,6855,99.796,Q4,1704,44.542,Q1,1744,36.067,8.476,0.802,17.721,23,26.115,23.624,40.079,
32,E57.03,E,,num,4,6610,96.229,Q4,1649,41.601,Q1,1655,33.656,7.945,2.817,13.234,23,23.287,25.680,40.079,
33,C.05,C,,num,4,6869,100.000,Q4,1717,36.575,Q1,1719,44.503,-7.927,-18.282,3.297,23,23.005,24.375,40.079,
34,E47.05,E,,num,4,6855,99.796,Q4,1697,35.357,Q1,1738,43.268,-7.912,-24.626,8.340,23,21.803,27.445,40.079,
35,C.01,C,,cat,3,6869,100.000,0,111,46.847,1,3339,39.084,7.763,-0.940,15.762,23,26.126,23.839,40.079,
36,E31.02,E,,num,4,6579,95.778,Q4,1645,37.872,Q1,1645,30.395,7.477,2.380,11.740,23,25.106,23.891,40.079,
37,E54.01,E,,num,4,6869,100.000,Q4,1717,35.993,Q1,1718,43.423,-7.430,-19.582,5.772,23,24.752,22.002,40.079,
38,E60.01,E,,cat,12,6869,100.000,BEAR EXHAUSTION,211,45.498,BEAR TRAP,126,38.095,7.402,-1.407,16.626,23,22.275,23.016,40.079,
39,E62.01,E,,cat,12,6869,100.000,BEAR EXHAUSTION,211,45.498,BEAR TRAP,126,38.095,7.402,-1.407,16.626,23,22.275,23.016,40.079,
40,B-P4.01,B-,,num,4,6869,100.000,Q4,1717,43.448,Q1,1718,36.088,7.359,0.862,14.072,23,24.345,24.854,40.079,
