ts,bucket_id,side,setup,legsA,legsB,outcome,joint
1782645523.304,9703,short,B,0001000,111,SL,UP-resolve
1782646907.289,9735,short,B,0001000,111,SL,WHIPSAW
1782646944.438,9736,short,B,0001000,111,SL,WHIPSAW
1782647040.433,9738,short,B,0001000,111,SL,WHIPSAW
1782647087.982,9739,short,B,0001000,111,SL,WHIPSAW
1782650253.522,9825,short,B,0001000,111,TP,DOWN-resolve
1782650513.506,9830,short,B,0001100,111,TP,DOWN-resolve
1782650772.575,9835,short,B,0001100,111,TP,DOWN-resolve
1782650829.356,9836,short,B,0001100,111,TP,DOWN-resolve
1782651770.639,9855,short,B,0001000,111,SL,UP-resolve
1782651879.278,9868,short,B,0101100,111,SL,UP-resolve
1782652078.978,9878,short,B,0001000,111,SL,UP-resolve
1782653606.019,9912,long,B,0001000,111,SL,WHIPSAW
1782653845.643,9915,long,B,0001000,111,SL,WHIPSAW
1782654403.127,9933,long,B,0001000,111,SL,DOWN-resolve
1782654417.986,9934,long,B,0001000,111,SL,DOWN-resolve
1782659527.461,10037,short,B,0001100,111,SL,UP-resolve
1782660091.069,10052,long,B,0001100,111,SL,WHIPSAW
1782660873.761,10071,long,B,0001100,111,SL,DOWN-resolve
1782662442.741,10120,long,B,0001000,111,SL,DOWN-resolve
1782666519.096,10263,long,B,0001100,111,SL,DOWN-resolve
1782668115.754,10306,short,B,0001000,111,SL,UP-resolve
1782668803.075,10335,long,B,0101100,111,TP,UP-resolve
1782669052.835,10340,long,B,0100100,111,SL,WHIPSAW
1782669676.624,10352,long,B,0101100,111,SL,DOWN-resolve
1782670080.35,10359,long,B,0101100,111,SL,DOWN-resolve
1782670137.4,10360,long,B,0101100,111,SL,DOWN-resolve
1782675439.751,10444,long,B,0001100,111,SL,DOWN-resolve
1782675442.743,10445,long,B,0001000,111,SL,DOWN-resolve
1782676127.094,10490,short,B,0001100,111,SL,UP-resolve
1782677813.642,10536,long,B,0101100,111,SL,DOWN-resolve
1782677850.62,10537,long,B,0101100,111,SL,DOWN-resolve
1782678973.199,10563,short,B,0001000,111,TP,DOWN-resolve
1782678993.31,10564,short,B,0001000,111,SL,WHIPSAW
1782681437.478,10591,short,B,0001000,111,SL,WHIPSAW
1782681504.734,10592,short,B,0001000,111,SL,WHIPSAW
1782683436.584,10627,short,B,0001000,111,SL,UP-resolve
1782684031.33,10646,long,B,0001100,111,TP,UP-resolve
1782684102.019,10651,long,B,0001100,111,TP,UP-resolve
1782687202.723,10806,short,B,0100100,111,TP,DOWN-resolve
1782687207.192,10825,short,B,0000100,111,SL,WHIPSAW
1782687207.194,10826,short,B,0000100,111,SL,WHIPSAW
1782687221.083,10841,short,B,0001100,111,SL,UP-resolve
1782687356.838,10863,long,B,0001100,111,TP,UP-resolve
1782687548.739,10872,long,B,0101100,111,TP,UP-resolve
1782687844.945,10892,long,B,0101100,111,TP,UP-resolve
1782688972.819,10925,long,B,0001100,111,TP,UP-resolve
1782688978.54,10926,long,B,0001100,111,TP,UP-resolve
1782689417.572,10941,long,B,0001100,111,TP,UP-resolve
1782689448.409,10942,long,B,0001100,111,TP,UP-resolve
1782689543.621,10951,long,B,0001100,111,TP,UP-resolve
1782689652.695,10956,long,B,0001100,111,TP,UP-resolve
1782689681.606,10957,long,B,0001100,111,TP,UP-resolve
1782689975.475,10979,long,B,0001100,111,SL,DOWN-resolve
1782691210.609,11019,short,B,0001000,111,SL,WHIPSAW
1782691507.771,11033,short,B,0001100,111,SL,UP-resolve
1782692104.018,11053,long,B,0001100,111,SL,DOWN-resolve
1782692617.503,11071,short,B,1001000,111,SL,WHIPSAW
1782693030.74,11083,short,B,0101100,111,SL,WHIPSAW
1782693187.113,11098,short,B,0001000,111,SL,UP-resolve
1782693412.746,11107,long,B,0101100,111,SL,WHIPSAW
1782694658.878,11144,long,B,0101100,111,SL,DOWN-resolve
1782695900.61,11178,short,B,0001100,111,SL,UP-resolve
1782696023.559,11187,short,B,0001000,111,SL,UP-resolve
1782697472.296,11212,long,B,0001100,111,SL,DOWN-resolve
1782699283.396,11253,short,B,0001100,111,SL,UP-resolve
1782699938.55,11273,long,B,0001000,111,TP,UP-resolve
1782702280.012,11346,long,B,0000100,111,TP,UP-resolve
1782702560.385,11368,long,B,0001100,111,SL,WHIPSAW
1782702715.858,11379,long,B,0001100,111,SL,DOWN-resolve
1782702722.842,11380,long,B,0001100,111,SL,DOWN-resolve
1782704837.14,11431,short,B,0000100,111,TP,DOWN-resolve
1782707220.696,11460,short,B,0001100,111,TP,DOWN-resolve
1782707294.188,11461,short,B,0001000,111,TP,DOWN-resolve
1782708022.343,11471,short,B,0001000,111,TP,DOWN-resolve
