# Time-of-day tradeability map, CURRENT (0.5/0.3, 6h) label. CAVEAT: 4 days = ~4 samples/hour — indicative only; rebuild as snapshots accumulate. Clock stays BANNED as a model feature.
hour_utc,direction,n,tp_pct_res,whip_pct
0,long,465,24.7,24.3
1,long,718,48.3,22.7
2,long,449,55.9,15.8
3,long,439,38.0,25.3
4,long,347,23.9,24.2
5,long,252,34.5,23.8
6,long,360,30.3,25.3
7,long,261,49.4,27.6
8,long,416,51.7,24.8
9,long,477,44.9,34.4
10,long,639,46.8,22.7
11,long,439,29.2,30.3
12,long,692,27.5,20.8
13,long,704,53.8,25.1
14,long,551,37.2,23.6
15,long,377,36.1,30.5
16,long,315,47.6,17.8
17,long,337,39.5,18.4
18,long,170,22.9,28.2
19,long,254,29.5,26.4
20,long,245,39.6,25.3
21,long,271,56.1,25.5
22,long,431,32.3,11.6
23,long,375,24.3,24.0
0,short,465,51.0,24.3
1,short,718,29.0,22.7
2,short,449,28.3,15.8
3,short,439,36.7,25.3
4,short,347,51.9,24.2
5,short,252,41.7,23.8
6,short,360,44.4,25.3
7,short,261,23.0,27.6
8,short,416,23.6,24.8
9,short,477,20.8,34.4
10,short,639,30.5,22.7
11,short,439,37.7,30.3
12,short,692,51.7,20.8
13,short,704,21.0,25.1
14,short,551,39.2,23.6
15,short,377,33.4,30.5
16,short,315,34.6,17.8
17,short,337,42.1,18.4
18,short,170,48.8,28.2
19,short,254,44.1,26.4
20,short,245,35.1,25.3
21,short,271,18.5,25.5
22,short,431,56.1,11.6
23,short,375,51.7,24.0
