bucket_id,ts,side,pred_long,pred_short,gap,variant,window,outcome,whipsaw,O.06,O.12,O.24,O.18,O.23
9702,1782645466,short,35.29,41.13,5.84,W-ALL,discovery,SL,0,,1.0584,0.0280,0.0140,0.0000
9703,1782645523,short,34.46,41.66,7.19,W-ALL,discovery,SL,0,,1.0442,0.0560,0.0280,0.0000
9704,1782645602,short,34.74,41.32,6.57,W-ALL,discovery,SL,0,,0.8600,0.0839,0.0419,0.0000
9705,1782645626,short,34.66,41.30,6.64,W-ALL,discovery,SL,0,,0.8176,0.1676,0.0838,0.0000
9706,1782645661,short,35.36,41.08,5.73,W-ALL,discovery,SL,0,,0.7470,0.0000,0.0000,0.0000
9707,1782645690,short,35.15,41.06,5.91,W-ALL,discovery,SL,0,,0.6907,0.0837,0.0419,0.0000
9708,1782645724,short,35.31,41.09,5.78,W-ALL,discovery,SL,0,,0.6202,0.3904,0.1952,156.5810
9709,1782645757,short,35.50,41.05,5.55,W-ALL,discovery,SL,0,,0.6062,0.4182,0.2091,261.3040
9710,1782645761,short,35.87,40.50,4.63,W-ALL,discovery,SL,0,,0.5921,0.4461,0.2230,261.3040
9711,1782645768,short,36.01,40.29,4.27,W-ALL,discovery,SL,1,,0.5078,0.6128,0.3064,1584.6890
9712,1782645768,short,36.56,39.57,3.02,W-ALL,discovery,SL,1,,0.3956,0.8347,0.4174,3091.7100
9713,1782645769,short,36.36,39.85,3.49,W-ALL,discovery,SL,1,,0.4236,0.7793,0.3896,2765.7030
9714,1782645781,short,36.46,40.06,3.60,W-ALL,discovery,SL,1,,0.4797,0.6683,0.3342,1920.8710
9715,1782645792,short,36.73,39.84,3.12,W-ALL,discovery,SL,1,,0.4938,0.6406,0.3203,1717.3090
9716,1782645803,short,36.19,40.19,4.00,W-ALL,discovery,SL,1,,0.5078,0.6128,0.3064,1584.6890
9717,1782645842,short,36.23,40.16,3.92,W-ALL,discovery,SL,1,,0.4517,0.7238,0.3619,2387.3170
9718,1782645854,short,36.35,39.89,3.54,W-ALL,discovery,SL,1,,0.4797,0.6683,0.3342,1899.1870
9719,1782645903,short,35.76,40.39,4.63,W-ALL,discovery,SL,1,,0.5078,0.6128,0.3064,1584.6890
9720,1782645964,short,35.69,40.52,4.83,W-ALL,discovery,SL,0,,0.5218,0.5850,0.2925,1443.9010
9721,1782646007,short,36.09,40.21,4.12,W-ALL,discovery,SL,1,,0.3956,0.8347,0.4174,2895.4800
9722,1782646036,short,36.12,40.22,4.09,W-ALL,discovery,SL,1,,0.4376,0.7516,0.3758,2437.0320
9723,1782646085,short,35.49,40.78,5.29,W-ALL,discovery,SL,1,,0.4236,0.7793,0.3896,2541.0690
9724,1782646148,short,35.18,41.15,5.97,W-ALL,discovery,SL,1,,0.4236,0.7793,0.3896,2541.0690
9725,1782646227,short,35.19,41.07,5.89,W-ALL,discovery,SL,1,,0.4797,0.6683,0.3342,1788.2610
9726,1782646306,short,35.29,40.94,5.66,W-ALL,discovery,SL,1,,0.4517,0.7238,0.3619,2186.6740
9727,1782646402,short,35.02,41.21,6.19,W-ALL,discovery,SL,0,,0.5359,0.5573,0.2786,376.4030
9728,1782646439,short,34.63,41.55,6.91,W-ALL,discovery,SL,0,,0.5640,0.5017,0.2508,339.4980
9729,1782646543,short,34.39,41.59,7.20,W-ALL,discovery,SL,0,,0.6202,0.3904,0.1952,156.5810
9730,1782646628,short,34.79,41.33,6.54,W-ALL,discovery,SL,0,,0.7470,0.1396,0.0698,17.5710
9731,1782646645,short,34.94,41.26,6.31,W-ALL,discovery,SL,0,,0.8035,0.0000,0.0000,0.0000
9732,1782646700,short,35.02,40.94,5.91,W-ALL,discovery,SL,0,,0.6625,0.0837,0.0418,0.0000
9733,1782646778,short,35.12,41.01,5.89,W-ALL,discovery,SL,0,,0.5780,0.0000,0.0000,0.0000
9734,1782646847,short,34.93,41.15,6.22,W-ALL,discovery,SL,1,,0.4657,0.6404,0.3202,1564.5620
9735,1782646907,short,34.88,41.13,6.25,W-ALL,discovery,SL,1,,0.4797,0.6126,0.3063,1316.4140
9736,1782646944,short,34.80,41.20,6.41,W-ALL,discovery,SL,1,,0.4517,0.6682,0.3341,1585.6340
9737,1782647003,short,35.02,41.10,6.08,W-ALL,discovery,SL,1,,0.3816,0.8068,0.4034,2071.3150
9738,1782647040,short,35.31,41.12,5.81,W-ALL,discovery,SL,1,,0.3816,0.8068,0.4034,2071.3150
9739,1782647088,short,34.92,41.33,6.42,W-ALL,discovery,SL,1,,0.3816,0.8068,0.4034,2071.3150
9740,1782647107,short,35.36,40.90,5.54,W-ALL,discovery,SL,1,,0.3396,0.8899,0.4449,2444.1900
9741,1782647128,short,35.53,40.64,5.11,W-ALL,discovery,SL,1,,0.3116,0.9452,0.4726,2473.3530
9742,1782647152,short,35.48,40.82,5.34,W-ALL,discovery,SL,1,,0.3536,0.8622,0.4311,2389.5010
9743,1782647188,short,35.69,40.55,4.86,W-ALL,discovery,SL,0,,0.4938,0.5849,0.2924,1124.4540
9744,1782647249,short,34.98,41.30,6.32,W-ALL,discovery,SL,0,,0.5218,0.5293,0.2647,972.0540
9745,1782647322,short,35.29,40.86,5.57,W-ALL,discovery,SL,0,,0.5078,0.5571,0.2786,990.7570
9746,1782647403,short,35.38,40.77,5.39,W-ALL,discovery,SL,1,,0.4657,0.6404,0.3202,1334.7360
9747,1782647473,short,35.25,40.86,5.62,W-ALL,discovery,SL,1,,0.4797,0.6126,0.3063,1146.6920
9748,1782647609,short,35.45,40.69,5.23,W-ALL,discovery,SL,1,,0.3816,0.8068,0.4034,1750.4160
9749,1782647619,short,35.37,40.86,5.49,W-ALL,discovery,SL,1,,0.3536,0.8622,0.4311,1932.0870
9750,1782647655,short,35.83,40.61,4.78,W-ALL,discovery,TP,0,0.9730,,,,
9751,1782647667,short,35.59,40.51,4.92,W-ALL,discovery,TP,0,1.0141,,,,
9752,1782647668,short,35.75,40.16,4.42,W-ALL,discovery,TP,0,1.0004,,,,
9753,1782647668,short,35.48,40.35,4.87,W-ALL,discovery,SL,1,,0.3256,0.9176,0.4588,1953.9180
9754,1782647701,short,35.65,40.82,5.16,W-ALL,discovery,SL,1,,0.3116,0.9452,0.4726,1982.9220
9755,1782647722,short,35.29,40.91,5.62,W-ALL,discovery,SL,1,,0.3536,0.8622,0.4311,1932.0870
9756,1782647782,short,35.21,41.19,5.98,W-ALL,discovery,TP,0,1.0004,,,,
9757,1782647821,short,35.30,41.07,5.78,W-ALL,discovery,SL,1,,0.3676,0.8345,0.4172,1778.4190
9758,1782647843,short,35.62,40.76,5.14,W-ALL,discovery,SL,1,,0.3956,0.7791,0.3895,1636.8980
9759,1782647935,short,35.26,41.06,5.80,W-ALL,discovery,SL,1,,0.3956,0.7791,0.3895,1636.8980
