# Full weight re-derivation per k. HOLD* = comparison material — 15 extra trials of selection bias; forward data is the only judge
k,sum_ok,kept_L,degen_L,kept_S,degen_S,alias_groups,disc_n,disc_selTP,disc_delta,hold_n,hold_selTP,hold_delta
1,True,60,3,60,3,9,6869,43.82,3.74,2565,49.94,-0.94
2,True,76,7,76,7,1,6869,44.49,4.41,2565,49.63,-1.25
3,True,86,3,86,3,0,6869,44.65,4.57,2565,49.98,-0.90
4,True,88,1,88,1,0,6869,44.69,4.61,2565,48.89,-1.99
5,True,88,1,88,1,0,6869,44.78,4.70,2565,49.59,-1.29
6,True,88,1,88,1,0,6869,44.93,4.85,2565,49.16,-1.72
7,True,88,1,88,1,0,6869,44.96,4.88,2565,49.40,-1.48
8,True,88,1,88,1,0,6869,45.12,5.04,2565,49.32,-1.56
9,True,88,1,88,1,0,6869,45.38,5.30,2565,49.08,-1.79
10,True,88,1,88,1,0,6869,45.26,5.18,2565,49.12,-1.75
11,True,88,1,88,1,0,6869,45.70,5.62,2565,48.69,-2.18
12,True,88,1,88,1,0,6869,45.67,5.59,2565,49.16,-1.72
13,True,89,0,89,0,0,6869,46.19,6.11,2565,48.81,-2.07
14,True,89,0,89,0,0,6869,46.69,6.61,2565,48.30,-2.57
15,True,89,0,89,0,0,6869,46.54,6.46,2565,48.38,-2.50
16,True,89,0,89,0,0,6869,46.80,6.73,2565,47.84,-3.04
