RADAR RUNNER 15m — HONEST losers from the TERMINAL'S OWN fired record (data/radarrun_fired.json), 1m-resolved

loading 1m clock archive ...
====================================================================================================
terminal fired 627 15m badges  (span 2025-02-13 .. 2026-08-22)
  1m-resolved: 532  (win 425 = 79.9%, LOSERS 107)   no-1m-coverage: 95  (fires after 2026-06-30 — daemon-live, 1m archive ends there)
  losers by year: 2025: 18   2026: 89
----------------------------------------------------------------------------------------------------
  #   | FIRE UTC (end)   | local+1     | side  | entry     | SL        | TP        | res
  1   | 2025-02-14 01:15 | 02-14 02:15 | SHORT |   195.140 |   196.698 |   194.652 | SL
  2   | 2025-02-16 10:00 | 02-16 11:00 | LONG  |   193.580 |   192.321 |   194.064 | SL
  3   | 2025-02-19 20:15 | 02-19 21:15 | LONG  |   169.360 |   167.496 |   169.783 | SL
  4   | 2025-02-20 09:30 | 02-20 10:30 | SHORT |   171.780 |   172.687 |   171.351 | SL
  5   | 2025-02-20 10:00 | 02-20 11:00 | SHORT |   172.000 |   172.897 |   171.570 | SL
  6   | 2025-11-27 19:49 | 11-27 20:49 | LONG  |   142.610 |   141.803 |   142.967 | SL
  7   | 2025-11-28 07:45 | 11-28 08:45 | SHORT |   139.180 |   140.310 |   138.832 | SL
  8   | 2025-11-29 00:34 | 11-29 01:34 | LONG  |   137.540 |   136.709 |   137.884 | SL
  9   | 2025-11-29 04:52 | 11-29 05:52 | LONG  |   137.350 |   136.589 |   137.693 | SL
  10  | 2025-11-29 11:45 | 11-29 12:45 | LONG  |   137.240 |   136.449 |   137.583 | SL
  11  | 2025-11-30 06:19 | 11-30 07:19 | SHORT |   135.720 |   136.179 |   135.381 | SL
  12  | 2025-11-30 22:12 | 11-30 23:12 | LONG  |   137.630 |   136.729 |   137.974 | SL
  13  | 2025-11-30 22:15 | 11-30 23:15 | LONG  |   137.610 |   136.530 |   137.954 | SL
  14  | 2025-12-01 12:49 | 12-01 13:49 | SHORT |   125.680 |   126.428 |   125.366 | SL
  15  | 2025-12-02 09:39 | 12-02 10:39 | SHORT |   126.440 |   127.501 |   126.124 | SL
  16  | 2025-12-02 09:45 | 12-02 10:45 | SHORT |   126.500 |   127.361 |   126.184 | SL
  17  | 2025-12-03 13:56 | 12-03 14:56 | LONG  |   141.800 |   141.125 |   142.155 | SL
  18  | 2025-12-03 14:15 | 12-03 15:15 | SHORT |   139.960 |   142.276 |   139.610 | SL
  19  | 2026-01-29 18:43 | 01-29 19:43 | LONG  |   116.870 |   115.961 |   117.162 | SL
  20  | 2026-01-30 18:34 | 01-30 19:34 | SHORT |   115.210 |   116.342 |   114.922 | SL
  21  | 2026-01-31 15:04 | 01-31 16:04 | SHORT |   108.840 |   109.327 |   108.568 | SL
  22  | 2026-02-01 08:42 | 02-01 09:42 | LONG  |   105.870 |   104.874 |   106.135 | SL
  23  | 2026-02-01 11:42 | 02-01 12:42 | LONG  |   105.110 |   104.356 |   105.373 | SL
  24  | 2026-02-03 12:02 | 02-03 13:02 | SHORT |   102.670 |   103.358 |   102.413 | SL
  25  | 2026-02-03 15:26 | 02-03 16:26 | SHORT |   100.900 |   101.564 |   100.648 | SL
  26  | 2026-02-03 15:34 | 02-03 16:34 | LONG  |   102.110 |   101.345 |   102.365 | SL
  27  | 2026-02-07 07:35 | 02-07 08:35 | SHORT |    85.010 |    85.486 |    84.797 | SL
  28  | 2026-02-07 12:30 | 02-07 13:30 | LONG  |    86.760 |    85.652 |    86.977 | SL
  29  | 2026-02-07 13:39 | 02-07 14:39 | SHORT |    85.530 |    86.198 |    85.316 | SL
  30  | 2026-02-07 14:12 | 02-07 15:12 | LONG  |    86.340 |    85.642 |    86.556 | SL
  31  | 2026-02-07 14:38 | 02-07 15:38 | SHORT |    85.640 |    86.709 |    85.426 | SL
  32  | 2026-02-07 15:17 | 02-07 16:17 | SHORT |    86.000 |    86.509 |    85.785 | SL
  33  | 2026-02-07 17:57 | 02-07 18:57 | SHORT |    87.390 |    87.933 |    87.172 | SL
  34  | 2026-02-08 00:22 | 02-08 01:22 | SHORT |    87.040 |    87.833 |    86.822 | SL
  35  | 2026-02-08 02:23 | 02-08 03:23 | LONG  |    88.100 |    87.347 |    88.320 | SL
  36  | 2026-02-08 04:17 | 02-08 05:17 | SHORT |    86.570 |    87.261 |    86.354 | SL
  37  | 2026-02-08 09:18 | 02-08 10:18 | LONG  |    88.460 |    87.915 |    88.681 | SL
  38  | 2026-02-08 11:26 | 02-08 12:26 | SHORT |    87.320 |    88.023 |    87.102 | SL
  39  | 2026-02-08 16:32 | 02-08 17:32 | LONG  |    87.480 |    87.038 |    87.699 | SL
  40  | 2026-02-08 22:41 | 02-08 23:41 | SHORT |    86.630 |    87.311 |    86.413 | SL
  41  | 2026-02-08 23:50 | 02-09 00:50 | LONG  |    87.300 |    86.579 |    87.518 | SL
  42  | 2026-02-09 00:03 | 02-09 01:03 | SHORT |    86.620 |    87.391 |    86.403 | SL
  43  | 2026-02-09 00:41 | 02-09 01:41 | SHORT |    86.330 |    87.281 |    86.114 | SL
  44  | 2026-02-09 05:35 | 02-09 06:35 | LONG  |    87.350 |    86.579 |    87.568 | SL
  45  | 2026-02-09 07:19 | 02-09 08:19 | LONG  |    86.450 |    85.702 |    86.666 | SL
  46  | 2026-02-09 10:01 | 02-09 11:01 | LONG  |    84.270 |    83.628 |    84.481 | SL
  47  | 2026-02-09 11:52 | 02-09 12:52 | SHORT |    83.290 |    83.881 |    83.082 | SL
  48  | 2026-02-09 14:31 | 02-09 15:31 | SHORT |    83.720 |    84.392 |    83.511 | SL
  49  | 2026-02-09 14:43 | 02-09 15:43 | SHORT |    84.640 |    85.466 |    84.428 | SL
  50  | 2026-02-09 16:16 | 02-09 17:16 | SHORT |    84.810 |    85.716 |    84.598 | SL
