RADAR RUNNER 15m CLOCK — HONEST (1m-verified) losers | badge spec TP=0.25%, candle-SL 0.3% cap, MINVISIT=1

loading 1m clock archive (large) ...
1m bars: 786221  (2025-01-01 .. 2026-06-30)

====================================================================================================
RADAR RUNNER 15m CLOCK — 1m-VERIFIED  |  badges=2384  win(30m-sim)=88.6%  ->  win(1m-verified)=88.8%
  flagged losers=272  ->  FALSE (TP-first at 1m)=6   TRUE losers=266
  by year (true losers):  2025: 164   2026: 102
  --- REMOVED false losers (were actually TP-first WINS): 2025-01-16 10:45 S (TP@15m), 2025-07-22 01:15 S (TP@0m), 2025-09-05 12:45 S (TP@3m), 2025-12-17 14:45 S (TP@0m), 2026-01-31 18:30 L (TP@0m), 2026-04-30 13:30 S (TP@0m)
----------------------------------------------------------------------------------------------------
  #   | FIRE UTC (end)   | local+1     | side  | entry     | SL        | TP       
  1   | 2025-01-04 01:30 | 01-04 02:30 | LONG  |   217.770 |   215.252 |   218.314
  2   | 2025-01-04 04:15 | 01-04 05:15 | SHORT |   215.920 |   217.541 |   215.380
  3   | 2025-01-04 06:30 | 01-04 07:30 | LONG  |   217.720 |   216.229 |   218.264
  4   | 2025-01-04 19:00 | 01-04 20:00 | SHORT |   215.390 |   216.518 |   214.852
  5   | 2025-01-05 06:30 | 01-05 07:30 | LONG  |   216.550 |   215.591 |   217.091
  6   | 2025-01-08 00:15 | 01-08 01:15 | LONG  |   202.750 |   201.185 |   203.257
  7   | 2025-01-09 13:30 | 01-09 14:30 | LONG  |   189.260 |   187.934 |   189.733
  8   | 2025-01-12 03:00 | 01-12 04:00 | LONG  |   188.320 |   186.838 |   188.791
  9   | 2025-01-16 10:00 | 01-16 11:00 | LONG  |   201.150 |   199.809 |   201.653
  10  | 2025-01-16 12:30 | 01-16 13:30 | SHORT |   214.100 |   215.461 |   213.565
  11  | 2025-01-24 07:45 | 01-24 08:45 | SHORT |   260.050 |   262.445 |   259.400
  12  | 2025-01-28 17:15 | 01-28 18:15 | LONG  |   236.270 |   232.989 |   236.861
  13  | 2025-01-30 20:00 | 01-30 21:00 | LONG  |   240.970 |   238.781 |   241.572
  14  | 2025-02-02 18:30 | 02-02 19:30 | LONG  |   203.900 |   200.413 |   204.410
  15  | 2025-02-16 10:00 | 02-16 11:00 | LONG  |   193.580 |   192.321 |   194.064
  16  | 2025-02-21 07:45 | 02-21 08:45 | SHORT |   175.730 |   176.638 |   175.291
  17  | 2025-02-24 00:15 | 02-24 01:15 | LONG  |   169.450 |   167.336 |   169.874
  18  | 2025-03-12 09:30 | 03-12 10:30 | SHORT |   123.580 |   125.265 |   123.271
  19  | 2025-03-20 07:00 | 03-20 08:00 | LONG  |   134.740 |   133.628 |   135.077
  20  | 2025-03-21 10:15 | 03-21 11:15 | LONG  |   127.700 |   127.078 |   128.019
  21  | 2025-03-21 18:15 | 03-21 19:15 | SHORT |   126.170 |   127.190 |   125.855
  22  | 2025-03-22 02:00 | 03-22 03:00 | SHORT |   127.980 |   128.865 |   127.660
  23  | 2025-03-22 05:30 | 03-22 06:30 | SHORT |   128.830 |   129.517 |   128.508
  24  | 2025-03-26 05:30 | 03-26 06:30 | SHORT |   141.920 |   142.647 |   141.565
  25  | 2025-03-28 01:45 | 03-28 02:45 | LONG  |   138.950 |   137.257 |   139.297
  26  | 2025-04-02 07:00 | 04-02 08:00 | SHORT |   123.940 |   124.783 |   123.630
  27  | 2025-04-05 06:45 | 04-05 07:45 | SHORT |   120.360 |   121.383 |   120.059
  28  | 2025-04-06 15:45 | 04-06 16:45 | LONG  |   115.260 |   114.416 |   115.548
  29  | 2025-04-11 07:45 | 04-11 08:45 | LONG  |   116.720 |   115.782 |   117.012
  30  | 2025-04-11 19:00 | 04-11 20:00 | SHORT |   119.880 |   121.243 |   119.580
  31  | 2025-04-17 09:45 | 04-17 10:45 | LONG  |   133.830 |   132.441 |   134.165
  32  | 2025-04-18 21:45 | 04-18 22:45 | LONG  |   134.300 |   133.359 |   134.636
  33  | 2025-04-20 21:45 | 04-20 22:45 | LONG  |   137.320 |   136.539 |   137.663
