RADAR RUNNER 30m — HONEST losers from the TERMINAL'S OWN fired record (data/radarrun_fired.json), 1m-resolved

loading 1m clock archive ...
====================================================================================================
terminal fired 272 30m badges  (span 2025-01-12 .. 2026-08-22)  |  CLOCK=16  BUCKET=256  (split by end-time alignment)

####################################################################################################
## 30m CLOCK — fired=16  |  1m-resolved=16 (win 62.5%, LOSERS 6)  |  no-1m-cov=0 (fires past 2026-06-30)
   losers by year: 2025: 0   2026: 6
----------------------------------------------------------------------------------------------------
   #   | FIRE UTC (end)   | local+1     | side  | entry     | SL        | TP        | res
   1   | 2026-03-27 04:30 | 03-27 05:30 | SHORT |    86.000 |    86.639 |    85.570 | SL
   2   | 2026-03-30 04:00 | 03-30 05:00 | SHORT |    83.240 |    83.750 |    82.824 | SL
   3   | 2026-04-02 09:30 | 04-02 10:30 | LONG  |    79.270 |    78.623 |    79.666 | SL
   4   | 2026-04-02 15:30 | 04-02 16:30 | SHORT |    78.670 |    79.448 |    78.277 | SL
   5   | 2026-04-02 18:00 | 04-02 19:00 | SHORT |    78.560 |    79.789 |    78.167 | SL
   6   | 2026-04-05 17:00 | 04-05 18:00 | SHORT |    79.410 |    80.009 |    79.211 | SL

####################################################################################################
## 30m BUCKET (volume-paced) — fired=256  |  1m-resolved=155 (win 86.5%, LOSERS 21)  |  no-1m-cov=101 (fires past 2026-06-30)
   losers by year: 2025: 3   2026: 18
----------------------------------------------------------------------------------------------------
   #   | FIRE UTC (end)   | local+1     | side  | entry     | SL        | TP        | res
   1   | 2025-01-19 15:39 | 01-19 16:39 | LONG  |   271.850 |   264.524 |   272.530 | SL
   2   | 2025-02-02 23:26 | 02-03 00:26 | SHORT |   196.940 |   203.599 |   196.448 | SL
   3   | 2025-02-18 14:26 | 02-18 15:26 | LONG  |   170.400 |   168.284 |   170.826 | SL
   4   | 2026-03-24 11:39 | 03-24 12:39 | LONG  |    91.950 |    91.016 |    92.410 | SL
   5   | 2026-03-25 16:27 | 03-25 17:27 | LONG  |    92.480 |    91.325 |    92.942 | SL
   6   | 2026-03-27 14:30 | 03-27 15:30 | SHORT |    82.630 |    83.500 |    82.217 | SL
   7   | 2026-03-28 02:52 | 03-28 03:52 | SHORT |    82.490 |    83.099 |    82.078 | SL
   8   | 2026-03-28 10:38 | 03-28 11:38 | SHORT |    82.670 |    83.450 |    82.257 | SL
   9   | 2026-03-28 14:01 | 03-28 15:01 | SHORT |    83.140 |    83.771 |    82.724 | SL
   10  | 2026-03-29 17:20 | 03-29 18:20 | SHORT |    81.380 |    82.035 |    80.973 | SL
   11  | 2026-03-31 05:53 | 03-31 06:53 | LONG  |    83.630 |    82.761 |    84.048 | SL
   12  | 2026-03-31 09:56 | 03-31 10:56 | SHORT |    80.030 |    81.042 |    79.630 | SL
   13  | 2026-03-31 10:49 | 03-31 11:49 | SHORT |    80.490 |    80.962 |    80.088 | SL
   14  | 2026-03-31 12:11 | 03-31 13:11 | SHORT |    80.470 |    81.223 |    80.068 | SL
   15  | 2026-03-31 14:08 | 03-31 15:08 | SHORT |    81.550 |    82.336 |    81.142 | SL
   16  | 2026-03-31 15:29 | 03-31 16:29 | SHORT |    81.020 |    81.885 |    80.615 | SL
   17  | 2026-03-31 17:46 | 03-31 18:46 | SHORT |    82.550 |    83.349 |    82.137 | SL
   18  | 2026-03-31 19:33 | 03-31 20:33 | SHORT |    82.620 |    83.149 |    82.207 | SL
   19  | 2026-03-31 23:09 | 04-01 00:09 | SHORT |    82.780 |    83.149 |    82.366 | SL
   20  | 2026-04-01 02:38 | 04-01 03:38 | SHORT |    82.660 |    83.109 |    82.247 | SL
   21  | 2026-04-01 11:17 | 04-01 12:17 | LONG  |    83.380 |    82.930 |    83.797 | SL
   (101 BUCKET (volume-paced) fires past the 1m archive — not classifiable offline)
