RADAR RUNNER 30m losers — 1m intrabar re-resolution (badge spec TP=0.25%, candle-SL 0.3% cap)

loading 1m clock archive (large) ...
1m bars: 786221  (2025-01-01 .. 2026-06-30)

====================================================================================================
RADAR RUNNER 30m CLOCK — 1m-VERIFIED  |  badges=705  win(30m-sim)=91.1%  ->  win(1m-verified)=91.5%
  flagged losers=63  ->  FALSE (TP-first at 1m)=3   TRUE losers=60
  by year (true losers):  2025: 34   2026: 26
  --- REMOVED false losers (were actually TP-first WINS): 2025-11-04 21:00 L (TP@4m), 2026-04-19 14:00 S (TP@3m), 2026-06-29 12:00 S (TP@0m)
----------------------------------------------------------------------------------------------------
  #   | FIRE UTC (end)   | local+1     | side  | entry     | SL        | TP       
  1   | 2025-01-15 06:30 | 01-15 07:30 | SHORT |   188.390 |   190.169 |   187.919
  2   | 2025-01-17 05:30 | 01-17 06:30 | SHORT |   212.240 |   213.789 |   211.709
  3   | 2025-03-22 02:00 | 03-22 03:00 | SHORT |   127.980 |   129.116 |   127.660
  4   | 2025-04-21 14:30 | 04-21 15:30 | LONG  |   139.740 |   136.240 |   140.089
  5   | 2025-04-24 21:30 | 04-24 22:30 | SHORT |   150.180 |   151.934 |   149.805
  6   | 2025-05-08 05:30 | 05-08 06:30 | SHORT |   150.350 |   151.704 |   149.974
  7   | 2025-05-15 00:30 | 05-15 01:30 | LONG  |   177.640 |   175.961 |   178.084
  8   | 2025-05-17 22:30 | 05-17 23:30 | SHORT |   164.430 |   167.481 |   164.019
  9   | 2025-05-20 09:00 | 05-20 10:00 | LONG  |   167.680 |   165.981 |   168.099
  10  | 2025-05-29 15:00 | 05-29 16:00 | LONG  |   170.580 |   168.493 |   171.006
  11  | 2025-05-30 00:30 | 05-30 01:30 | LONG  |   166.810 |   166.020 |   167.227
  12  | 2025-06-10 10:00 | 06-10 11:00 | LONG  |   158.880 |   157.556 |   159.277
  13  | 2025-06-15 01:30 | 06-15 02:30 | SHORT |   145.020 |   146.027 |   144.657
  14  | 2025-06-30 06:00 | 06-30 07:00 | LONG  |   151.230 |   149.999 |   151.608
  15  | 2025-07-02 18:00 | 07-02 19:00 | SHORT |   151.500 |   153.168 |   151.121
  16  | 2025-07-06 01:30 | 07-06 02:30 | SHORT |   146.930 |   148.033 |   146.563
  17  | 2025-07-07 08:30 | 07-07 09:30 | LONG  |   152.540 |   151.684 |   152.921
  18  | 2025-07-13 01:00 | 07-13 02:00 | SHORT |   160.840 |   161.984 |   160.438
  19  | 2025-07-13 03:30 | 07-13 04:30 | SHORT |   160.990 |   161.924 |   160.588
  20  | 2025-08-09 23:00 | 08-10 00:00 | SHORT |   180.040 |   182.606 |   179.590
  21  | 2025-08-16 04:30 | 08-16 05:30 | LONG  |   187.740 |   186.140 |   188.209
  22  | 2025-08-28 17:00 | 08-28 18:00 | SHORT |   207.400 |   213.729 |   206.882
  23  | 2025-09-06 03:00 | 09-06 04:00 | LONG  |   204.250 |   202.660 |   204.761
  24  | 2025-09-16 13:30 | 09-16 14:30 | LONG  |   235.390 |   233.787 |   235.978
  25  | 2025-09-18 10:30 | 09-18 11:30 | SHORT |   245.360 |   247.781 |   244.747
  26  | 2025-09-21 01:30 | 09-21 02:30 | SHORT |   240.040 |   241.382 |   239.440
  27  | 2025-09-27 16:00 | 09-27 17:00 | LONG  |   203.420 |   201.663 |   203.929
  28  | 2025-09-27 17:30 | 09-27 18:30 | SHORT |   200.980 |   203.469 |   200.478
  29  | 2025-10-05 17:00 | 10-05 18:00 | LONG  |   230.990 |   227.994 |   231.567
  30  | 2025-10-07 13:00 | 10-07 14:00 | LONG  |   231.370 |   228.423 |   231.948
  31  | 2025-10-28 06:00 | 10-28 07:00 | SHORT |   198.620 |   201.021 |   198.123
  32  | 2025-11-01 23:00 | 11-02 00:00 | LONG  |   186.070 |   184.814 |   186.535
  33  | 2025-11-28 11:30 | 11-28 12:30 | SHORT |   140.380 |   142.406 |   140.029
  34  | 2025-12-29 18:00 | 12-29 19:00 | LONG  |   123.830 |   122.721 |   124.140
  35  | 2026-01-01 16:30 | 01-01 17:30 | SHORT |   124.520 |   125.335 |   124.209
  36  | 2026-01-05 17:30 | 01-05 18:30 | SHORT |   134.540 |   135.917 |   134.204
  37  | 2026-01-16 07:30 | 01-16 08:30 | SHORT |   142.790 |   143.690 |   142.433
  38  | 2026-01-20 20:30 | 01-20 21:30 | LONG  |   127.800 |   126.549 |   128.119
  39  | 2026-02-22 00:30 | 02-22 01:30 | SHORT |    84.860 |    85.436 |    84.648
  40  | 2026-02-22 05:30 | 02-22 06:30 | SHORT |    84.940 |    85.415 |    84.728
  41  | 2026-03-14 15:00 | 03-14 16:00 | SHORT |    86.660 |    87.281 |    86.443
  42  | 2026-03-14 18:00 | 03-14 19:00 | SHORT |    86.820 |    87.271 |    86.603
  43  | 2026-03-27 04:30 | 03-27 05:30 | SHORT |    86.000 |    86.639 |    85.785
  44  | 2026-04-10 10:30 | 04-10 11:30 | SHORT |    83.200 |    83.750 |    82.992
  45  | 2026-04-19 07:30 | 04-19 08:30 | SHORT |    84.520 |    85.646 |    84.309
  46  | 2026-04-25 13:30 | 04-25 14:30 | LONG  |    86.510 |    86.071 |    86.726
  47  | 2026-04-26 03:30 | 04-26 04:30 | SHORT |    85.970 |    86.699 |    85.755
  48  | 2026-05-01 18:00 | 05-01 19:00 | LONG  |    84.190 |    83.628 |    84.400
